# key_hex	key_dec	text
0x0000	0	Alerta
0x0001	1	Bine
0x0017	23	Sta
0x0018	24	provizoriu
0x0031	49	Acest joc ți-a fost oferit de:
0x0032	50	Joc încheiat
0x0034	52	Opțiuni
0x0035	53	Tip tabel
0x0041	65	Da
0x0042	66	Nu
0x0048	72	Opriți jocul și anulați rezultatul\\nal acestui joc (adversarul trebuie să fie de acord).
0x0049	73	Nu face nimic
0x004a	74	Ieșiți din Confirmare
0x004b	75	Renunțați și pierdeți:
0x004c	76	Ieșiți și Anulați
0x004d	77	Renunțați și pierdeți
0x004e	78	Renunță și renunță la joc.
0x004f	79	Ieșire și salvare:
0x0050	80	Ieșire și anulare:
0x0051	81	Opriți jocul și salvați jocul \\n (adversarul trebuie să fie de acord).
0x0052	82	Renunțați la un joc evaluat neterminat:
0x0053	83	Ieșiți și Salvați
0x0079	121	Accepta
0x007b	123	Refuzați toate invitațiile
0x007c	124	Invitat
0x007d	125	\\n \\nOpțiuni de joc:
0x007e	126	Motiv:
0x007f	127	(optional)
0x0080	128	v-a invitat la masa #
0x0081	129	\\n \\nDoriți să vă alăturați?
0x0082	130	Declin
0x0083	131	Permite mesaje instantanee numai de la prietenii mei.
0x0084	132	Ignora
0x0085	133	Din:
0x0086	134	a început
0x0087	135	Profil
0x0088	136	Trimite
0x0089	137	Aproape
0x008a	138	Fă-ți mișcarea și dacă
0x008b	139	Apăsați „Play Robot” pentru a reda computerul.
0x008d	141	- Camera:
0x008e	142	nu revine, vi se va oferi opțiunea de a forța demisia.
0x008f	143	*** Salvare solicitată.
0x0090	144	Protejat
0x0091	145	a cerut ca acest joc să fie salvat.\\nEste acceptabil?
0x0092	146	Privat
0x0093	147	dvs
0x0094	148	Faceți clic pe butonul „Stați” pentru a vă alătura jocului.
0x0095	149	a cerut anularea acestui joc.\\nEste acceptabil?
0x0096	150	anulat.
0x0097	151	Ridice în picioare
0x0098	152	adversar
0x0099	153	La rândul meu
0x009b	155	*** Oricine se poate alătura mesei tale acum.
0x009c	156	s.
0x009d	157	În așteptarea adversarului
0x009e	158	Renunță
0x009f	159	s-a alăturat mesei.
0x00a0	160	Faceți clic pe „Începe jocul” pentru a începe.
0x00a1	161	Ajutor
0x00a2	162	a părăsit masa.
0x00a3	163	*** Numai persoanele pe care le-ați invitat pot juca sau pot urmări masa acum.
0x00a4	164	Începe jocul
0x00a5	165	Audio la rând
0x00a6	166	- Gazda:
0x00a7	167	Public
0x00a8	168	Joacă Robot
0x00aa	170	Boot
0x00ab	171	*** Se solicită anularea.
0x00ac	172	*** Numai persoanele pe care le-ai invitat pot juca acum la masa ta.
0x00ae	174	- Tabel:
0x00af	175	*** Sunteți gazda acestui tabel.
0x00b0	176	Joc:
0x00b1	177	Dvs
0x00b2	178	Se așteaptă ca adversarul să facă clic pe „Start”.
0x00b4	180	a lăsat un joc evaluat neterminat.\\n
0x00b5	181	*** Joc
0x00b6	182	salvat.
0x00b7	183	Invita
0x00b8	184	partener
0x00b9	185	Sunet
0x00ba	186	Dacă
0x00bf	191	Introdu numele:
0x00c0	192	Selectați Din listă
0x00c1	193	- sau -
0x00c9	201	Ping
0x00ca	202	Informații despre jucător pentru
0x00cb	203	Trimite mesaj instant:
0x00cc	204	secunde.
0x00ce	206	minute.
0x00cf	207	Timp inactiv:
0x00e1	225	Masă
0x00e2	226	Cine se uită
0x00e3	227	optiuni:
0x00e4	228	ÎNSCRIEȚI-VĂ
0x00e8	232	de
0x00e9	233	Rtng
0x00ea	234	secunde.\\nÎntârzierea mea netă:
0x00eb	235	v-a invitat să luați loc.
0x00f0	240	Aveți o versiune veche a clientului în cache.
0x00f2	242	Ping trimis... în așteptarea unui răspuns.
0x00f4	244	provizoriu
0x00f5	245	Nume
0x00f6	246	Încercarea de conectare la serverul de jocuri
0x00f7	247	Joacă acum
0x00f9	249	Ieșiți din jocuri
0x00fb	251	întârzierea netă a lui:
0x00fd	253	Cuvânt:
0x00ff	255	Se contactează serverul de jocuri...
0x0102	258	Eroare: Resursele sistemului epuizate.\\nÎnchideți toate ferestrele și aplicațiile care nu sunt necesare.\\nApoi închideți fereastra de jocuri și încercați din nou.
0x0105	261	Imposibil de conectat la server.\\nUnul dintre cele patru lucruri ar fi putut cauza acest lucru:\\n1)Sunteți în spatele unui firewall.\\n2)Nu sunteți conectat la internet.\\n3)Serverul de jocuri este oprit.\\n4)Aveți o pagină veche în memoria cache.
