# key_hex	key_dec	text
0x0000	0	Тревога
0x0001	1	ХОРОШО
0x0017	23	Сидеть
0x0018	24	временный
0x0031	49	Эту игру \\n предоставил вам:
0x0032	50	Игра закончена
0x0034	52	Параметры
0x0035	53	Тип таблицы
0x0041	65	Да
0x0042	66	Нет
0x0048	72	Прекратить игру и отменить результат\\n этой игры (противник должен согласиться).
0x0049	73	Неважно
0x004a	74	Подтверждение выхода
0x004b	75	Выйти и отказаться:
0x004c	76	Выйти и отменить
0x004d	77	Уйти и потерять
0x004e	78	Выйти и потерять игру.
0x004f	79	Выйти и сохранить:
0x0050	80	Выйти и отменить:
0x0051	81	Прекратите играть и сохраните игру \\n (противник должен согласиться).
0x0052	82	Вы выходите из незавершенной рейтинговой игры:
0x0053	83	Выйти и сохранить
0x0079	121	Принимать
0x007b	123	Отклонить все приглашения
0x007c	124	Приглашенный
0x007d	125	\\n \\nПараметры игры:
0x007e	126	Причина:
0x007f	127	(необязательный)
0x0080	128	пригласил вас за стол #
0x0081	129	\\n \\nХотите присоединиться?
0x0082	130	Отклонить
0x0083	131	Разрешить мгновенные сообщения только от моих друзей.
0x0084	132	игнорировать
0x0085	133	От:
0x0086	134	началось
0x0087	135	Профиль
0x0088	136	Отправлять
0x0089	137	Закрывать
0x008a	138	Сделайте свой ход, и если
0x008b	139	Нажмите «Играть в робота», чтобы поиграть на компьютере.
0x008d	141	- Комната:
0x008e	142	не вернется, вам\\n будет предоставлена ​​возможность подать в отставку.
0x008f	143	*** Запрошено сохранение.
0x0090	144	Защищено
0x0091	145	попросил сохранить эту игру.\\nЭто приемлемо?
0x0092	146	Частный
0x0093	147	твой
0x0094	148	Нажмите кнопку «Сидеть», чтобы присоединиться к игре.
0x0095	149	попросил отменить эту игру.\\nЭто приемлемо?
0x0096	150	отменен.
0x0097	151	Вставать
0x0098	152	противник
0x0099	153	В мою очередь
0x009b	155	*** Теперь к вашему столу может присоединиться любой желающий.
0x009c	156	с.
0x009d	157	Ожидание противника
0x009e	158	Покидать
0x009f	159	присоединился к столу.
0x00a0	160	Нажмите «Начать игру», чтобы начать.
0x00a1	161	Помощь
0x00a2	162	вышел из-за стола.
0x00a3	163	*** Теперь только люди, которых вы пригласили, могут играть за вашим столом или наблюдать за ним.
0x00a4	164	Начать игру
0x00a5	165	Звук при включении
0x00a6	166	- Хозяин:
0x00a7	167	Общественный
0x00a8	168	Играть в робота
0x00aa	170	Ботинок
0x00ab	171	*** Отменить запрос.
0x00ac	172	*** Теперь за вашим столом могут играть только приглашенные вами люди.
0x00ae	174	- Стол:
0x00af	175	*** Вы являетесь хозяином этого стола.
0x00b0	176	Игра:
0x00b1	177	Твой
0x00b2	178	Ждем, пока противник нажмет «Старт».
0x00b4	180	оставил незавершенную рейтинговую игру.\\n
0x00b5	181	*** Игра
0x00b6	182	сохранено.
0x00b7	183	Приглашать
0x00b8	184	партнер
0x00b9	185	Звук
0x00ba	186	Если
0x00bf	191	Введите имя:
0x00c0	192	Выбрать из списка
0x00c1	193	- или -
0x00c9	201	Пинг
0x00ca	202	Информация об игроке для
0x00cb	203	Отправить мгновенное сообщение:
0x00cc	204	секунды.
0x00ce	206	минут.
0x00cf	207	Время простоя:
0x00e1	225	Стол
0x00e2	226	Кто смотрит
0x00e3	227	параметры:
0x00e4	228	ПРИСОЕДИНИТЬСЯ
0x00e8	232	к
0x00e9	233	Ртнг
0x00ea	234	секунд.\\nМоя чистая задержка:
0x00eb	235	пригласил вас присесть.
0x00f0	240	У вас в кеше старая версия клиента.
0x00f2	242	Пинг отправлен... ждем ответа.
0x00f4	244	временный
0x00f5	245	Имя
0x00f6	246	Попытка подключения к игровому серверу
0x00f7	247	Играть сейчас
0x00f9	249	Выход из игр
0x00fb	251	чистая задержка:
0x00fd	253	Сказать:
0x00ff	255	Обращение к игровому серверу...
0x0102	258	Ошибка: недостаточно системных ресурсов. \\nЗакройте все ненужные окна и приложения. \\nЗатем закройте окно игры и повторите попытку.
0x0105	261	Невозможно подключиться к серверу.\\nЭто могло быть вызвано одной из четырех причин: \\n1)Вы находитесь за брандмауэром.\\n2)Вы не подключены к Интернету.\\n3)Игровой сервер не работает.\\n4)У вас в кеше устаревшая страница.
0x0106	262	Создать таблицу
0x0108	264	Маленькие окна
0x0109	265	Табл.
0x010b	267	Вас выгрузили из-за стола
0x010c	268	Отключено от сервера... Слишком долго простаивает
0x0111	273	Мгновенные сообщения от \\n только для друзей
0x0115	277	... загрузка состояния комнаты
0x0118	280	Ошибка входа на сервер.
0x0119	281	Отклонить все\\nприглашения
0x011c	284	Рунг
0x011d	285	Вы не можете игнорировать себя.
0x0123	291	Отключено от сервера
0x0125	293	Подключен к игровому серверу как
0x0128	296	Рейтинги
0x0129	297	to\\n выйти из игры.
0x012a	298	вернуться.
0x012b	299	Подожди своего
0x012c	300	Заставь свой
0x012d	301	Сохранить игру
0x012e	302	Отменить игру:
0x012f	303	Отменить игру
0x0130	304	Принудительное лишение свободы:
0x0131	305	Ждать
0x0132	306	Прекратите играть и сохраните игру.
0x0133	307	отказался от незавершенной рейтинговой игры:
0x0134	308	Прекратите играть и не записывайте результат этой игры.
0x0135	309	Сохранить игру:
0x0136	310	Принудительное лишение свободы
0x0137	311	Ждать:
0x0140	320	ХОРОШО
0x0142	322	Звуковое оповещение
0x0164	356	Тревога
0x0165	357	ХОРОШО
0x0168	360	Отмена
0x016c	364	игнорировать
0x016d	365	Профиль
0x016e	366	Отправлять
0x016f	367	Закрывать
0x0179	377	Ботинок
