# key_hex	key_dec	text
0x0000	0	മുന്നറിയിപ്പ്
0x0001	1	ശരി
0x0017	23	ഇരിക്കൂ
0x0018	24	താൽക്കാലിക
0x0031	49	ഈ ഗെയിം നിങ്ങൾക്ക് \\n കൊണ്ടുവന്നത്:
0x0032	50	കളി കഴിഞ്ഞു
0x0034	52	ഓപ്ഷനുകൾ
0x0035	53	പട്ടിക തരം
0x0041	65	അതെ
0x0042	66	ഇല്ല
0x0048	72	കളിക്കുന്നത് നിർത്തുക, ഈ ഗെയിമിൻ്റെ ഫലം\\n റദ്ദാക്കുക (എതിരാളി സമ്മതിക്കണം).
0x0049	73	കാര്യമാക്കേണ്ടതില്ല
0x004a	74	സ്ഥിരീകരണം ഉപേക്ഷിക്കുക
0x004b	75	ഉപേക്ഷിക്കുക, ഉപേക്ഷിക്കുക:
0x004c	76	പുറത്തുകടക്കുക, റദ്ദാക്കുക
0x004d	77	ക്വിറ്റ് ആൻഡ് ഫോർഫിറ്റ്
0x004e	78	കളി ഉപേക്ഷിക്കുക.
0x004f	79	പുറത്തുകടക്കുക, സംരക്ഷിക്കുക:
0x0050	80	പുറത്തുകടക്കുക, റദ്ദാക്കുക:
0x0051	81	കളിക്കുന്നത് നിർത്തി \\n ഗെയിം സംരക്ഷിക്കുക (എതിരാളി സമ്മതിക്കണം).
0x0052	82	നിങ്ങൾ പൂർത്തിയാകാത്ത റേറ്റുചെയ്ത ഗെയിം ഉപേക്ഷിക്കുകയാണ്:
0x0053	83	പുറത്തുകടക്കുക, സംരക്ഷിക്കുക
0x0079	121	സ്വീകരിക്കുക
0x007b	123	എല്ലാ ക്ഷണങ്ങളും നിരസിക്കുക
0x007c	124	ക്ഷണിച്ചു
0x007d	125	\\n \\nഗെയിം ഓപ്ഷനുകൾ:
0x007e	126	കാരണം:
0x007f	127	(ഓപ്ഷണൽ)
0x0080	128	നിങ്ങളെ ടേബിളിലേക്ക് ക്ഷണിച്ചു #
0x0081	129	\\n \\n നിങ്ങൾക്ക് ചേരാൻ താൽപ്പര്യമുണ്ടോ?
0x0082	130	നിരസിക്കുക
0x0083	131	എൻ്റെ സുഹൃത്തുക്കളിൽ നിന്നുള്ള തൽക്ഷണ സന്ദേശങ്ങൾ മാത്രം അനുവദിക്കുക.
0x0084	132	അവഗണിക്കുക
0x0085	133	ഇതിൽ നിന്ന്:
0x0086	134	തുടങ്ങി
0x0087	135	പ്രൊഫൈൽ
0x0088	136	അയക്കുക
0x0089	137	അടയ്ക്കുക
0x008a	138	നിങ്ങളുടെ നീക്കം നടത്തുക
0x008b	139	കമ്പ്യൂട്ടർ പ്ലേ ചെയ്യാൻ 'പ്ലേ റോബോട്ട്' അമർത്തുക.
0x008d	141	- മുറി:
0x008e	142	തിരികെ വരുന്നില്ല, നിങ്ങൾക്ക് \\n ഒരു രാജി നിർബന്ധമാക്കാനുള്ള ഓപ്ഷൻ നൽകും.
0x008f	143	*** സംരക്ഷിക്കാൻ അഭ്യർത്ഥിച്ചു.
0x0090	144	സംരക്ഷിച്ചു
0x0091	145	ഈ ഗെയിം സംരക്ഷിക്കാൻ അഭ്യർത്ഥിച്ചു.\\nI ഇത് സ്വീകാര്യമാണോ?
0x0092	146	സ്വകാര്യം
0x0093	147	നിങ്ങളുടെ
0x0094	148	ഗെയിമിൽ ചേരാൻ ഒരു 'സിറ്റ്' ബട്ടൺ ക്ലിക്ക് ചെയ്യുക.
0x0095	149	ഈ ഗെയിം റദ്ദാക്കണമെന്ന് അഭ്യർത്ഥിച്ചു.\\nI ഇത് സ്വീകാര്യമാണോ?
0x0096	150	റദ്ദാക്കി.
0x0097	151	എഴുന്നേൽക്കുക
0x0098	152	എതിരാളി
0x0099	153	എൻ്റെ ഊഴത്തിൽ
0x009b	155	*** ആർക്കും ഇപ്പോൾ നിങ്ങളുടെ മേശയിൽ ചേരാം.
0x009c	156	എസ്.
0x009d	157	എതിരാളിക്കായി കാത്തിരിക്കുന്നു
0x009e	158	ഉപേക്ഷിക്കുക
0x009f	159	മേശയിൽ ചേർന്നു.
0x00a0	160	ആരംഭിക്കാൻ 'ആരംഭിക്കുക ഗെയിം' ക്ലിക്ക് ചെയ്യുക.
0x00a1	161	സഹായം
0x00a2	162	മേശ വിട്ടു.
0x00a3	163	*** നിങ്ങൾ ക്ഷണിച്ച ആളുകൾക്ക് മാത്രമേ ഇപ്പോൾ നിങ്ങളുടെ ടേബിളിൽ കളിക്കാനോ കാണാനോ കഴിയൂ.
0x00a4	164	ഗെയിം ആരംഭിക്കുക
0x00a5	165	ഓഡിയോ ഓണാണ്
0x00a6	166	- ഹോസ്റ്റ്:
0x00a7	167	പൊതു
0x00a8	168	റോബോട്ട് പ്ലേ ചെയ്യുക
0x00aa	170	ബൂട്ട്
0x00ab	171	*** റദ്ദാക്കാൻ അഭ്യർത്ഥിച്ചു.
0x00ac	172	*** നിങ്ങൾ ക്ഷണിച്ച ആളുകൾക്ക് മാത്രമേ ഇപ്പോൾ നിങ്ങളുടെ ടേബിളിൽ കളിക്കാനാകൂ.
0x00ae	174	- പട്ടിക:
0x00af	175	*** നിങ്ങളാണ് ഈ ടേബിളിൻ്റെ ഹോസ്റ്റ്.
0x00b0	176	ഗെയിം:
0x00b1	177	നിങ്ങളുടെ
0x00b2	178	എതിരാളി 'ആരംഭിക്കുക' ക്ലിക്ക് ചെയ്യുന്നതിനായി കാത്തിരിക്കുന്നു.
0x00b4	180	ഒരു പൂർത്തിയാകാത്ത റേറ്റുചെയ്ത ഗെയിം ഉപേക്ഷിച്ചു.\\n
0x00b5	181	*** ഗെയിം
0x00b6	182	രക്ഷിച്ചു.
0x00b7	183	ക്ഷണിക്കുക
0x00b8	184	പങ്കാളി
0x00b9	185	ശബ്ദം
0x00ba	186	എങ്കിൽ
0x00bf	191	പേര് നൽകുക:
0x00c0	192	ലിസ്റ്റിൽ നിന്ന് തിരഞ്ഞെടുക്കുക
0x00c1	193	- അല്ലെങ്കിൽ -
0x00c9	201	പിംഗ്
0x00ca	202	കളിക്കാരൻ്റെ വിവരങ്ങൾ
0x00cb	203	തൽക്ഷണ സന്ദേശം അയയ്‌ക്കുക:
0x00cc	204	സെക്കൻ്റുകൾ.
0x00ce	206	മിനിറ്റ്.
0x00cf	207	നിഷ്ക്രിയ സമയം:
0x00e1	225	മേശ
0x00e2	226	ആരാണ് നിരീക്ഷിക്കുന്നത്
0x00e3	227	ഓപ്ഷനുകൾ:
0x00e4	228	ചേരുക
0x00e8	232	വഴി
0x00e9	233	Rtng
0x00ea	234	seconds.\\nഎൻ്റെ നെറ്റ് കാലതാമസം:
0x00eb	235	നിങ്ങളെ ഇരിക്കാൻ ക്ഷണിച്ചു.
0x00f0	240	നിങ്ങളുടെ കാഷെയിൽ ക്ലയൻ്റിൻറെ പഴയ പതിപ്പ് ഉണ്ട്.
0x00f2	242	പിംഗ് അയച്ചു ... പ്രതികരണത്തിനായി കാത്തിരിക്കുന്നു.
0x00f4	244	താൽക്കാലിക
0x00f5	245	പേര്
0x00f6	246	ഗെയിം സെർവറിലേക്ക് കണക്റ്റുചെയ്യാൻ ശ്രമിക്കുന്നു
0x00f7	247	ഇപ്പോൾ കളിക്കുക
0x00f9	249	ഗെയിമുകളിൽ നിന്ന് പുറത്തുകടക്കുക
0x00fb	251	ൻ്റെ നെറ്റ് കാലതാമസം:
0x00fd	253	പറയുക:
0x00ff	255	ഗെയിം സെർവറുമായി ബന്ധപ്പെടുന്നു...
0x0102	258	പിശക്: സിസ്റ്റം ഉറവിടങ്ങൾക്ക് പുറത്താണ്. \\n ആവശ്യമില്ലാത്ത വിൻഡോകളും ആപ്ലിക്കേഷനുകളും അടയ്ക്കുക.\\n തുടർന്ന് ഗെയിം വിൻഡോ അടച്ച് വീണ്ടും ശ്രമിക്കുക.
0x0105	261	സെർവറിലേക്ക് കണക്റ്റുചെയ്യാനായില്ല.\\nനാലു കാര്യങ്ങളിലൊന്ന് ഇതിന് കാരണമായിരിക്കാം:\\n1)നിങ്ങൾ ഒരു ഫയർവാളിന് പിന്നിലാണ്.\\n2)നിങ്ങൾ ഇൻ്റർനെറ്റിലേക്ക് കണക്റ്റുചെയ്‌തിട്ടില്ല.\\n3)ഗെയിംസ് സെർവർ പ്രവർത്തനരഹിതമാണ്.\\n4)നിങ്ങളുടെ കാഷെയിൽ ഒരു പഴകിയ പേജുണ്ട്.
0x0106	262	പട്ടിക സൃഷ്ടിക്കുക
0x0108	264	ചെറിയ വിൻഡോകൾ
0x0109	265	Tbl
0x010b	267	നിങ്ങൾ മേശയിൽ നിന്ന് ബൂട്ട് ചെയ്തു
0x010c	268	സെർവറിൽ നിന്ന് വിച്ഛേദിച്ചു ... വളരെ നേരം നിഷ്‌ക്രിയമാണ്
0x0111	273	\\n സുഹൃത്തുക്കളിൽ നിന്നുള്ള IM-കൾ മാത്രം
0x0115	277	... മുറിയുടെ അവസ്ഥ ഡൗൺലോഡ് ചെയ്യുന്നു
0x0118	280	സെർവറിലേക്ക് ലോഗിൻ ചെയ്യുന്നതിൽ പിശക്.
0x0119	281	എല്ലാ\\nക്ഷണങ്ങളും നിരസിക്കുക
0x011c	284	ഓട്ടം
0x011d	285	നിങ്ങൾക്ക് സ്വയം അവഗണിക്കാൻ കഴിയില്ല.
0x0123	291	സെർവറിൽ നിന്ന് വിച്ഛേദിച്ചു
0x0125	293	ഗെയിം സെർവറുമായി ബന്ധിപ്പിച്ചിരിക്കുന്നു
0x0128	296	റേറ്റിംഗുകൾ
