# key_hex	key_dec	text
0x0000	0	ચેતવણી
0x0001	1	ઓકે
0x0017	23	બેસો
0x0018	24	કામચલાઉ
0x0031	49	આ રમત \\n તમને આના દ્વારા લાવવામાં આવી હતી:
0x0032	50	રમત પર
0x0034	52	વિકલ્પો
0x0035	53	કોષ્ટક પ્રકાર
0x0041	65	હા
0x0042	66	ના
0x0048	72	રમવાનું બંધ કરો અને આ રમતનું પરિણામ\\n રદ કરો (વિરોધીએ સંમત થવું જોઈએ).
0x0049	73	નેવર માઇન્ડ
0x004a	74	પુષ્ટિકરણ છોડો
0x004b	75	છોડો અને જપ્ત કરો:
0x004c	76	છોડો અને રદ કરો
0x004d	77	છોડો અને જપ્ત કરો
0x004e	78	રમત છોડી દો અને જપ્ત કરો.
0x004f	79	છોડો અને સાચવો:
0x0050	80	છોડો અને રદ કરો:
0x0051	81	રમવાનું બંધ કરો અને \\n ગેમને સાચવો (વિરોધીએ સંમત થવું જોઈએ).
0x0052	82	તમે અધૂરી રેટ કરેલ રમત છોડી રહ્યા છો:
0x0053	83	છોડો અને સાચવો
0x0079	121	સ્વીકારો
0x007b	123	બધા આમંત્રણો નકારો
0x007c	124	આમંત્રિત
0x007d	125	\\n \\nGame વિકલ્પો:
0x007e	126	કારણ:
0x007f	127	(વૈકલ્પિક)
0x0080	128	તમને ટેબલ # પર આમંત્રિત કર્યા છે
0x0081	129	\\n \\n શું તમે જોડાવા માંગો છો?
0x0082	130	નકાર
0x0083	131	ફક્ત મારા મિત્રોના જ ત્વરિત સંદેશાઓને મંજૂરી આપો.
0x0084	132	અવગણો
0x0085	133	તરફથી:
0x0086	134	શરૂ કર્યું
0x0087	135	પ્રોફાઇલ
0x0088	136	મોકલો
0x0089	137	બંધ કરો
0x008a	138	તમારી ચાલ કરો અને જો
0x008b	139	કમ્પ્યુટર ચલાવવા માટે 'પ્લે રોબોટ' દબાવો.
0x008d	141	- રૂમ:
0x008e	142	પરત નહીં આવે, તો તમને રાજીનામું દબાણ કરવાનો વિકલ્પ આપવામાં આવશે.
0x008f	143	*** સાચવવાની વિનંતી કરી.
0x0090	144	રક્ષિત
0x0091	145	વિનંતી કરી છે કે આ રમત સાચવવામાં આવે. \\n શું આ સ્વીકાર્ય છે?
0x0092	146	ખાનગી
0x0093	147	તમારું
0x0094	148	રમતમાં જોડાવા માટે 'બેસો' બટન પર ક્લિક કરો.
0x0095	149	આ રમતને રદ કરવાની વિનંતી કરી છે. \\n શું આ સ્વીકાર્ય છે?
0x0096	150	રદ કરેલ.
0x0097	151	સ્ટેન્ડ અપ
0x0098	152	વિરોધી
0x0099	153	મારા વળાંક પર
0x009b	155	*** કોઈપણ હવે તમારા ટેબલમાં જોડાઈ શકે છે.
0x009c	156	s
0x009d	157	પ્રતિસ્પર્ધીની રાહ જોવી
0x009e	158	છોડો
0x009f	159	કોષ્ટકમાં જોડાયા છે.
0x00a0	160	શરૂ કરવા માટે 'સ્ટાર્ટ ગેમ' પર ક્લિક કરો.
0x00a1	161	મદદ
0x00a2	162	ટેબલ છોડી દીધું છે.
0x00a3	163	*** ફક્ત તમે આમંત્રિત કરેલા લોકો જ હવે તમારા ટેબલ પર રમી શકે છે અથવા જોઈ શકે છે.
0x00a4	164	રમત શરૂ કરો
0x00a5	165	ઓડિયો ચાલુ
0x00a6	166	- યજમાન:
0x00a7	167	જાહેર
0x00a8	168	રોબોટ રમો
0x00aa	170	બુટ
0x00ab	171	*** રદ કરવાની વિનંતી કરી.
0x00ac	172	*** ફક્ત તમે આમંત્રિત કરેલા લોકો જ હવે તમારા ટેબલ પર રમી શકે છે.
0x00ae	174	- ટેબલ:
0x00af	175	*** તમે આ ટેબલના હોસ્ટ છો.
0x00b0	176	રમત:
0x00b1	177	તમારું
0x00b2	178	પ્રતિસ્પર્ધી 'સ્ટાર્ટ' પર ક્લિક કરે તેની રાહ જોઈ રહ્યાં છીએ.
0x00b4	180	અધૂરી રેટ કરેલ રમત છોડી દીધી છે.\\n
0x00b5	181	*** રમત
0x00b6	182	સાચવેલ
0x00b7	183	આમંત્રણ આપો
0x00b8	184	ભાગીદાર
0x00b9	185	ધ્વનિ
0x00ba	186	જો
0x00bf	191	નામ દાખલ કરો:
0x00c0	192	સૂચિમાંથી પસંદ કરો
0x00c1	193	- અથવા -
0x00c9	201	પિંગ
0x00ca	202	માટે પ્લેયર માહિતી
0x00cb	203	ત્વરિત સંદેશ મોકલો:
0x00cc	204	સેકન્ડ
0x00ce	206	મિનિટ
0x00cf	207	નિષ્ક્રિય સમય:
0x00e1	225	ટેબલ
0x00e2	226	કોણ જોઈ રહ્યું છે
0x00e3	227	વિકલ્પો:
0x00e4	228	જોડાઓ
0x00e8	232	દ્વારા
0x00e9	233	Rtng
