# key_hex	key_dec	text
0x0000	0	アラート
0x0001	1	わかりました
0x0017	23	座る
0x0018	24	仮
0x0031	49	このゲームは\\nによって提供されました:
0x0032	50	ゲームオーバー
0x0034	52	オプション
0x0035	53	テーブルタイプ
0x0041	65	はい
0x0042	66	いいえ
0x0048	72	プレイを中止し、このゲームの結果\\nをキャンセルしてください(対戦相手は同意する必要があります)。
0x0049	73	どうでも
0x004a	74	終了の確認
0x004b	75	やめて没収:
0x004c	76	終了してキャンセル
0x004d	77	辞めて没収
0x004e	78	試合をやめて没収する。
0x004f	79	終了して保存します。
0x0050	80	終了してキャンセル:
0x0051	81	プレイを停止し、\\nゲームを保存します (対戦相手は同意する必要があります)。
0x0052	82	未完成の評価済みゲームを終了しようとしています:
0x0053	83	終了して保存
0x0079	121	受け入れる
0x007b	123	すべての招待を拒否する
0x007c	124	招待されました
0x007d	125	\\n \\nゲームオプション:
0x007e	126	理由：
0x007f	127	(オプション)
0x0080	128	あなたをテーブル # に招待しました
0x0081	129	\\n \\n参加しませんか?
0x0082	130	衰退
0x0083	131	友達からのインスタント メッセージのみを許可します。
0x0084	132	無視する
0x0085	133	から：
0x0086	134	始めました
0x0087	135	プロフィール
0x0088	136	送信
0x0089	137	近い
0x008a	138	行動を起こして、
0x008b	139	「Play Robot」を押してコンピュータを再生します。
0x008d	141	- 部屋：
0x008e	142	復帰しない場合、\\n には辞任を強制するオプションが与えられます。
0x008f	143	*** 保存が要求されました。
0x0090	144	保護されています
0x0091	145	がこのゲームの保存をリクエストしました。\\nこれは受け入れられますか?
0x0092	146	プライベート
0x0093	147	あなたの
0x0094	148	ゲームに参加するには、「座る」ボタンをクリックしてください。
0x0095	149	がこのゲームのキャンセルをリクエストしました。\\nこれは受け入れられますか?
0x0096	150	キャンセル。
0x0097	151	立ち上がる
0x0098	152	対戦相手
0x0099	153	私の番です
0x009b	155	*** 誰でも今すぐテーブルに参加できます。
0x009c	156	s.
0x009d	157	相手を待っています
0x009e	158	やめる
0x009f	159	がテーブルに加わりました。
0x00a0	160	「ゲームを開始」をクリックして開始します。
0x00a1	161	ヘルプ
