# key_hex	key_dec	text
0x0000	0	يُحذًِر
0x0001	1	نعم
0x0017	23	يجلس
0x0018	24	مؤقت
0x0031	49	هذه اللعبة كانت\\n مقدمة لكم من:
0x0032	50	انتهت اللعبة
0x0034	52	خيارات
0x0035	53	نوع الجدول
0x0041	65	نعم
0x0042	66	لا
0x0048	72	توقف عن اللعب وقم بإلغاء نتيجة هذه اللعبة (يجب أن يوافق الخصم).
0x0049	73	لا تهتم
0x004a	74	تأكيد الإنهاء
0x004b	75	ترك وخسارة:
0x004c	76	إنهاء وإلغاء
0x004d	77	الإقلاع عن التدخين والمصادرة
0x004e	78	إنهاء وخسارة اللعبة.
0x004f	79	إنهاء وحفظ:
0x0050	80	إنهاء وإلغاء:
0x0051	81	توقف عن اللعب واحفظ لعبة \\n (يجب أن يوافق الخصم).
0x0052	82	أنت تقوم بإنهاء لعبة مصنفة غير مكتملة:
0x0053	83	إنهاء وحفظ
0x0079	121	يقبل
0x007b	123	رفض كافة الدعوات
0x007c	124	مدعو
0x007d	125	\\n \\nخيارات اللعبة:
0x007e	126	سبب:
0x007f	127	(خياري)
0x0080	128	قام بدعوتك إلى الجدول #
0x0081	129	\\n \\n هل ترغب في الانضمام؟
0x0082	130	انخفاض
0x0083	131	السماح بالرسائل الفورية من أصدقائي فقط.
0x0084	132	يتجاهل
0x0085	133	من:
0x0086	134	بدأ
0x0087	135	حساب تعريفي
0x0088	136	يرسل
0x0089	137	يغلق
0x008a	138	قم بحركتك وإذا
0x008b	139	اضغط على "Play Robot" لتشغيل الكمبيوتر.
0x008d	141	- غرفة:
0x008e	142	إذا لم يعود، فسيتم منحك خيار فرض الاستقالة.
0x008f	143	*** حفظ المطلوب.
0x0090	144	محمي
0x0091	145	لقد طلب حفظ هذه اللعبة.\\nهل هذا مقبول؟
0x0092	146	خاص
0x0093	147	لك
0x0094	148	انقر فوق زر "الجلوس" للانضمام إلى اللعبة.
0x0095	149	لقد طلب إلغاء هذه اللعبة.\\nهل هذا مقبول؟
0x0096	150	تم الإلغاء.
0x0097	151	الوقوف
0x0098	152	الخصم
0x0099	153	على دوري
0x009b	155	*** يمكن لأي شخص أن ينضم إلى الجدول الخاص بك الآن.
0x009c	156	ق.
0x009d	157	في انتظار الخصم
0x009e	158	يترك
0x009f	159	لقد انضم إلى الطاولة.
0x00a0	160	انقر فوق "ابدأ اللعبة" للبدء.
0x00a1	161	يساعد
0x00a2	162	لقد ترك الطاولة.
0x00a3	163	*** يمكن فقط للأشخاص الذين قمت بدعوتهم اللعب على طاولتك أو مشاهدتها الآن.
0x00a4	164	ابدأ اللعبة
0x00a5	165	الصوت بدوره
0x00a6	166	- يستضيف:
0x00a7	167	عام
0x00a8	168	العب روبوت
0x00aa	170	التمهيد
0x00ab	171	*** إلغاء الطلب.
0x00ac	172	*** يمكن فقط للأشخاص الذين قمت بدعوتهم اللعب على طاولتك الآن.
0x00ae	174	- طاولة:
0x00af	175	*** أنت مضيف هذا الجدول.
0x00b0	176	لعبة:
0x00b1	177	لك
