# key_hex	key_dec	text
0x0000	0	Makluman
0x0001	1	OK
0x0017	23	Duduk
0x0018	24	sementara
0x0031	49	Permainan ini adalah\\ndibawakan kepada anda oleh:
0x0032	50	Permainan Berakhir
0x0034	52	Pilihan
0x0035	53	Jenis Jadual
0x0041	65	ya
0x0042	66	Tidak
0x0048	72	Berhenti bermain dan batalkan keputusan\\npermainan ini (lawan mesti bersetuju).
0x0049	73	Tak kisah
0x004a	74	Berhenti Pengesahan
0x004b	75	Berhenti dan Gugur:
0x004c	76	Berhenti dan Batal
0x004d	77	Berhenti dan Gugur
0x004e	78	Berhenti dan kalahkan permainan.
0x004f	79	Berhenti dan Simpan:
0x0050	80	Berhenti dan Batal:
0x0051	81	Berhenti bermain dan simpan permainan \\n (lawan mesti bersetuju).
0x0052	82	Anda berhenti dari permainan dinilai yang belum selesai:
0x0053	83	Berhenti dan Simpan
0x0079	121	Terima
0x007b	123	Tolak Semua Jemputan
0x007c	124	dijemput
0x007d	125	\\n \\nPilihan permainan:
0x007e	126	Sebab:
0x007f	127	(pilihan)
0x0080	128	telah menjemput anda ke meja #
0x0081	129	\\n \\nAdakah anda mahu menyertai?
0x0082	130	Tolak
0x0083	131	Benarkan mesej segera daripada rakan saya sahaja.
0x0084	132	abaikan
0x0085	133	Daripada:
0x0086	134	bermula
0x0087	135	Profil
0x0088	136	Hantar
0x0089	137	tutup
0x008a	138	Buat langkah anda dan jika
0x008b	139	Tekan 'Main Robot' untuk memainkan komputer.
0x008d	141	- Bilik:
0x008e	142	tidak kembali, anda\\nakan diberi pilihan untuk memaksa perletakan jawatan.
0x008f	143	*** Simpan diminta.
0x0090	144	Dilindungi
0x0091	145	telah meminta agar permainan ini disimpan.\\nAdakah ini boleh diterima?
0x0092	146	Persendirian
0x0093	147	awak
0x0094	148	Klik butang 'Duduk' untuk menyertai permainan.
0x0095	149	telah meminta agar permainan ini dibatalkan.\\nAdakah ini boleh diterima?
0x0096	150	dibatalkan.
0x0097	151	Berdiri
0x0098	152	lawan
0x0099	153	Pada giliran saya
0x009b	155	*** Sesiapa sahaja boleh menyertai meja anda sekarang.
0x009c	156	s.
0x009d	157	Menunggu lawan
0x009e	158	Berhenti
0x009f	159	telah menyertai meja.
0x00a0	160	Klik 'Mulakan Permainan' untuk bermula.
0x00a1	161	Tolong
0x00a2	162	telah meninggalkan meja.
