# key_hex	key_dec	text
0x0000	0	Alerte
0x0001	1	D'ACCORD
0x0017	23	S'asseoir
0x0018	24	provisoire
0x0031	49	Ce jeu vous a été présenté par :
0x0032	50	Jeu terminé
0x0034	52	Possibilités
0x0035	53	Type de tableau
0x0041	65	Oui
0x0042	66	Non
0x0048	72	Arrêtez de jouer et annulez le résultat\\nde ce jeu (l'adversaire doit être d'accord).
0x0049	73	Pas grave
0x004a	74	Confirmation de quitter
0x004b	75	Abandon et forfait :
0x004c	76	Quitter et annuler
0x004d	77	Abandonner et déclarer forfait
0x004e	78	Quittez et abandonnez la partie.
0x004f	79	Quitter et enregistrer :
0x0050	80	Quitter et annuler :
0x0051	81	Arrêtez de jouer et sauvegardez la partie \\n (l'adversaire doit être d'accord).
0x0052	82	Vous quittez une partie notée inachevée :
0x0053	83	Quitter et sauvegarder
0x0079	121	Accepter
0x007b	123	Refuser toutes les invitations
0x007c	124	Invité
0x007d	125	\\n \\nOptions de jeu :
0x007e	126	Raison:
0x007f	127	(facultatif)
0x0080	128	vous a invité à table #
0x0081	129	\\n \\nVoulez-vous nous rejoindre ?
0x0082	130	Déclin
0x0083	131	Autoriser uniquement les messages instantanés de mes amis.
0x0084	132	Ignorer
0x0085	133	Depuis:
0x0086	134	commencé
0x0087	135	Profil
0x0088	136	Envoyer
0x0089	137	Fermer
0x008a	138	Faites votre déménagement et si
0x008b	139	Appuyez sur « Jouer au robot » pour jouer à l'ordinateur.
0x008d	141	- Chambre:
0x008e	142	ne revient pas, vous aurez la possibilité de forcer votre démission.
0x008f	143	*** Sauvegarde demandée.
0x0090	144	Protégé
0x0091	145	a demandé que ce jeu soit sauvegardé.\\nIEst-ce acceptable ?
0x0092	146	Privé
0x0093	147	ton
0x0094	148	Cliquez sur un bouton « S'asseoir » pour rejoindre la partie.
0x0095	149	a demandé que ce jeu soit annulé.\\nIest-ce acceptable ?
0x0096	150	annulé.
0x0097	151	Se lever
0x0098	152	adversaire
0x0099	153	A mon tour
0x009b	155	*** Tout le monde peut désormais rejoindre votre table.
0x009c	156	s.
0x009d	157	En attendant l'adversaire
0x009e	158	Quitter
0x009f	159	s'est joint à la table.
0x00a0	160	Cliquez sur « Démarrer le jeu » pour commencer.
0x00a1	161	Aide
0x00a2	162	a quitté la table.
0x00a3	163	*** Seules les personnes que vous avez invitées peuvent jouer ou regarder votre table maintenant.
0x00a4	164	Commencer le jeu
0x00a5	165	Audio activé
0x00a6	166	- Hôte:
0x00a7	167	Publique
0x00a8	168	Jouer aux robots
0x00aa	170	Botte
0x00ab	171	*** Annulation demandée.
0x00ac	172	*** Seules les personnes que vous avez invitées peuvent désormais jouer à votre table.
0x00ae	174	- Tableau:
0x00af	175	*** Vous êtes l'hôte de cette table.
0x00b0	176	Jeu:
0x00b1	177	Ton
