# key_hex	key_dec	text
0x0000	0	Báo động
0x0001	1	ĐƯỢC RỒI
0x0017	23	Ngồi
0x0018	24	tạm thời
0x0031	49	Trò chơi này được\\n mang đến cho bạn bởi:
0x0032	50	Trò chơi kết thúc
0x0034	52	Tùy chọn
0x0035	53	Loại bảng
0x0041	65	Đúng
0x0042	66	KHÔNG
0x0048	72	Dừng chơi và hủy kết quả\\n của ván này (đối thủ phải đồng ý).
0x0049	73	Đừng bận tâm
0x004a	74	Thoát xác nhận
0x004b	75	Bỏ cuộc và bị mất:
0x004c	76	Thoát và hủy
0x004d	77	Bỏ cuộc và bị mất
0x004e	78	Bỏ cuộc và bỏ cuộc chơi.
0x004f	79	Thoát và lưu:
0x0050	80	Thoát và hủy:
0x0051	81	Dừng chơi và lưu trò chơi \\n (đối thủ phải đồng ý).
0x0052	82	Bạn đang bỏ một trò chơi được xếp hạng chưa hoàn thành:
0x0053	83	Thoát và lưu
0x0079	121	Chấp nhận
0x007b	123	Từ chối tất cả lời mời
0x007c	124	Được mời
0x007d	125	\\n \\nCác tùy chọn trò chơi:
0x007e	126	Lý do:
0x007f	127	(không bắt buộc)
0x0080	128	đã mời bạn vào bàn #
0x0081	129	\\n \\nBạn có muốn tham gia không?
0x0082	130	Sự suy sụp
0x0083	131	Chỉ cho phép tin nhắn tức thời từ bạn bè của tôi.
0x0084	132	Phớt lờ
0x0085	133	Từ:
0x0086	134	bắt đầu
0x0087	135	Hồ sơ
0x0088	136	Gửi
0x0089	137	Đóng
0x008a	138	Hãy di chuyển và nếu
0x008b	139	Nhấn 'Play Robot' để chơi trên máy tính.
0x008d	141	- Phòng:
0x008e	142	không quay trở lại, bạn\\nsẽ được cung cấp tùy chọn buộc từ chức.
0x008f	143	*** Lưu yêu cầu.
0x0090	144	Được bảo vệ
0x0091	145	đã yêu cầu lưu trò chơi này.\\nĐiều này có được chấp nhận không?
0x0092	146	Riêng tư
0x0093	147	của bạn
0x0094	148	Nhấp vào nút 'Ngồi' để tham gia trò chơi.
0x0095	149	đã yêu cầu hủy trò chơi này.\\nĐiều này có được chấp nhận không?
0x0096	150	bị hủy bỏ.
0x0097	151	đứng lên
0x0098	152	đối thủ
0x0099	153	Đến lượt tôi
0x009b	155	*** Bất kỳ ai cũng có thể tham gia bàn của bạn ngay bây giờ.
0x009c	156	S.
0x009d	157	Chờ đợi đối thủ
0x009e	158	Từ bỏ
0x009f	159	đã tham gia vào bảng.
0x00a0	160	Nhấp vào 'Bắt ​​đầu trò chơi' để bắt đầu.
0x00a1	161	Giúp đỡ
0x00a2	162	đã rời khỏi bàn.
0x00a3	163	*** Chỉ những người bạn đã mời mới có thể chơi hoặc xem bàn của bạn bây giờ.
0x00a4	164	Bắt đầu trò chơi
0x00a5	165	Bật âm thanh
0x00a6	166	- Chủ nhà:
0x00a7	167	Công cộng
0x00a8	168	Chơi Robot
0x00aa	170	Khởi động
0x00ab	171	*** Yêu cầu hủy.
0x00ac	172	*** Bây giờ chỉ những người bạn đã mời mới có thể chơi tại bàn của bạn.
0x00ae	174	- Bàn:
0x00af	175	*** Bạn là chủ bàn này.
0x00b0	176	Trò chơi:
0x00b1	177	Của bạn
0x00b2	178	Đang chờ đối thủ nhấp vào 'Bắt ​​đầu'.
0x00b4	180	đã để lại một trò chơi được xếp hạng chưa hoàn thành.\\n
0x00b5	181	*** Trò chơi
0x00b6	182	đã lưu.
0x00b7	183	Mời
0x00b8	184	cộng sự
0x00b9	185	Âm thanh
0x00ba	186	Nếu như
0x00bf	191	Nhập tên:
0x00c0	192	Chọn từ danh sách
0x00c1	193	- hoặc -
0x00c9	201	Ping
0x00ca	202	Thông tin người chơi cho
0x00cb	203	Gửi tin nhắn tức thì:
0x00cc	204	giây.
0x00ce	206	phút.
0x00cf	207	Thời gian nhàn rỗi:
0x00e1	225	Bàn
0x00e2	226	Ai đang xem
0x00e3	227	tùy chọn:
0x00e4	228	THAM GIA
0x00e8	232	qua
0x00e9	233	Rtng
0x00ea	234	giây.\\nĐộ trễ ròng của tôi:
0x00eb	235	đã mời bạn ngồi.
0x00f0	240	Bạn có phiên bản cũ của máy khách trong bộ đệm của mình.
0x00f2	242	Ping đã gửi đi... chờ phản hồi.
0x00f4	244	tạm thời
0x00f5	245	Tên
0x00f6	246	Đang cố gắng kết nối với máy chủ trò chơi
0x00f7	247	Chơi ngay
0x00f9	249	Thoát trò chơi
0x00fb	251	độ trễ ròng của:
0x00fd	253	Nói:
0x00ff	255	Đang liên hệ với máy chủ trò chơi...
