# key_hex	key_dec	text
0x0000	0	अलर्ट
0x0001	1	ठीक आहे
0x0017	23	बसा
0x0018	24	तात्पुरते
0x0031	49	हा गेम तुमच्यासाठी \\n ने आणला होता:
0x0032	50	खेळ संपला
0x0034	52	पर्याय
0x0035	53	टेबल प्रकार
0x0041	65	होय
0x0042	66	नाही
0x0048	72	खेळणे थांबवा आणि या गेमचा परिणाम\\n रद्द करा (प्रतिस्पर्ध्याने सहमत असणे आवश्यक आहे).
0x0049	73	काही हरकत नाही
0x004a	74	पुष्टीकरण सोडा
0x004b	75	सोडा आणि जप्त करा:
0x004c	76	सोडा आणि रद्द करा
0x004d	77	सोडा आणि जप्त करा
0x004e	78	खेळ सोडा आणि गमावा.
0x004f	79	सोडा आणि जतन करा:
0x0050	80	सोडा आणि रद्द करा:
0x0051	81	खेळणे थांबवा आणि \\ngame जतन करा (प्रतिस्पर्ध्याने सहमत असणे आवश्यक आहे).
0x0052	82	तुम्ही अपूर्ण रेट केलेला गेम सोडत आहात:
0x0053	83	सोडा आणि जतन करा
0x0079	121	स्वीकारा
0x007b	123	सर्व आमंत्रणे नाकारा
0x007c	124	आमंत्रित केले
0x007d	125	\\n \\nगेम पर्याय:
0x007e	126	कारण:
0x007f	127	(पर्यायी)
0x0080	128	तुम्हाला टेबल # वर आमंत्रित केले आहे
0x0081	129	\\n \\n तुम्हाला सामील व्हायला आवडेल का?
0x0082	130	नकार
0x0083	131	फक्त माझ्या मित्रांकडून त्वरित संदेशांना अनुमती द्या.
0x0084	132	दुर्लक्ष करा
0x0085	133	कडून:
0x0086	134	सुरु केले
0x0087	135	प्रोफाइल
0x0088	136	पाठवा
0x0089	137	बंद करा
0x008a	138	आपली हालचाल करा आणि जर
0x008b	139	कॉम्प्युटर प्ले करण्यासाठी 'Play Robot' दाबा.
0x008d	141	- खोली:
0x008e	142	परत येत नाही, तुम्हाला जबरदस्तीने राजीनामा देण्याचा पर्याय दिला जाईल.
0x008f	143	*** जतन करण्याची विनंती केली.
0x0090	144	संरक्षित
0x0091	145	हा गेम जतन करण्याची विनंती केली आहे. \\n हे मान्य आहे का?
0x0092	146	खाजगी
0x0093	147	आपले
0x0094	148	गेममध्ये सामील होण्यासाठी 'बसा' बटणावर क्लिक करा.
0x0095	149	हा गेम रद्द करण्याची विनंती केली आहे. \\n हे मान्य आहे का?
0x0096	150	रद्द केले.
0x0097	151	उभे राहा
0x0098	152	विरोधक
0x0099	153	माझ्या वळणावर
0x009b	155	*** आता कोणीही तुमच्या टेबलमध्ये सामील होऊ शकते.
0x009c	156	s
0x009d	157	प्रतिस्पर्ध्याची वाट पाहत आहे
0x009e	158	सोडा
0x009f	159	टेबलमध्ये सामील झाला आहे.
0x00a0	160	सुरू करण्यासाठी 'प्रारंभ गेम' क्लिक करा.
0x00a1	161	मदत करा
0x00a2	162	टेबल सोडले आहे.
0x00a3	163	*** फक्त तुम्ही आमंत्रित केलेले लोक तुमच्या टेबलवर खेळू शकतात किंवा पाहू शकतात.
0x00a4	164	गेम सुरू करा
0x00a5	165	ऑडिओ चालू आहे
0x00a6	166	- होस्ट:
0x00a7	167	सार्वजनिक
0x00a8	168	रोबोट खेळा
0x00aa	170	बूट
0x00ab	171	*** रद्द करण्याची विनंती केली.
0x00ac	172	*** फक्त तुम्ही आमंत्रित केलेले लोक आता तुमच्या टेबलवर खेळू शकतात.
0x00ae	174	- टेबल:
0x00af	175	*** तुम्ही या टेबलचे होस्ट आहात.
0x00b0	176	खेळ:
0x00b1	177	आपले
0x00b2	178	'प्रारंभ' क्लिक करण्यासाठी प्रतिस्पर्ध्याची प्रतीक्षा करत आहे.
0x00b4	180	एक अपूर्ण रेट केलेला गेम सोडला आहे.\\n
0x00b5	181	*** खेळ
0x00b6	182	जतन
0x00b7	183	आमंत्रित करा
0x00b8	184	भागीदार
0x00b9	185	आवाज
0x00ba	186	जर
0x00bf	191	नाव प्रविष्ट करा:
0x00c0	192	सूचीमधून निवडा
0x00c1	193	- किंवा -
0x00c9	201	पिंग
0x00ca	202	साठी खेळाडू माहिती
0x00cb	203	त्वरित संदेश पाठवा:
0x00cc	204	सेकंद
0x00ce	206	मिनिटे
0x00cf	207	निष्क्रिय वेळ:
0x00e1	225	टेबल
0x00e2	226	कोण पाहत आहे
0x00e3	227	पर्याय:
0x00e4	228	सामील व्हा
0x00e8	232	द्वारे
0x00e9	233	Rtng
0x00ea	234	सेकंद.\\nमाझा निव्वळ विलंब:
0x00eb	235	तुम्हाला बसण्यासाठी आमंत्रित केले आहे.
0x00f0	240	तुमच्या कॅशेमध्ये क्लायंटची जुनी आवृत्ती आहे.
0x00f2	242	पिंग पाठवले... प्रतिसादाच्या प्रतीक्षेत.
0x00f4	244	तात्पुरते
0x00f5	245	नाव
0x00f6	246	गेम सर्व्हरशी कनेक्ट करण्याचा प्रयत्न करत आहे
0x00f7	247	आता खेळा
0x00f9	249	गेममधून बाहेर पडा
0x00fb	251	निव्वळ विलंब:
0x00fd	253	म्हणा:
0x00ff	255	गेम सर्व्हरशी संपर्क साधत आहे...
0x0102	258	त्रुटी: सिस्टम संसाधनांच्या बाहेर.\\nकोणत्याही अनावश्यक विंडो आणि अनुप्रयोग बंद करा.\\nनंतर गेम विंडो बंद करा आणि पुन्हा प्रयत्न करा.
0x0105	261	सर्व्हरशी कनेक्ट करण्यात अक्षम. \\n या चार गोष्टींपैकी एक कारणीभूत असू शकते: \\n1) तुम्ही फायरवॉलच्या मागे आहात. \\n2) तुम्ही इंटरनेटशी कनेक्ट केलेले नाही. \\n3) गेम्स सर्व्हर डाउन आहे. \\n4) तुमच्याकडे एक कॅशे पृष्ठ आहे.
0x0106	262	टेबल तयार करा
0x0108	264	लहान विंडोज
0x0109	265	Tbl
0x010b	267	तुम्हाला टेबलवरून बूट केले गेले आहे
0x010c	268	सर्व्हरवरून डिस्कनेक्ट झाले... खूप वेळ निष्क्रिय
0x0111	273	फक्त \\n मित्रांकडून IM
0x0115	277	... खोलीची स्थिती डाउनलोड करत आहे
0x0118	280	सर्व्हरवर लॉग इन करताना त्रुटी.
0x0119	281	सर्व\\nआमंत्रणे नाकारा
0x011c	284	रुंग
0x011d	285	तुम्ही स्वतःकडे दुर्लक्ष करू शकत नाही.
0x0123	291	सर्व्हरवरून डिस्कनेक्ट झाले
0x0125	293	म्हणून गेम्स सर्व्हरशी कनेक्ट केलेले
0x0128	296	रेटिंग
0x0129	297	गेमची नियुक्ती करण्यासाठी.
0x012a	298	परत येण्यासाठी
0x012b	299	तुमची वाट पहा
0x012c	300	जबरदस्ती आपल्या
0x012d	301	गेम सेव्ह करा
0x012e	302	गेम रद्द करा:
0x012f	303	गेम रद्द करा
0x0130	304	सक्ती जप्त करा:
0x0131	305	थांबा
0x0132	306	खेळणे थांबवा आणि गेम जतन करा.
0x0133	307	अपूर्ण रेट केलेला गेम सोडला आहे:
0x0134	308	खेळणे थांबवा आणि या गेमचा निकाल नोंदवू नका.
0x0135	309	गेम सेव्ह करा:
0x0136	310	सक्ती जप्त करा
0x0137	311	प्रतीक्षा करा:
0x0140	320	ठीक आहे
0x0142	322	ऑडिओ सूचना
0x0164	356	अलर्ट
0x0165	357	ठीक आहे
0x0168	360	रद्द करा
0x016c	364	दुर्लक्ष करा
0x016d	365	प्रोफाइल
0x016e	366	पाठवा
0x016f	367	बंद करा
0x0179	377	बूट
0x017c	380	सेकंद
0x0180	384	आमंत्रित करा
0x01f5	501	तुमचे आमंत्रण नाकारले आहे.\\nकारण:
0x072c	1836	अवैध वेळ निर्दिष्ट.
0x072d	1837	वाढ:
0x072e	1838	मिनिटे
0x072f	1839	सुरुवातीची वेळ:
0x0730	1840	रद्द करा
0x0731	1841	सेकंद
0x0732	1842	ठीक आहे
0x0733	1843	जास्तीत जास्त
0x0734	1844	टाइमर सेट करा
0x0735	1845	प्रति हलवा मिनिटे
0x0736	1846	टाइमर नाही
0x073b	1851	शेवटची चाल
0x073c	1852	तुमच्या प्रतिस्पर्ध्याने ड्रॉ ऑफर केला आहे. तुम्ही स्वीकारता का?
0x073d	1853	रेटेड गेम
0x073e	1854	ऑफर ड्रॉ
0x073f	1855	तुमच्या प्रतिस्पर्धीने त्याच्या किंवा त्याच्या मागील हालचाली मागे घेण्याची विनंती केली आहे.
0x0740	1856	वळण पूर्ववत करा
0x0741	1857	*** ड्रॉ ऑफर नाकारली.
0x0742	1858	तुमची खात्री आहे की तुम्ही राजीनामा देऊ इच्छिता?
0x0743	1859	गेम जिंकतो.
0x0744	1860	*** पूर्ववत करण्याची विनंती केली
0x0745	1861	काढा
0x0746	1862	*** पूर्ववत मंजूर केले
0x0747	1863	मिनिट प्रारंभिक वेळ.
0x0748	1864	दुसरी वाढ.
0x074a	1866	वेळेची मर्यादा नाही.
0x0751	1873	काहीही नाही
0x0752	1874	min./move
0x0753	1875	टाइमर सेट करा
0x0754	1876	फक्त टेबलचा होस्ट टायमर सेट करू शकतो.
0x0755	1877	टाइमर:
0x0756	1878	वेळ:
0x0760	1888	रेट केलेले
0x0761	1889	रेटेड
0x08da	2266	लाल
0x08db	2267	पांढरा
0x08dd	2269	लाल
0x08de	2270	पांढरा
0x0b48	2888	अधिक जाणून घ्या
0x0b4c	2892	माझ्या गेमची लिंक \\nmy Yahoo!
0x0b4d	2893	अधिक जाणून घ्या
0x0b80	2944	पहा
0x0c5b	3163	आपले
0x0c60	3168	वेळ:
0x0d35	3381	पर्याय
0x0d36	3382	झाले
0x0d43	3395	पर्याय
0x0d44	3396	पहा
0x0dde	3550	अवतार:
0x0de8	3560	अपवित्र फिल्टर:
0x0e0c	3596	मिनिट
0x0e1b	3611	काहीही नाही
0x0e1c	3612	मजबूत
0x0e1d	3613	कमकुवत
0x111f	4383	खेळ संपला:
0x1129	4393	बाकी वेळ:
0x1131	4401	जाहिरात:
0x1143	4419	राजीनामा द्या
0x158a	5514	Macintosh प्लॅटफॉर्म लाइव्हस्क्रिप्टला सपोर्ट करत नाही.
0x159b	5531	आवाज
0x1605	5637	खेळ सुरू होण्याची वेळ:
0x1629	5673	1 दिवस
0x162a	5674	1 तास
0x162b	5675	1 मिनिट
0x162c	5676	10 मिनिटे
0x162d	5677	15 मिनिटे
0x162e	5678	3 तास
0x162f	5679	30 मिनिटे
0x1630	5680	5 मिनिटे
0x1631	5681	बंदी
0x1632	5682	लाथ मारणे
0x1633	5683	नि:शब्द करा
0x1634	5684	कक्ष प्रशासन:
0x16b8	5816	वर्णन:\\n(पर्यायी)
0x16b9	5817	सर्व-Star\\nसदस्यत्व दर्शवा
0x16ba	5818	आवाज
0x1761	5985	रद्द करा
0x1762	5986	गेम पर्याय
0x1763	5987	सुरू करा
0x18cd	6349	स्वॅप
