# key_hex	key_dec	text
0x0000	0	Éber
0x0001	1	RENDBEN
0x0017	23	Ül
0x0018	24	ideiglenes
0x0031	49	Ezt a játékot\\n hozta neked:
0x0032	50	Játék vége
0x0034	52	Opciók
0x0035	53	Táblázat típusa
0x0041	65	Igen
0x0042	66	Nem
0x0048	72	Hagyja abba a játékot, és törölje a játék eredményét\\n (az ellenfélnek bele kell egyeznie).
0x0049	73	Mindegy
0x004a	74	Lépjen ki a Megerősítésből
0x004b	75	Kilépés és felmondás:
0x004c	76	Lépjen ki és mégse
0x004d	77	Kilépés és Forfeit
0x004e	78	Lépjen ki és hagyja abba a játékot.
0x004f	79	Kilépés és mentés:
0x0050	80	Kilépés és lemondás:
0x0051	81	Hagyd abba a játékot és mentsd el a\\njátékot (az ellenfélnek bele kell egyeznie).
0x0052	82	Kilépsz egy befejezetlen minősített játékból:
0x0053	83	Kilépés és mentés
0x0079	121	Elfogadás
0x007b	123	Minden meghívó elutasítása
0x007c	124	Meghívott
0x007d	125	\\n \\nJátéklehetőségek:
0x007e	126	Ok:
0x007f	127	(választható)
0x0080	128	meghívott a # asztalhoz
0x0081	129	\\n \\nSzeretnél csatlakozni?
0x0082	130	Hanyatlás
0x0083	131	Csak az ismerőseimtől érkező azonnali üzenetek engedélyezése.
0x0084	132	Figyelmen kívül hagyni
0x0085	133	Tól:
0x0086	134	elindult
0x0087	135	Profil
0x0088	136	Elküld
0x0089	137	Közeli
0x008a	138	Tedd meg a lépésedet, és ha
0x008b	139	Nyomja meg a „Play Robot” gombot a számítógépes lejátszáshoz.
0x008d	141	- Szoba:
0x008e	142	nem tér vissza, akkor lehetőséget kap a lemondásra.
0x008f	143	*** Mentés kérve.
0x0090	144	Védett
0x0091	145	kérte ennek a játéknak a mentését.\\nElfogadható ez?
0x0092	146	Magán
0x0093	147	a te
0x0094	148	A játékhoz való csatlakozáshoz kattintson a „Sit” gombra.
0x0095	149	kérte ennek a játéknak a törlését.\\nElfogadható ez?
0x0096	150	törölve.
0x0097	151	Feláll
0x0098	152	ellenfél
0x0099	153	Az én körömön
0x009b	155	*** Most bárki csatlakozhat az asztalához.
0x009c	156	s.
0x009d	157	Várja az ellenfelet
0x009e	158	Kilép
0x009f	159	csatlakozott az asztalhoz.
0x00a0	160	Kattintson a „Játék indítása” gombra a kezdéshez.
0x00a1	161	Segítség
0x00a2	162	elhagyta az asztalt.
0x00a3	163	*** Csak az Ön által meghívott személyek játszhatnak vagy nézhetik az asztalát.
0x00a4	164	Játék indítása
0x00a5	165	Hang bekapcsolva
0x00a6	166	- Házigazda:
0x00a7	167	Nyilvános
0x00a8	168	Játssz Robot
0x00aa	170	Csomagtartó
0x00ab	171	*** Törlés kérve.
0x00ac	172	*** Most csak az Ön által meghívott személyek játszhatnak az asztalánál.
0x00ae	174	- Táblázat:
0x00af	175	*** Ön ennek az asztalnak a házigazdája.
0x00b0	176	Játék:
0x00b1	177	A te
0x00b2	178	Várakozás, amíg az ellenfél a 'Start' gombra kattint.
0x00b4	180	befejezetlen minősített játékot hagyott hátra.\\n
0x00b5	181	*** Játék
0x00b6	182	mentve.
0x00b7	183	Meghív
0x00b8	184	partner
0x00b9	185	Hang
0x00ba	186	Ha
0x00bf	191	Írja be a nevet:
0x00c0	192	Válassza a Listából lehetőséget
0x00c1	193	- vagy -
0x00c9	201	Ping
0x00ca	202	Játékos információ a számára
0x00cb	203	Azonnali üzenet küldése:
0x00cc	204	másodpercig.
0x00ce	206	jegyzőkönyv.
0x00cf	207	Holtidő:
0x00e1	225	Táblázat
0x00e2	226	Ki figyel
0x00e3	227	opciók:
0x00e4	228	CSATLAKOZIK
0x00e8	232	által
0x00e9	233	Rtng
0x00ea	234	másodperc.\\nA nettó késleltetésem:
0x00eb	235	meghívta, hogy foglaljon helyet.
0x00f0	240	A gyorsítótárban az ügyfél régi verziója van.
0x00f2	242	A ping elküldve... válaszra vár.
0x00f4	244	ideiglenes
0x00f5	245	Név
0x00f6	246	Megpróbál csatlakozni a játékszerverhez
0x00f7	247	Játssz most
0x00f9	249	Kilépés a játékokból
0x00fb	251	nettó késése:
0x00fd	253	Mondd:
0x00ff	255	Kapcsolatfelvétel a játékszerverrel...
0x0102	258	Hiba: Elfogytak a rendszererőforrások.\\nZárja be a szükségtelen ablakokat és alkalmazásokat.\\nEzután zárja be a játékok ablakát, és próbálkozzon újra.
