# key_hex	key_dec	text
0x0000	0	警报
0x0001	1	好的
0x0017	23	坐
0x0018	24	临时
0x0031	49	该游戏由\\n 为您提供：
0x0032	50	游戏结束
0x0034	52	选项
0x0035	53	桌子类型
0x0041	65	是的
0x0042	66	不
0x0048	72	停止比赛并取消本场比赛的结果\\n（必须得到对手同意）。
0x0049	73	没关系
0x004a	74	退出确认
0x004b	75	退出和放弃：
0x004c	76	退出并取消
0x004d	77	退出和放弃
0x004e	78	退出并放弃游戏。
0x004f	79	退出并保存：
0x0050	80	退出并取消：
0x0051	81	停止玩并保存 \\n 游戏（对手必须同意）。
0x0052	82	您正在退出未完成的评级游戏：
0x0053	83	退出并保存
0x0079	121	接受
0x007b	123	拒绝所有邀请
0x007c	124	受邀
0x007d	125	\\n \\n游戏选项：
0x007e	126	原因：
0x007f	127	（选修的）
0x0080	128	已邀请您就座#
0x0081	129	\\n \\n你想加入吗？
0x0082	130	衰退
0x0083	131	仅允许来自我的朋友的即时消息。
0x0084	132	忽略
0x0085	133	从：
0x0086	134	开始了
0x0087	135	轮廓
0x0088	136	发送
0x0089	137	关闭
0x008a	138	采取行动，如果
0x008b	139	按“玩机器人”即可玩电脑。
0x008d	141	- 房间：
0x008e	142	不返回，您\\n将获得强制辞职的选项。
0x008f	143	*** 请求保存。
0x0090	144	受保护
0x0091	145	已请求保存该游戏。\\nI这可以接受吗？
0x0092	146	私人的
0x0093	147	你的
0x0094	148	单击“坐下”按钮即可加入游戏。
0x0095	149	已要求取消该游戏。\\nI这可以接受吗？
0x0096	150	取消。
0x0097	151	起来
0x0098	152	对手
0x0099	153	轮到我了
0x009b	155	*** 现在任何人都可以加入您的餐桌。
0x009c	156	s。
0x009d	157	等待对手
0x009e	158	辞职
0x009f	159	已加入表中。
0x00a0	160	单击“开始游戏”开始。
0x00a1	161	帮助
0x00a2	162	已离开餐桌。
0x00a3	163	*** 现在只有您邀请的人可以在您的牌桌玩游戏或观看您的牌桌。
0x00a4	164	开始游戏
0x00a5	165	音频开启
0x00a6	166	- 主持人：
0x00a7	167	民众
0x00a8	168	玩机器人
0x00aa	170	开机
0x00ab	171	*** 取消请求。
0x00ac	172	*** 现在只有您邀请的人可以在您的牌桌上玩。
0x00ae	174	- 桌子：
0x00af	175	*** 您是本桌的主持人。
0x00b0	176	游戏：
0x00b1	177	你的
0x00b2	178	等待对手点击“开始”。
0x00b4	180	留下了未完成的评分游戏。\\n
0x00b5	181	*** 游戏
0x00b6	182	已保存。
0x00b7	183	邀请
0x00b8	184	伙伴
0x00b9	185	声音
0x00ba	186	如果
0x00bf	191	输入姓名：
0x00c0	192	从列表中选择
0x00c1	193	- 或者 -
0x00c9	201	平
0x00ca	202	玩家信息
0x00cb	203	发送即时消息：
0x00cc	204	秒。
0x00ce	206	分钟。
0x00cf	207	空闲时间：
0x00e1	225	桌子
0x00e2	226	谁在观看
0x00e3	227	选项：
0x00e4	228	加入
0x00e8	232	经过
0x00e9	233	罗腾
0x00ea	234	秒.\\n我的网络延迟：
0x00eb	235	已邀请您入座。
0x00f0	240	您的缓存中有旧版本的客户端。
0x00f2	242	Ping 已发送...等待响应。
0x00f4	244	临时
0x00f5	245	姓名
0x00f6	246	尝试连接到游戏服务器
0x00f7	247	立即播放
0x00f9	249	退出游戏
0x00fb	251	的净延迟：
0x00fd	253	说：
0x00ff	255	正在联系游戏服务器...
0x0102	258	错误：系统资源不足。\\n关闭任何不需要的窗口和应用程序。\\n然后关闭游戏窗口并重试。
0x0105	261	无法连接到服务器。\\n以下四种情况之一可能会导致此问题：\\n1)您位于防火墙后面。\\n2)您未连接到互联网。\\n3)游戏服务器已关闭。\\n4)您的缓存中有一个过时的页面。
0x0106	262	创建表
0x0108	264	小窗户
0x0109	265	表格
0x010b	267	您已从表中启动
0x010c	268	与服务器断开连接...空闲时间太长
0x0111	273	仅限来自\\n朋友的即时消息
0x0115	277	...正在下载房间状态
0x0118	280	登录服务器时出错。
0x0119	281	拒绝所有\\n邀请
0x011c	284	梯级
0x011d	285	你不能忽视你自己。
0x0123	291	与服务器断开连接
0x0125	293	连接到游戏服务器作为
0x0128	296	评级
0x0129	297	向\\n退出游戏。
0x012a	298	返回。
0x012b	299	等待你的
0x012c	300	强迫你的
0x012d	301	保存游戏
0x012e	302	取消游戏：
0x012f	303	取消游戏
0x0130	304	强制放弃：
0x0131	305	等待
0x0132	306	停止玩并保存游戏。
0x0133	307	已放弃未完成的评级游戏：
0x0134	308	停止玩并且不要记录本次游戏的结果。
0x0135	309	保存游戏：
0x0136	310	强制放弃
0x0137	311	等待：
0x0140	320	好的
0x0142	322	音频警报
0x0164	356	警报
0x0165	357	好的
0x0168	360	取消
0x016c	364	忽略
0x016d	365	轮廓
0x016e	366	发送
0x016f	367	关闭
0x0179	377	开机
0x017c	380	秒。
0x0180	384	邀请
0x01f5	501	已拒绝您的邀请。\\n原因：
0x0b48	2888	了解更多
0x0b4c	2892	在 \\nmy Yahoo! 中显示我的游戏链接
0x0b4d	2893	了解更多
0x0b80	2944	手表
0x0c5b	3163	你的
0x0d35	3381	选项
0x0d36	3382	完毕
0x0d43	3395	选项
0x0d44	3396	手表
0x0dde	3550	头像：
0x0de8	3560	脏话过滤器：
0x0e0c	3596	分钟。
0x0e1b	3611	没有任何
0x0e1c	3612	强的
0x0e1d	3613	虚弱的
0x111f	4383	游戏结束：
0x1129	4393	剩余时间：
0x1131	4401	广告：
0x11bf	4543	选择类型
0x11c0	4544	好的
0x11c1	4545	坚硬的
0x11c2	4546	条纹
0x11c6	4550	有球在手。
0x1213	4627	选择口袋。
0x1214	4628	单击您想要击打的球。
0x1217	4631	用鼠标左键拖动提示。
0x1225	4645	犯规！
0x1243	4675	按空格键进行射击。
0x1244	4676	按住Shift+鼠标左键拉动进行射击。
0x1245	4677	用鼠标右键拉动进行射击。
0x1252	4690	划痕！
0x1253	4691	再次射击！
0x1254	4692	射击！
0x125c	4700	您想玩哪种球类型？
0x125d	4701	您可以在击球前移动母球。
0x12b5	4789	重置
0x132c	4908	30秒
0x132d	4909	没有计时器。
0x132e	4910	评级。
0x132f	4911	秒。
0x1338	4920	英语
0x136c	4972	力量
0x13fc	5116	每次移动时间：
0x13fd	5117	定时器
0x1400	5120	取消
0x1401	5121	八球赛
0x1402	5122	游戏选项
0x1403	5123	评级游戏。
0x1404	5124	开始
0x1405	5125	训练。
0x140a	5130	秒。
0x1413	5139	赢得比赛。
0x158a	5514	Macintosh 平台不支持 livescript。
0x159b	5531	嗓音
0x1605	5637	比赛开始时间：
0x1629	5673	1天
0x162a	5674	1小时
0x162b	5675	1分钟
0x162c	5676	10分钟
0x162d	5677	15分钟
0x162e	5678	3小时
0x162f	5679	30分钟
0x1630	5680	5分钟
0x1631	5681	禁止
0x1632	5682	踢
0x1633	5683	沉默的
0x1634	5684	房间管理：
0x1676	5750	取消
0x1677	5751	了解更多
0x1694	5780	九球游戏
0x1696	5782	雅虎可使用 9 球台球！
0x169c	5788	雅虎可使用 9 球台球！
0x16b2	5810	8球。
0x16b3	5811	9球。
0x16b5	5813	8球。
0x16b6	5814	9球。
0x16b7	5815	训练。
0x16b8	5816	描述：\\n（可选）
0x16b9	5817	显示全明星\\n会员资格
0x16ba	5818	嗓音
0x1761	5985	取消
0x1762	5986	游戏选项
0x1763	5987	开始
0x179d	6045	y
0x18cd	6349	交换
0x18ce	6350	无法打开表格窗口。\\n请将您的浏览器设置为允许此站点弹出窗口，然后重试。
0x18cf	6351	正在尝试弹出表格窗口...
