# key_hex	key_dec	text
0x0000	0	เตือน
0x0001	1	ตกลง
0x0017	23	นั่ง
0x0018	24	ชั่วคราว
0x0031	49	เกมนี้\\nมาถึงคุณโดย:
0x0032	50	เกมโอเวอร์
0x0034	52	ตัวเลือก
0x0035	53	ประเภทตาราง
0x0041	65	ใช่
0x0042	66	เลขที่
0x0048	72	หยุดเล่นและยกเลิกผล\\nของเกมนี้ (ฝ่ายตรงข้ามต้องยอมรับ)
0x0049	73	ช่างเถอะ
0x004a	74	ออกจากการยืนยัน
0x004b	75	ลาออกและริบ:
0x004c	76	ออกและยกเลิก
0x004d	77	ลาออกและสูญเสีย
0x004e	78	ออกจากเกมแล้วแพ้
0x004f	79	ออกและบันทึก:
0x0050	80	ออกและยกเลิก:
0x0051	81	หยุดเล่นและบันทึกเกม \\n (ฝ่ายตรงข้ามต้องยอมรับ)
0x0052	82	คุณกำลังออกจากเกมเรตติ้งที่ยังสร้างไม่เสร็จ:
0x0053	83	ออกและบันทึก
0x0079	121	ยอมรับ
0x007b	123	ปฏิเสธคำเชิญทั้งหมด
0x007c	124	เชิญ
0x007d	125	\\n \\nตัวเลือกเกม:
0x007e	126	เหตุผล:
0x007f	127	(ไม่จำเป็น)
0x0080	128	ได้เชิญคุณไปที่โต๊ะ #
0x0081	129	\\n \\nคุณต้องการเข้าร่วมไหม?
0x0082	130	ปฏิเสธ
0x0083	131	อนุญาตข้อความโต้ตอบแบบทันทีจากเพื่อนของฉันเท่านั้น
0x0084	132	ไม่สนใจ
0x0085	133	จาก:
0x0086	134	เริ่ม
0x0087	135	ประวัติโดยย่อ
0x0088	136	ส่ง
0x0089	137	ปิด
0x008a	138	เคลื่อนไหวและถ้า
0x008b	139	กด 'Play Robot' เพื่อเล่นคอมพิวเตอร์
0x008d	141	- ห้อง:
0x008e	142	ไม่กลับมา คุณ\\nจะได้รับตัวเลือกในการบังคับลาออก
0x008f	143	*** บันทึกที่ร้องขอ
0x0090	144	ได้รับการคุ้มครอง
0x0091	145	ได้ขอให้บันทึกเกมนี้ \\nI ยอมรับได้หรือไม่
