# key_hex	key_dec	text
0x0000	0	알리다
0x0001	1	좋아요
0x0017	23	앉다
0x0018	24	임시
0x0031	49	이 게임은 \\n 제공자:
0x0032	50	게임 오버
0x0034	52	옵션
0x0035	53	테이블 유형
0x0041	65	예
0x0042	66	아니요
0x0048	72	플레이를 중지하고 이 게임의 결과\\n를 취소합니다(상대방이 동의해야 함).
0x0049	73	괜찮아요
0x004a	74	종료 확인
0x004b	75	종료 및 몰수:
0x004c	76	종료 및 취소
0x004d	77	종료 및 몰수
0x004e	78	게임을 종료하고 몰수당합니다.
0x004f	79	종료하고 저장하세요.
0x0050	80	종료 및 취소:
0x0051	81	플레이를 중단하고 \\n 게임을 저장하세요(상대방이 동의해야 함).
0x0052	82	완료되지 않은 등급 게임을 종료하려고 합니다.
0x0053	83	종료하고 저장
0x0079	121	수용하다
0x007b	123	모든 초대 거절
0x007c	124	초대됨
0x007d	125	\\n \\n게임 옵션:
0x007e	126	이유:
0x007f	127	(선택 과목)
0x0080	128	님이 테이블 #에 당신을 초대했습니다.
0x0081	129	\\n \\n가입하시겠습니까?
0x0082	130	감소
0x0083	131	내 친구의 인스턴트 메시지만 허용합니다.
0x0084	132	무시하다
0x0085	133	에서:
0x0086	134	시작했다
0x0087	135	윤곽
0x0088	136	보내다
0x0089	137	닫다
0x008a	138	움직이고 만약에
0x008b	139	컴퓨터를 재생하려면 '로봇 재생'을 누르세요.
0x008d	141	- 방:
0x008e	142	반환하지 않으면 \\n에게 강제 사직 옵션이 제공됩니다.
0x008f	143	*** 저장을 요청했습니다.
0x0090	144	보호됨
0x0091	145	님이 이 게임을 저장해 달라고 요청했습니다.\\nI이것이 허용됩니까?
0x0092	146	사적인
0x0093	147	당신의
0x0094	148	게임에 참여하려면 '앉기' 버튼을 클릭하세요.
0x0095	149	님이 이 게임을 취소해 달라고 요청했습니다.\\nI이것이 허용됩니까?
0x0096	150	취소.
0x0097	151	일어 서서
0x0098	152	상대
0x0099	153	내 차례에
0x009b	155	*** 이제 누구나 테이블에 참여할 수 있습니다.
0x009c	156	에스.
0x009d	157	상대를 기다리고 있다
0x009e	158	그만두다
0x009f	159	이 테이블에 합류했습니다.
0x00a0	160	시작하려면 '게임 시작'을 클릭하세요.
0x00a1	161	돕다
0x00a2	162	테이블을 떠났습니다.
0x00a3	163	*** 이제 귀하가 초대한 사람들만 귀하의 테이블에서 플레이하거나 시청할 수 있습니다.
0x00a4	164	게임 시작
0x00a5	165	오디오 켜짐
0x00a6	166	- 주인:
0x00a7	167	공공의
0x00a8	168	로봇 놀이
0x00aa	170	신병
0x00ab	171	*** 취소를 요청했습니다.
0x00ac	172	*** 이제 귀하가 초대한 사람들만 귀하의 테이블에서 플레이할 수 있습니다.
0x00ae	174	- 테이블:
0x00af	175	*** 귀하는 이 테이블의 호스트입니다.
0x00b0	176	게임:
0x00b1	177	당신의
0x00b2	178	상대방이 '시작'을 클릭하기를 기다리고 있습니다.
0x00b4	180	님이 완료되지 않은 평가 게임을 남겼습니다.\\n
0x00b5	181	*** 게임
0x00b6	182	저장되었습니다.
0x00b7	183	초대하다
0x00b8	184	파트너
0x00b9	185	소리
0x00ba	186	만약에
0x00bf	191	이름 입력:
0x00c0	192	목록에서 선택
0x00c1	193	- 또는 -
0x00c9	201	핑
0x00ca	202	플레이어 정보
0x00cb	203	인스턴트 메시지 보내기:
0x00cc	204	초.
0x00ce	206	분.
0x00cf	207	유휴 시간:
0x00e1	225	테이블
0x00e2	226	누가 보고 있나요
0x00e3	227	옵션:
0x00e4	228	가입하다
0x00e8	232	~에 의해
0x00e9	233	수신
0x00ea	234	초.\\nMy 순 지연:
0x00eb	235	자리에 앉으라고 초대하셨습니다.
0x00f0	240	캐시에 이전 버전의 클라이언트가 있습니다.
0x00f2	242	Ping이 발송되었습니다. 응답을 기다리는 중입니다.
0x00f4	244	임시
0x00f5	245	이름
0x00f6	246	게임 서버에 연결을 시도하는 중
0x00f7	247	지금 플레이
0x00f9	249	종료 게임
0x00fb	251	님의 순 지연:
0x00fd	253	말하다:
0x00ff	255	게임 서버에 접속하는 중...
0x0102	258	오류: 시스템 리소스가 부족합니다.\\n필요하지 않은 창과 응용 프로그램을 닫습니다.\\n그런 다음 게임 창을 닫고 다시 시도하십시오.
0x0105	261	서버에 연결할 수 없습니다.\\n네 가지 원인 중 하나일 수 있습니다.\\n1)방화벽 뒤에 있습니다.\\n2)인터넷에 연결되어 있지 않습니다.\\n3)게임 서버가 다운되었습니다.\\n4)캐시에 오래된 페이지가 있습니다.
0x0106	262	테이블 생성
0x0108	264	작은 창문
0x0109	265	Tbl
0x010b	267	테이블에서 부팅되었습니다
0x010c	268	서버 연결이 끊겼습니다. 유휴 시간이 너무 길었습니다.
0x0111	273	\\n친구로부터의 IM만
0x0115	277	... 방 상태 다운로드 중
0x0118	280	서버에 로그인하는 중에 오류가 발생했습니다.
0x0119	281	모든\\n초대 거절
0x011c	284	가로장
0x011d	285	당신은 자신을 무시할 수 없습니다.
0x0123	291	서버에서 연결이 끊어졌습니다.
0x0125	293	게임 서버에 다음과 같이 연결되었습니다.
0x0128	296	평가
0x0129	297	\\n게임을 종료합니다.
0x012a	298	돌아오다.
0x012b	299	당신의
0x012c	300	강제로
0x012d	301	게임 저장
0x012e	302	게임 취소:
0x012f	303	게임 취소
