# key_hex	key_dec	text
0x0000	0	ማንቂያ
0x0001	1	እሺ
0x0017	23	ተቀመጥ
0x0018	24	ጊዜያዊ
0x0031	49	ይህ ጨዋታ \\n ለእርስዎ ያመጣው በ፡
0x0032	50	አበቃለት
0x0034	52	አማራጮች
0x0035	53	የጠረጴዛ ዓይነት
0x0041	65	አዎ
0x0042	66	አይ
0x0048	72	መጫወት አቁም እና የዚህን ጨዋታ ውጤት\\n ሰርዝ (ተቃዋሚው መስማማት አለበት)።
0x0049	73	ግድ የሌም
0x004a	74	ማረጋገጫን አቋርጥ
0x004b	75	ተወው እና ተወው
0x004c	76	አቁም እና ሰርዝ
0x004d	77	ተው እና ተወው
0x004e	78	ጨዋታውን ያቁሙ እና ያጥፉ።
0x004f	79	አቁም እና አስቀምጥ፡
0x0050	80	አቁም እና ሰርዝ፡
0x0051	81	መጫወት አቁም እና የ\\nጨዋታን አስቀምጥ (ተቃዋሚው መስማማት አለበት)።
0x0052	82	ያልተጠናቀቀ ደረጃ የተሰጠውን ጨዋታ እያቆሙ ነው፡-
0x0053	83	ያቁሙ እና ያስቀምጡ
0x0079	121	ተቀበል
0x007b	123	ሁሉንም ግብዣዎች አትቀበል
0x007c	124	ተጋብዘዋል
0x007d	125	\\n \\nየጨዋታ አማራጮች፡-
0x007e	126	ምክንያት፡-
0x007f	127	(አማራጭ)
0x0080	128	ወደ ጠረጴዛ ጋብዞዎታል #
0x0081	129	\\n \\n መቀላቀል ይፈልጋሉ?
0x0082	130	አትቀበል
0x0083	131	ፈጣን መልዕክቶችን ከጓደኞቼ ብቻ ፍቀድ።
0x0084	132	ችላ በል
0x0085	133	ከ፥
0x0086	134	ጀመረ
0x0087	135	መገለጫ
0x0088	136	ላክ
0x0089	137	ገጠመ
0x008a	138	እንቅስቃሴዎን ያድርጉ እና ከሆነ
0x008b	139	ኮምፒተርን ለማጫወት 'Play Robot' ን ይጫኑ።
0x008d	141	- ክፍል:
0x008e	142	አይመለስም ፣ እርስዎ ለመልቀቅ የማስገደድ አማራጭ ይሰጥዎታል ።
0x008f	143	*** ማስቀመጥ ተጠይቋል።
0x0090	144	የተጠበቀ
0x0091	145	ይህ ጨዋታ እንዲድን ጠይቋል።\\n ይህ ተቀባይነት አለው?
0x0092	146	የግል
0x0093	147	ያንተ
