# key_hex	key_dec	text
0x0000	0	எச்சரிக்கை
0x0001	1	சரி
0x0017	23	உட்காருங்கள்
0x0018	24	தற்காலிக
0x0031	49	இந்த கேம் \\nஉங்களிடம் கொண்டு வந்தது:
0x0032	50	விளையாட்டு முடிந்தது
0x0034	52	விருப்பங்கள்
0x0035	53	அட்டவணை வகை
0x0041	65	ஆம்
0x0042	66	இல்லை
0x0048	72	விளையாடுவதை நிறுத்திவிட்டு, இந்த விளையாட்டின் முடிவை ரத்துசெய்யவும்\\n (எதிராளி ஒப்புக்கொள்ள வேண்டும்).
0x0049	73	பரவாயில்லை
0x004a	74	உறுதிப்படுத்தலிலிருந்து வெளியேறு
0x004b	75	வெளியேறுதல் மற்றும் கைவிடுதல்:
0x004c	76	வெளியேறவும் மற்றும் ரத்து செய்யவும்
0x004d	77	க்விட் அண்ட் ஃபீட்
0x004e	78	விளையாட்டை விட்டு வெளியேறவும்.
0x004f	79	வெளியேறி சேமிக்கவும்:
0x0050	80	வெளியேறி ரத்துசெய்:
0x0051	81	விளையாடுவதை நிறுத்திவிட்டு, \\nகேமைச் சேமிக்கவும் (எதிராளி ஒப்புக்கொள்ள வேண்டும்).
0x0052	82	முடிக்கப்படாத மதிப்பிடப்பட்ட விளையாட்டை விட்டு வெளியேறுகிறீர்கள்:
0x0053	83	வெளியேறி சேமிக்கவும்
0x0079	121	ஏற்றுக்கொள்
0x007b	123	அனைத்து அழைப்புகளையும் நிராகரிக்கவும்
0x007c	124	அழைக்கப்பட்டது
0x007d	125	\\n \\nகேம் விருப்பங்கள்:
0x007e	126	காரணம்:
0x007f	127	(விரும்பினால்)
0x0080	128	உங்களை அட்டவணைக்கு அழைத்துள்ளார் #
0x0081	129	\\n \\n நீங்கள் சேர விரும்புகிறீர்களா?
0x0082	130	நிராகரி
0x0083	131	எனது நண்பர்களிடமிருந்து உடனடி செய்திகளை மட்டும் அனுமதி.
0x0084	132	புறக்கணிக்கவும்
0x0085	133	இருந்து:
0x0086	134	தொடங்கியது
0x0087	135	சுயவிவரம்
0x0088	136	அனுப்பு
0x0089	137	மூடு
0x008a	138	உங்கள் நகர்வை மேற்கொள்ளவும்
0x008b	139	கணினியை இயக்க 'Play Robot' ஐ அழுத்தவும்.
0x008d	141	- அறை:
0x008e	142	திரும்ப வரவில்லை, நீங்கள் \\n ராஜினாமாவை கட்டாயப்படுத்தும் விருப்பம் வழங்கப்படும்.
0x008f	143	*** சேமிக்க கோரப்பட்டது.
0x0090	144	பாதுகாக்கப்பட்டது
0x0091	145	இந்த கேம் சேமிக்கப்பட வேண்டும் என்று கோரியுள்ளார்.\\nI இது ஏற்கத்தக்கதா?
0x0092	146	தனியார்
0x0093	147	உங்கள்
0x0094	148	விளையாட்டில் சேர 'உட்கார்' பொத்தானைக் கிளிக் செய்யவும்.
0x0095	149	இந்த விளையாட்டை ரத்து செய்யுமாறு கோரியுள்ளார்.\\nI இது ஏற்கத்தக்கதா?
0x0096	150	ரத்து செய்யப்பட்டது.
0x0097	151	எழுந்து நில்லுங்கள்
0x0098	152	எதிர்ப்பாளர்
0x0099	153	என் முறை
0x009b	155	*** இப்போது உங்கள் அட்டவணையில் யார் வேண்டுமானாலும் சேரலாம்.
0x009c	156	கள்.
0x009d	157	எதிரிக்காக காத்திருக்கிறது
0x009e	158	வெளியேறு
0x009f	159	மேஜையில் சேர்ந்துள்ளார்.
