# key_hex	key_dec	text
0x0000	0	Предупреждение
0x0001	1	добре
0x0017	23	Седни
0x0018	24	временни
0x0031	49	Тази игра \\n ви беше предоставена от:
0x0032	50	Game Over
0x0034	52	Опции
0x0035	53	Тип маса
0x0041	65	да
0x0042	66	не
0x0048	72	Спрете да играете и отменете резултата\\nот тази игра (противникът трябва да се съгласи).
0x0049	73	Няма значение
0x004a	74	Потвърждение за излизане
0x004b	75	Отказ и загуба:
0x004c	76	Изход и Отказ
0x004d	77	Отказ и загуба
0x004e	78	Излезте и загубите играта.
0x004f	79	Излезте и запазете:
0x0050	80	Изход и Отказ:
0x0051	81	Спрете да играете и запазете играта \\n (противникът трябва да се съгласи).
0x0052	82	Излизате от незавършена оценена игра:
0x0053	83	Излезте и запазете
0x0079	121	Приеми
0x007b	123	Отказ на всички покани
0x007c	124	Поканен
0x007d	125	\\n \\nОпции на играта:
0x007e	126	причина:
0x007f	127	(по избор)
0x0080	128	ви покани на маса #
0x0081	129	\\n \\n Искате ли да се присъедините?
0x0082	130	Откажи
0x0083	131	Разрешаване на незабавни съобщения само от моите приятели.
0x0084	132	Игнорирайте
0x0085	133	от:
0x0086	134	започна
0x0087	135	Профил
0x0088	136	Изпратете
0x0089	137	затвори
0x008a	138	Направете своя ход и ако
0x008b	139	Натиснете 'Play Robot', за да играете на компютъра.
0x008d	141	- Стая:
0x008e	142	не се върне, \\n ще ви бъде дадена опцията да принудите да подадете оставка.
0x008f	143	*** Поискано запазване.
0x0090	144	Защитен
0x0091	145	поиска тази игра да бъде запазена.\\nПриемливо ли е това?
0x0092	146	Частно
0x0093	147	вашият
0x0094	148	Щракнете върху бутон „Седни“, за да се присъедините към играта.
0x0095	149	поиска тази игра да бъде отменена.\\nПриемливо ли е това?
0x0096	150	отменен.
0x0097	151	Изправи се
0x0098	152	противник
0x0099	153	На мой ред
0x009b	155	*** Всеки може да се присъедини към вашата маса сега.
0x009c	156	s.
0x009d	157	В очакване на противника
0x009e	158	Откажете се
0x009f	159	се присъедини към масата.
0x00a0	160	Кликнете върху „Стартиране на играта“, за да започнете.
0x00a1	161	Помощ
0x00a2	162	е напуснал масата.
0x00a3	163	*** Само хората, които сте поканили, могат да играят или да гледат вашата маса сега.
0x00a4	164	Старт на играта
0x00a5	165	Аудио включено
0x00a6	166	- Домакин:
0x00a7	167	Обществен
0x00a8	168	Играйте на робот
0x00aa	170	Обувка
0x00ab	171	*** Поискано отмяна.
0x00ac	172	*** Само хора, които сте поканили, могат да играят на вашата маса сега.
0x00ae	174	- Маса:
0x00af	175	*** Вие сте домакин на тази маса.
0x00b0	176	Игра:
0x00b1	177	Вашият
0x00b2	178	Изчакване противникът да щракне върху „Старт“.
0x00b4	180	е оставил незавършена оценена игра.\\n
0x00b5	181	*** Игра
0x00b6	182	запазени.
0x00b7	183	Покани
0x00b8	184	партньор
0x00b9	185	Звук
0x00ba	186	Ако
0x00bf	191	Въведете име:
0x00c0	192	Изберете От списъка
0x00c1	193	- или -
0x00c9	201	Пинг
0x00ca	202	Информация за играча за
0x00cb	203	Изпратете незабавно съобщение:
0x00cc	204	секунди.
0x00ce	206	минути.
0x00cf	207	Време на празен ход:
0x00e1	225	Таблица
0x00e2	226	Кой гледа
0x00e3	227	опции:
0x00e4	228	ПРИСЪЕДИНЕТЕ СЕ
0x00e8	232	от
0x00e9	233	Rtng
0x00ea	234	секунди.\\nМоето нетно забавяне:
0x00eb	235	ви покани да седнете.
0x00f0	240	Имате стара версия на клиента в кеша.
0x00f2	242	Ping изпратен ... чакам отговор.
0x00f4	244	временни
0x00f5	245	Име
0x00f6	246	Опит за свързване със сървъра за игри
0x00f7	247	Играйте сега
0x00f9	249	Изход от игри
0x00fb	251	нетно забавяне на:
0x00fd	253	кажи:
0x00ff	255	Свързване със сървъра за игри...
0x0102	258	Грешка: Няма системни ресурси.\\nЗатворете всички ненужни прозорци и приложения.\\nСлед това затворете прозореца на игрите и опитайте отново.
