# key_hex	key_dec	text
0x0000	0	ਚੇਤਾਵਨੀ
0x0001	1	ਠੀਕ ਹੈ
0x0017	23	ਬੈਠੋ
0x0018	24	ਆਰਜ਼ੀ
0x0031	49	ਇਹ ਗੇਮ ਤੁਹਾਡੇ ਲਈ \\n ਦੁਆਰਾ ਲਿਆਈ ਗਈ ਸੀ:
0x0032	50	ਖੇਲ ਖਤਮ
0x0034	52	ਵਿਕਲਪ
0x0035	53	ਸਾਰਣੀ ਦੀ ਕਿਸਮ
0x0041	65	ਹਾਂ
0x0042	66	ਨੰ
0x0048	72	ਖੇਡਣਾ ਬੰਦ ਕਰੋ ਅਤੇ ਇਸ ਗੇਮ ਦੇ ਨਤੀਜੇ\\n ਨੂੰ ਰੱਦ ਕਰੋ (ਵਿਰੋਧੀ ਨੂੰ ਸਹਿਮਤ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ)।
0x0049	73	ਕੋਈ ਗੱਲ ਨਹੀਂ
0x004a	74	ਪੁਸ਼ਟੀਕਰਨ ਛੱਡੋ
0x004b	75	ਛੱਡੋ ਅਤੇ ਜ਼ਬਤ ਕਰੋ:
0x004c	76	ਛੱਡੋ ਅਤੇ ਰੱਦ ਕਰੋ
0x004d	77	ਛੱਡੋ ਅਤੇ ਜ਼ਬਤ ਕਰੋ
0x004e	78	ਛੱਡੋ ਅਤੇ ਖੇਡ ਨੂੰ ਖਤਮ ਕਰੋ.
0x004f	79	ਛੱਡੋ ਅਤੇ ਸੰਭਾਲੋ:
0x0050	80	ਛੱਡੋ ਅਤੇ ਰੱਦ ਕਰੋ:
0x0051	81	ਖੇਡਣਾ ਬੰਦ ਕਰੋ ਅਤੇ \\ngame ਨੂੰ ਬਚਾਓ (ਵਿਰੋਧੀ ਨੂੰ ਸਹਿਮਤ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ)।
0x0052	82	ਤੁਸੀਂ ਇੱਕ ਅਧੂਰੀ ਰੇਟ ਕੀਤੀ ਗੇਮ ਨੂੰ ਛੱਡ ਰਹੇ ਹੋ:
0x0053	83	ਛੱਡੋ ਅਤੇ ਸੁਰੱਖਿਅਤ ਕਰੋ
0x0079	121	ਸਵੀਕਾਰ ਕਰੋ
0x007b	123	ਸਾਰੇ ਸੱਦਿਆਂ ਨੂੰ ਅਸਵੀਕਾਰ ਕਰੋ
0x007c	124	ਸੱਦਾ ਦਿੱਤਾ
0x007d	125	\\n \\nGame ਵਿਕਲਪ:
0x007e	126	ਕਾਰਨ:
0x007f	127	(ਵਿਕਲਪਿਕ)
0x0080	128	ਨੇ ਤੁਹਾਨੂੰ ਟੇਬਲ # ਲਈ ਸੱਦਾ ਦਿੱਤਾ ਹੈ
0x0081	129	\\n \\n ਕੀ ਤੁਸੀਂ ਸ਼ਾਮਲ ਹੋਣਾ ਚਾਹੁੰਦੇ ਹੋ?
0x0082	130	ਅਸਵੀਕਾਰ ਕਰੋ
0x0083	131	ਸਿਰਫ਼ ਮੇਰੇ ਦੋਸਤਾਂ ਤੋਂ ਤਤਕਾਲ ਸੁਨੇਹਿਆਂ ਦੀ ਆਗਿਆ ਦਿਓ।
0x0084	132	ਅਣਡਿੱਠ ਕਰੋ
0x0085	133	ਵੱਲੋਂ:
0x0086	134	ਸ਼ੁਰੂ ਕੀਤਾ
0x0087	135	ਪ੍ਰੋਫਾਈਲ
0x0088	136	ਭੇਜੋ
0x0089	137	ਬੰਦ ਕਰੋ
0x008a	138	ਆਪਣੀ ਚਾਲ ਬਣਾਓ ਅਤੇ ਜੇ
0x008b	139	ਕੰਪਿਊਟਰ ਨੂੰ ਚਲਾਉਣ ਲਈ 'Play Robot' ਦਬਾਓ।
0x008d	141	- ਕਮਰਾ:
