# key_hex	key_dec	text
0x0000	0	ସତର୍କତା |
0x0001	1	ଠିକ ଅଛି |
0x0017	23	ବସ
0x0018	24	ଅସ୍ଥାୟୀ
0x0031	49	ଏହି ଖେଳଟି ଆପଣଙ୍କୁ \\n ଦ୍ୱାରା ଆଣିଥିଲା:
0x0032	50	ଖେଳ ସମାପ୍ତ
0x0034	52	ବିକଳ୍ପଗୁଡ଼ିକ
0x0035	53	ଟେବୁଲ୍ ପ୍ରକାର |
0x0041	65	ହଁ
0x0042	66	ନା
0x0048	72	ଖେଳିବା ବନ୍ଦ କରନ୍ତୁ ଏବଂ ଏହି ଖେଳର ଫଳାଫଳ \\n ବାତିଲ କରନ୍ତୁ (ପ୍ରତିପକ୍ଷ ନିଶ୍ଚିତ ଭାବରେ ରାଜି ହେବେ) |
0x0049	73	କଦାପି ମନ ଦିଅ ନାହିଁ |
0x004a	74	ନିଶ୍ଚିତକରଣ ଛାଡନ୍ତୁ |
0x004b	75	ପରିତ୍ୟାଗ ଏବଂ ହରାନ୍ତୁ:
0x004c	76	ଛାଡ ଏବଂ ବାତିଲ୍ କର |
0x004d	77	ପରିତ୍ୟାଗ କର
0x004e	78	ଖେଳ ଛାଡିଦିଅନ୍ତୁ |
0x004f	79	ପରିତ୍ୟାଗ ଏବଂ ସଂରକ୍ଷଣ କରନ୍ତୁ:
0x0050	80	ଛାଡ ଏବଂ ବାତିଲ:
0x0051	81	ZZQQNLZXQgame ଖେଳିବା ବନ୍ଦ କରନ୍ତୁ (ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱୀ ରାଜି ହେବା ଆବଶ୍ୟକ) |
0x0052	82	ଆପଣ ଏକ ଅସମାପ୍ତ ମୂଲ୍ୟାୟନ ଖେଳ ଛାଡୁଛନ୍ତି:
0x0053	83	ଛାଡ ଏବଂ ସଞ୍ଚୟ କର |
0x0079	121	ଗ୍ରହଣ କରନ୍ତୁ
0x007b	123	ସମସ୍ତ ନିମନ୍ତ୍ରଣକୁ ପ୍ରତ୍ୟାଖ୍ୟାନ କରନ୍ତୁ |
0x007c	124	ନିମନ୍ତ୍ରିତ
0x007d	125	\\n \\nGame ବିକଳ୍ପଗୁଡ଼ିକ:
0x007e	126	କାରଣ:
0x007f	127	(ବ al କଳ୍ପିକ)
0x0080	128	ଆପଣଙ୍କୁ ଟେବୁଲ୍ # କୁ ନିମନ୍ତ୍ରଣ କରିଛି |
0x0081	129	\\n \\n ଆପଣ ଯୋଗଦାନ କରିବାକୁ ପସନ୍ଦ କରିବେ କି?
0x0082	130	ଅଗ୍ରାହ୍ୟ କରନ୍ତୁ |
0x0083	131	କେବଳ ମୋ ସାଙ୍ଗମାନଙ୍କ ଠାରୁ ତତକ୍ଷଣାତ୍ ବାର୍ତ୍ତା ଅନୁମତି ଦିଅନ୍ତୁ |
0x0084	132	ଅଣଦେଖା କରନ୍ତୁ |
0x0085	133	ଠାରୁ:
0x0086	134	ଆରମ୍ଭ ହେଲା |
0x0087	135	ପ୍ରୋଫାଇଲ୍
0x0088	136	ପଠାନ୍ତୁ |
0x0089	137	ବନ୍ଦ
0x008a	138	ତୁମର ପଦକ୍ଷେପ ନିଅ ଏବଂ ଯଦି
0x008b	139	କମ୍ପ୍ୟୁଟର ଖେଳିବା ପାଇଁ 'ପ୍ଲେ ରୋବଟ୍' ଦବାନ୍ତୁ |
0x008d	141	- କୋଠରୀ:
0x008e	142	ଫେରିବ ନାହିଁ, ତୁମକୁ \\n ଏକ ଇସ୍ତଫା ଦେବାକୁ ବାଧ୍ୟ କରାଯିବ |
0x008f	143	*** ଅନୁରୋଧ ସଞ୍ଚୟ କରନ୍ତୁ |
0x0090	144	ସୁରକ୍ଷିତ |
0x0091	145	ଏହି ଖେଳକୁ ସେଭ୍ କରିବାକୁ ଅନୁରୋଧ କରିଛନ୍ତି କି? \\nI ଏହା ଗ୍ରହଣୀୟ କି?
0x0092	146	ବ୍ୟକ୍ତିଗତ
0x0093	147	ତୁମର
0x0094	148	ଖେଳରେ ଯୋଗଦେବା ପାଇଁ ଏକ 'ବସ' ବଟନ୍ କ୍ଲିକ୍ କରନ୍ତୁ |
0x0095	149	ଏହି ଖେଳକୁ ବାତିଲ କରିବାକୁ ଅନୁରୋଧ କରିଛନ୍ତି କି? \\nI ଏହା ଗ୍ରହଣୀୟ କି?
0x0096	150	ବାତିଲ
0x0097	151	ଠିଆ ହୁଅ |
0x0098	152	ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱୀ |
0x0099	153	ମୋ ପର୍ଯ୍ୟାୟରେ
0x009b	155	*** ବର୍ତ୍ତମାନ କେହି ଆପଣଙ୍କ ଟେବୁଲରେ ଯୋଗ ଦେଇପାରନ୍ତି |
0x009c	156	s।
0x009d	157	ପ୍ରତିପକ୍ଷକୁ ଅପେକ୍ଷା କରିବା |
0x009e	158	ଛାଡ
0x009f	159	ଟେବୁଲରେ ଯୋଗ ଦେଇଛନ୍ତି |
0x00a0	160	ଆରମ୍ଭ କରିବାକୁ 'ଖେଳ ଆରମ୍ଭ' କ୍ଲିକ୍ କରନ୍ତୁ |
0x00a1	161	ସାହାଯ୍ୟ
0x00a2	162	ଟେବୁଲ୍ ଛାଡିଛି |
0x00a3	163	*** ଆପଣ ନିମନ୍ତ୍ରଣ କରିଥିବା ଲୋକମାନେ କେବଳ ଆପଣଙ୍କ ଟେବୁଲରେ ଖେଳିପାରିବେ କିମ୍ବା ଦେଖିପାରିବେ |
0x00a4	164	ଖେଳ ଆରମ୍ଭ କରନ୍ତୁ |
0x00a5	165	ଅଡିଓ ଟର୍ନ୍
0x00a6	166	- ହୋଷ୍ଟ:
0x00a7	167	ଜନସାଧାରଣ |
0x00a8	168	ରୋବଟ୍ ଖେଳନ୍ତୁ |
0x00aa	170	ବୁଟ
0x00ab	171	*** ଅନୁରୋଧ ବାତିଲ୍ କରନ୍ତୁ |
0x00ac	172	*** ଆପଣ ନିମନ୍ତ୍ରଣ କରିଥିବା ଲୋକମାନେ କେବଳ ଆପଣଙ୍କ ଟେବୁଲରେ ଖେଳିପାରନ୍ତି |
0x00ae	174	- ସାରଣୀ:
0x00af	175	*** ଆପଣ ଏହି ଟେବୁଲ୍ ର ହୋଷ୍ଟ ଅଟନ୍ତି |
0x00b0	176	ଖେଳ:
0x00b1	177	ତୁମର
0x00b2	178	ପ୍ରତିପକ୍ଷକୁ 'ଆରମ୍ଭ' କ୍ଲିକ୍ କରିବାକୁ ଅପେକ୍ଷା |
