# key_hex	key_dec	text
0x0000	0	Alert
0x0001	1	OK
0x0017	23	Sidde
0x0018	24	midlertidig
0x0031	49	Dette spil blev \\nbragt til dig af:
0x0032	50	Game Over
0x0034	52	Valgmuligheder
0x0035	53	Bordtype
0x0041	65	Ja
0x0042	66	Ingen
0x0048	72	Stop med at spille og annuller resultatet \\n af dette spil (modstanderen skal acceptere).
0x0049	73	Glem ikke
0x004a	74	Afslut bekræftelse
0x004b	75	Afslut og fortab:
0x004c	76	Afslut og annuller
0x004d	77	Afslut og fortab
0x004e	78	Afslut og forspil spillet.
0x004f	79	Afslut og gem:
0x0050	80	Afslut og annuller:
0x0051	81	Stop med at spille og gem \\n-spillet (modstanderen skal være enig).
0x0052	82	Du forlader et ufærdigt vurderet spil:
0x0053	83	Afslut og gem
0x0079	121	Acceptere
0x007b	123	Afvis alle invitationer
0x007c	124	Inviteret
0x007d	125	\\n \\n Spilmuligheder:
0x007e	126	Årsag:
0x007f	127	(valgfri)
0x0080	128	har inviteret dig til bord #
0x0081	129	\\n \\nVil du være med?
0x0082	130	Nedgang
0x0083	131	Tillad kun onlinemeddelelser fra mine venner.
0x0084	132	Ignorere
0x0085	133	Fra:
0x0086	134	startede
0x0087	135	Profil
0x0088	136	Sende
0x0089	137	Tæt
0x008a	138	Gør dit træk og hvis
0x008b	139	Tryk på 'Play Robot' for at spille computeren.
0x008d	141	- Værelse:
0x008e	142	ikke vender tilbage, vil du få mulighed for at tvinge en opsigelse.
0x008f	143	*** Gem anmodet.
0x0090	144	Beskyttet
0x0091	145	har anmodet om at dette spil gemmes.\\nEr dette acceptabelt?
0x0092	146	Privat
0x0093	147	dine
0x0094	148	Klik på en 'Sid'-knap for at deltage i spillet.
0x0095	149	har anmodet om at få dette spil annulleret.\\nEr dette acceptabelt?
0x0096	150	annulleret.
0x0097	151	Stå op
0x0098	152	modstander
0x0099	153	På min tur
0x009b	155	*** Alle kan tilmelde sig dit bord nu.
0x009c	156	s.
0x009d	157	Venter på modstanderen
0x009e	158	Forlade
0x009f	159	er kommet med på bordet.
0x00a0	160	Klik på 'Start spil' for at begynde.
0x00a1	161	Hjælp
0x00a2	162	har forladt bordet.
0x00a3	163	*** Kun personer, du har inviteret, kan spille ved eller se dit bord nu.
0x00a4	164	Start spil
0x00a5	165	Lyd på tur
0x00a6	166	- Vært:
0x00a7	167	Offentlig
0x00a8	168	Spil Robot
0x00aa	170	Støvle
0x00ab	171	*** Annullering anmodet.
0x00ac	172	*** Kun personer, du har inviteret, kan spille ved dit bord nu.
0x00ae	174	- Bord:
0x00af	175	*** Du er vært for dette bord.
0x00b0	176	Spil:
0x00b1	177	Dine
0x00b2	178	Venter på, at modstanderen klikker på 'Start'.
0x00b4	180	har efterladt et ufærdigt vurderet spil.\\n
0x00b5	181	*** Spil
0x00b6	182	gemt.
0x00b7	183	Invitere
0x00b8	184	partner
0x00b9	185	Sund
0x00ba	186	Hvis
0x00bf	191	Indtast navn:
0x00c0	192	Vælg Fra liste
0x00c1	193	- eller -
0x00c9	201	Ping
0x00ca	202	Spillerinformation til
0x00cb	203	Send øjeblikkelig besked:
0x00cc	204	sekunder.
0x00ce	206	minutter.
0x00cf	207	Inaktiv tid:
0x00e1	225	Tabel
0x00e2	226	Hvem ser på
0x00e3	227	muligheder:
0x00e4	228	VÆR MED
0x00e8	232	ved
0x00e9	233	Rtng
0x00ea	234	sekunder.\\nMin nettoforsinkelse:
0x00eb	235	har inviteret dig til at tage plads.
0x00f0	240	Du har en gammel version af klienten i din cache.
0x00f2	242	Ping afsendt ... venter på svar.
0x00f4	244	midlertidig
0x00f5	245	Navn
0x00f6	246	Forsøger at oprette forbindelse til spilserveren
0x00f7	247	Spil nu
0x00f9	249	Afslut spil
0x00fb	251	's nettoforsinkelse:
0x00fd	253	Sige:
0x00ff	255	Kontakter spilserver...
0x0102	258	Fejl: Ud af systemressourcer.\\nLuk alle unødvendige vinduer og programmer.\\nLuk derefter spilvinduet, og prøv igen.
0x0105	261	Kan ikke oprette forbindelse til serveren.\\nEn af fire ting kunne have forårsaget dette:\\n1)Du er bag en firewall.\\n2)Du har ikke forbindelse til internettet.\\n3)Spilserveren er nede.\\n4)Du har en forældet side i din cache.
0x0106	262	Opret tabel
0x0108	264	Små vinduer
0x0109	265	Tbl
0x010b	267	Du er blevet startet fra bordet
0x010c	268	Afbrudt fra serveren... Inaktiv for lang
0x0111	273	Kun chatmeddelelser fra \\nvenner
0x0115	277	... downloader rumtilstand
0x0118	280	Fejl ved at logge på serveren.
0x0119	281	Afvis alle \\ninvitationer
0x011c	284	Rung
