# key_hex	key_dec	text
0x0000	0	Varna
0x0001	1	OK
0x0017	23	Sitta
0x0018	24	provisorisk
0x0031	49	Detta spel kom \\n till dig av:
0x0032	50	Game Over
0x0034	52	Alternativ
0x0035	53	Tabelltyp
0x0041	65	Ja
0x0042	66	Inga
0x0048	72	Sluta spela och avbryt resultatet\\nav detta spel (motståndaren måste godkänna).
0x0049	73	Strunt i det
0x004a	74	Avsluta bekräftelse
0x004b	75	Avsluta och förlora:
0x004c	76	Avsluta och avbryt
0x004d	77	Avsluta och förverka
0x004e	78	Avsluta och förlora spelet.
0x004f	79	Avsluta och spara:
0x0050	80	Avsluta och avbryt:
0x0051	81	Sluta spela och spara \\n-spelet (motståndaren måste acceptera).
0x0052	82	Du avslutar ett oavslutat betygsatt spel:
0x0053	83	Avsluta och spara
0x0079	121	Acceptera
0x007b	123	Avvisa alla inbjudningar
0x007c	124	Inbjudna
0x007d	125	\\n \\n Spelalternativ:
0x007e	126	Resonera:
0x007f	127	(frivillig)
0x0080	128	har bjudit in dig till bord #
0x0081	129	\\n \\nVill du vara med?
0x0082	130	Nedgång
0x0083	131	Tillåt bara snabbmeddelanden från mina vänner.
0x0084	132	Ignorera
0x0085	133	Från:
0x0086	134	startade
0x0087	135	Profil
0x0088	136	Skicka
0x0089	137	Nära
0x008a	138	Gör ditt drag och om
0x008b	139	Tryck på "Spela robot" för att spela datorn.
0x008d	141	- Rum:
0x008e	142	inte återvänder, kommer du att få möjlighet att tvinga fram en avgång.
0x008f	143	*** Spara begärt.
0x0090	144	Skyddad
0x0091	145	har begärt att det här spelet ska sparas.\\nÄr detta acceptabelt?
0x0092	146	Privat
0x0093	147	din
0x0094	148	Klicka på en "Sitt"-knapp för att gå med i spelet.
0x0095	149	har begärt att det här spelet ska avbrytas.\\nÄr detta acceptabelt?
0x0096	150	avbruten.
0x0097	151	Stå upp
0x0098	152	motståndare
0x0099	153	På min tur
0x009b	155	*** Vem som helst kan gå med i ditt bord nu.
0x009c	156	s.
0x009d	157	Väntar på motståndaren
0x009e	158	Sluta
0x009f	159	har anslutit sig till bordet.
0x00a0	160	Klicka på "Starta spel" för att börja.
0x00a1	161	Hjälp
0x00a2	162	har lämnat bordet.
0x00a3	163	*** Endast personer du har bjudit in får spela vid eller titta på ditt bord nu.
0x00a4	164	Starta spelet
0x00a5	165	Ljud på tur
0x00a6	166	- Värd:
0x00a7	167	Offentlig
0x00a8	168	Spela Robot
0x00aa	170	Känga
0x00ab	171	*** Avbryt begärd.
