# key_hex	key_dec	text
0x0000	0	Itaniji
0x0001	1	O DARA
0x0017	23	Joko
0x0018	24	ipese
0x0031	49	Ere yii jẹ \\n mu wa si ọ nipasẹ:
0x0032	50	Ere Lori
0x0034	52	Awọn aṣayan
0x0035	53	Table Type
0x0041	65	Bẹẹni
0x0042	66	Rara
0x0048	72	Da ere duro ki o fagilee esi\\n ti ere yii (alatako gbọdọ gba).
0x0049	73	Maṣe yọ nu
0x004a	74	Jawọ Ìmúdájú
0x004b	75	Pawọ ati Padanu:
0x004c	76	Olodun-ati Fagilee
0x004d	77	Olodun-ati Forfeit
0x004e	78	Pawọ ati padanu ere naa.
0x004f	79	Jade ati Fipamọ:
0x0050	80	Jade ati Fagilee:
0x0051	81	Da ere duro ati fi ere \\n pamọ (alatako gbọdọ gba).
0x0052	82	O ti n jáwọ́ ninu ere ti wọn ni idiyele ti ko pari:
0x0053	83	Jade ati Fipamọ
0x0079	121	Gba
0x007b	123	Kọ Gbogbo Awọn ifiwepe
0x007c	124	Pe
0x007d	125	Awọn aṣayan ere \\n \\n:
0x007e	126	Idi:
0x007f	127	(aṣayan)
0x0080	128	ti pe e si tabili #
0x0081	129	\\n \\n Ṣe iwọ yoo fẹ lati darapọ mọ?
0x0082	130	Kọ silẹ
0x0083	131	Gba awọn ifiranṣẹ lojukanna laaye lati ọdọ awọn ọrẹ mi nikan.
0x0084	132	Foju
0x0085	133	Lati:
0x0086	134	bere
0x0087	135	Profaili
0x0088	136	Firanṣẹ
0x0089	137	Sunmọ
0x008a	138	Ṣe rẹ Gbe ati ti o ba
0x008b	139	Tẹ 'Mu Robot' lati mu kọnputa ṣiṣẹ.
0x008d	141	- Yara:
0x008e	142	ko pada, o\\n yoo fun ọ ni aṣayan lati fi agbara mu ikọsilẹ.
0x008f	143	*** Fipamọ beere.
0x0090	144	Ni idaabobo
0x0091	145	ti beere pe ki ere yii wa ni fipamọ.\\n Ṣe eyi jẹ itẹwọgba bi?
0x0092	146	Ikọkọ
0x0093	147	tirẹ
0x0094	148	Tẹ bọtini 'Sit' kan lati darapọ mọ ere naa.
0x0095	149	ti beere pe ki a fagilee ere yii.\\n Ṣe eyi jẹ itẹwọgba bi?
0x0096	150	fagilee.
0x0097	151	Dide
0x0098	152	alatako
0x0099	153	Lori mi Tan
0x009b	155	*** Ẹnikẹni le darapọ mọ tabili rẹ ni bayi.
0x009c	156	s.
0x009d	157	Nduro fun alatako
0x009e	158	Jade
0x009f	159	ti darapo tabili.
0x00a0	160	Tẹ 'Bẹrẹ Game' lati bẹrẹ.
0x00a1	161	Egba Mi O
0x00a2	162	ti lọ kuro ni tabili.
0x00a3	163	*** Awọn eniyan nikan ti o ti pe le ṣere ni tabi wo tabili rẹ ni bayi.
0x00a4	164	Bẹrẹ Ere
0x00a5	165	Audio ni titan
0x00a6	166	- Olugbalejo:
0x00a7	167	Gbangba
0x00a8	168	Play Robot
0x00aa	170	Bata
0x00ab	171	*** Fagilee beere.
0x00ac	172	*** Awọn eniyan nikan ti o ti pe le ṣere ni tabili rẹ ni bayi.
0x00ae	174	- Tabili:
0x00af	175	*** Iwọ jẹ agbalejo tabili yii.
0x00b0	176	Ere:
0x00b1	177	Tirẹ
0x00b2	178	Nduro fun alatako lati tẹ 'Bẹrẹ'.
0x00b4	180	ti fi ere ti a ko pari sile.\\n
0x00b5	181	*** Ere
0x00b6	182	ti o ti fipamọ.
0x00b7	183	Pe
0x00b8	184	alabaṣepọ
0x00b9	185	Ohun
0x00ba	186	Ti o ba jẹ
0x00bf	191	Tẹ Orukọ sii:
0x00c0	192	Yan Lati Akojọ
0x00c1	193	- tabi -
0x00c9	201	Ping
0x00ca	202	Player alaye fun
0x00cb	203	Firanṣẹ lẹsẹkẹsẹ:
0x00cc	204	iṣẹju-aaya.
0x00ce	206	iseju.
0x00cf	207	Àkókò tí kò ṣiṣẹ́:
