# key_hex	key_dec	text
0x0000	0	သတိပေးချက်
0x0001	1	အိုကေ
0x0017	23	ထိုင်ပါ။
0x0018	24	ယာယီ
0x0031	49	ဤဂိမ်းသည် သင့်ထံသို့ \\n မှယူဆောင်လာပါသည်-
0x0032	50	ပြီးသွားပါပြီ
0x0034	52	ရွေးချယ်မှုများ
0x0035	53	ဇယားအမျိုးအစား
0x0041	65	ဟုတ်ကဲ့
0x0042	66	မရှိ
0x0048	72	ကစားခြင်းကို ရပ်လိုက်ပြီး ဤဂိမ်း၏ရလဒ်\\n ကို ပယ်ဖျက်ပါ (ပြိုင်ဘက်က သဘောတူရမည်)။
0x0049	73	ကိစ္စမရှိပါဘူး
0x004a	74	အတည်ပြုချက်မှထွက်ပါ။
0x004b	75	ထွက်ပြီး ဆုံးရှုံးသည်-
0x004c	76	ထွက်ပြီး Cancel
0x004d	77	ထွက်ပြီး စွန့်စားပါ။
0x004e	78	ထွက်ပြီးဂိမ်းကိုလက်လွှတ်လိုက်ပါ။
0x004f	79	ထွက်ပြီး သိမ်းပါ-
0x0050	80	ထွက်ပြီး Cancel-
0x0051	81	ကစားခြင်းကို ရပ်လိုက်ပြီး \\ngame ကို သိမ်းပါ (ပြိုင်ဘက်က သဘောတူရမည်)။
0x0052	82	သင်သည် မပြီးဆုံးသေးသော အဆင့်သတ်မှတ်ထားသော ဂိမ်းကို ဖြတ်လိုက်သည်-
0x0053	83	ထွက်ပြီး Save လုပ်ပါ။
0x0079	121	လက်ခံပါတယ်။
0x007b	123	ဖိတ်ကြားချက်အားလုံးကို ငြင်းပယ်ပါ။
0x007c	124	ဖိတ်ခေါ်ပါတယ်။
0x007d	125	\\n \\nGame ရွေးချယ်စရာများ-
0x007e	126	အကြောင်းရင်း-
0x007f	127	(ချန်လှပ်ထားနိုင်သည်)
0x0080	128	# စားပွဲသို့ ဖိတ်ခေါ်လိုက်ပါတယ်
0x0081	129	\\n \\n သင် ပါဝင်လိုပါသလား။
0x0082	130	ငြင်းသည်။
0x0083	131	ကျွန်ုပ်၏သူငယ်ချင်းများထံမှ ချက်ခြင်းစာတိုများကိုသာ ခွင့်ပြုပါ။
0x0084	132	လျစ်လျူရှုပါ။
0x0085	133	မှ-
0x0086	134	စတင်ခဲ့သည်။
0x0087	135	ကိုယ်ရေးအကျဉ်း
0x0088	136	ပို့ပါ။
0x0089	137	ပိတ်လိုက်
0x008a	138	မင်းရဲ့ ရွေ့လျားမှုနဲ့ ရင်နင့်အောင် လုပ်ပါ။
