# key_hex	key_dec	text
0x0000	0	الرٹ
0x0001	1	ٹھیک ہے
0x0017	23	بیٹھو
0x0018	24	عارضی
0x0031	49	یہ گیم \\n آپ کو بذریعہ لایا گیا تھا:
0x0032	50	کھیل ختم
0x0034	52	اختیارات
0x0035	53	ٹیبل کی قسم
0x0041	65	جی ہاں
0x0042	66	نہیں
0x0048	72	کھیلنا بند کریں اور اس گیم کا نتیجہ\\n منسوخ کریں (مخالف کو متفق ہونا ضروری ہے)۔
0x0049	73	کوئی بات نہیں
0x004a	74	تصدیق چھوڑ دیں۔
0x004b	75	چھوڑنا اور ضائع کرنا:
0x004c	76	چھوڑیں اور منسوخ کریں۔
0x004d	77	چھوڑو اور ضبط کرو
0x004e	78	چھوڑو اور کھیل کو ضائع کرو۔
0x004f	79	چھوڑیں اور محفوظ کریں:
0x0050	80	چھوڑیں اور منسوخ کریں:
0x0051	81	کھیلنا بند کریں اور \\n گیم کو محفوظ کریں (مخالف کو متفق ہونا ضروری ہے)۔
0x0052	82	آپ ایک نامکمل ریٹیڈ گیم چھوڑ رہے ہیں:
0x0053	83	چھوڑیں اور محفوظ کریں۔
0x0079	121	قبول کریں۔
0x007b	123	تمام دعوت نامے مسترد کریں۔
0x007c	124	مدعو کیا۔
0x007d	125	\\n \\n گیم کے اختیارات:
0x007e	126	وجہ:
0x007f	127	(اختیاری)
0x0080	128	آپ کو میز پر مدعو کیا ہے #
0x0081	129	\\n \\n کیا آپ شامل ہونا چاہیں گے؟
0x0082	130	رد کرنا
0x0083	131	صرف میرے دوستوں کے فوری پیغامات کی اجازت دیں۔
0x0084	132	نظر انداز کرنا
0x0085	133	منجانب:
0x0086	134	شروع کیا
0x0087	135	پروفائل
0x0088	136	بھیجیں۔
0x0089	137	بند
0x008a	138	اپنا اقدام کریں اور اگر
0x008b	139	کمپیوٹر چلانے کے لیے 'پلے روبوٹ' دبائیں۔
0x008d	141	- کمرہ:
0x008e	142	واپس نہیں آئے گا، آپ کو زبردستی استعفیٰ دینے کا اختیار دیا جائے گا۔
0x008f	143	*** محفوظ کرنے کی درخواست کی گئی۔
0x0090	144	تحفظ یافتہ
0x0091	145	اس گیم کو محفوظ کرنے کی درخواست کی ہے۔ کیا یہ قابل قبول ہے؟
0x0092	146	نجی
0x0093	147	آپ کا
0x0094	148	گیم میں شامل ہونے کے لیے 'بیٹھیں' بٹن پر کلک کریں۔
0x0095	149	اس گیم کو منسوخ کرنے کی درخواست کی ہے۔ کیا یہ قابل قبول ہے؟
0x0096	150	منسوخ
0x0097	151	کھڑے ہو جاؤ
0x0098	152	مخالف
0x0099	153	میری باری پر
0x009b	155	*** اب کوئی بھی آپ کے ٹیبل میں شامل ہوسکتا ہے۔
0x009c	156	s
0x009d	157	مخالف کا انتظار
0x009e	158	چھوڑو
0x009f	159	ٹیبل میں شامل ہو گیا ہے۔
0x00a0	160	شروع کرنے کے لیے 'Start Game' پر کلک کریں۔
0x00a1	161	مدد
0x00a2	162	میز چھوڑ دیا ہے.
0x00a3	163	*** صرف وہی لوگ جن کو آپ نے مدعو کیا ہے وہ اب آپ کی میز پر کھیل سکتے ہیں یا دیکھ سکتے ہیں۔
0x00a4	164	کھیل شروع کریں۔
0x00a5	165	باری پر آڈیو
0x00a6	166	- میزبان:
0x00a7	167	عوامی
0x00a8	168	روبوٹ کھیلیں
0x00aa	170	بوٹ
0x00ab	171	*** منسوخ کرنے کی درخواست کی گئی۔
0x00ac	172	*** اب آپ کی میز پر صرف وہی لوگ کھیل سکتے ہیں جنہیں آپ نے مدعو کیا ہے۔
0x00ae	174	- ٹیبل:
0x00af	175	*** آپ اس ٹیبل کے میزبان ہیں۔
0x00b0	176	گیم:
0x00b1	177	آپ کا
0x00b2	178	مخالف کے 'اسٹارٹ' پر کلک کرنے کا انتظار۔
0x00b4	180	نے ایک نامکمل ریٹیڈ گیم چھوڑ دی ہے۔\\n
0x00b5	181	*** گیم
0x00b6	182	محفوظ کر لیا
0x00b7	183	دعوت دیں۔
0x00b8	184	ساتھی
0x00b9	185	آواز
0x00ba	186	اگر
0x00bf	191	نام درج کریں:
0x00c0	192	فہرست سے منتخب کریں۔
0x00c1	193	- یا -
0x00c9	201	پنگ
0x00ca	202	کے لیے پلیئر کی معلومات
0x00cb	203	فوری پیغام بھیجیں:
0x00cc	204	سیکنڈ
0x00ce	206	منٹ
