# key_hex	key_dec	text
0x0000	0	Waarschuw
0x0001	1	OK
0x0017	23	Zitten
0x0018	24	voorlopig
0x0031	49	Dit spel is\\naangeboden door:
0x0032	50	Spel voorbij
0x0034	52	Opties
0x0035	53	Tabeltype
0x0041	65	Ja
0x0042	66	Nee
0x0048	72	Stop met spelen en annuleer het resultaat\\nvan dit spel (tegenstander moet akkoord gaan).
0x0049	73	Laat maar zitten
0x004a	74	Bevestiging afsluiten
0x004b	75	Stoppen en opgeven:
0x004c	76	Afsluiten en annuleren
0x004d	77	Stoppen en opgeven
0x004e	78	Sluit af en verlies het spel.
0x004f	79	Afsluiten en opslaan:
0x0050	80	Afsluiten en annuleren:
0x0051	81	Stop met spelen en sla het \\n-spel op (tegenstander moet akkoord gaan).
0x0052	82	Je verlaat een onvoltooide beoordeelde game:
0x0053	83	Afsluiten en opslaan
0x0079	121	Accepteren
0x007b	123	Weiger alle uitnodigingen
0x007c	124	Uitgenodigd
0x007d	125	\\n \\nSpelopties:
0x007e	126	Reden:
0x007f	127	(optioneel)
0x0080	128	heeft je uitgenodigd aan tafel #
0x0081	129	\\n \\nWil je meedoen?
0x0082	130	Afwijzen
0x0083	131	Alleen expresberichten van mijn vrienden toestaan.
0x0084	132	Negeren
0x0085	133	Van:
0x0086	134	begonnen
0x0087	135	Profiel
0x0088	136	Versturen
0x0089	137	Dichtbij
0x008a	138	Maak uw zet en of
0x008b	139	Druk op 'Play Robot' om de computer af te spelen.
0x008d	141	- Kamer:
0x008e	142	niet terugkeert, krijgt u de mogelijkheid om uw ontslag af te dwingen.
0x008f	143	*** Opslaan aangevraagd.
0x0090	144	Beschermd
0x0091	145	heeft verzocht dit spel op te slaan.\\nIs dit acceptabel?
0x0092	146	Privé
0x0093	147	jouw
0x0094	148	Klik op een 'Zit'-knop om mee te doen aan het spel.
0x0095	149	heeft verzocht om annulering van deze game.\\nIs dit acceptabel?
0x0096	150	geannuleerd.
0x0097	151	Sta op
0x0098	152	tegenstander
0x0099	153	Op mijn beurt
0x009b	155	*** Iedereen kan nu aan tafel komen.
0x009c	156	S.
0x009d	157	Wachten op tegenstander
0x009e	158	Ontslag nemen
0x009f	159	is aan tafel gekomen.
0x00a0	160	Klik op 'Start Game' om te beginnen.
0x00a1	161	Hulp
0x00a2	162	heeft de tafel verlaten.
0x00a3	163	*** Alleen mensen die u heeft uitgenodigd, kunnen nu aan uw tafel spelen of kijken.
0x00a4	164	Spel starten
0x00a5	165	Audio aan de beurt
0x00a6	166	- Gastheer:
0x00a7	167	Openbaar
0x00a8	168	Speel Robot
0x00aa	170	Laars
0x00ab	171	*** Annuleren aangevraagd.
0x00ac	172	*** Alleen mensen die jij hebt uitgenodigd, mogen nu aan jouw tafel spelen.
0x00ae	174	- Tafel:
0x00af	175	*** Jij bent gastheer van deze tafel.
0x00b0	176	Spel:
0x00b1	177	Jouw
0x00b2	178	Wachten tot de tegenstander op 'Start' klikt.
0x00b4	180	heeft een onvoltooide beoordeelde game achtergelaten.\\n
0x00b5	181	*** Spel
0x00b6	182	opgeslagen.
0x00b7	183	Uitnodiging
0x00b8	184	partner
0x00b9	185	Geluid
0x00ba	186	Als
0x00bf	191	Voer naam in:
0x00c0	192	Selecteer uit lijst
0x00c1	193	- of -
0x00c9	201	Ping
