# key_hex	key_dec	text
0x0000	0	హెచ్చరిక
0x0001	1	సరే
0x0017	23	కూర్చోండి
0x0018	24	తాత్కాలిక
0x0031	49	ఈ గేమ్ \\n ద్వారా మీకు అందించబడింది:
0x0032	50	గేమ్ ముగిసింది
0x0034	52	ఎంపికలు
0x0035	53	టేబుల్ రకం
0x0041	65	అవును
0x0042	66	నం
0x0048	72	ఆడటం ఆపివేసి, ఈ గేమ్ యొక్క ఫలితాన్ని రద్దు చేయండి\\n (ప్రత్యర్థి తప్పనిసరిగా అంగీకరించాలి).
0x0049	73	పర్వాలేదు
0x004a	74	నిర్ధారణ నుండి నిష్క్రమించండి
0x004b	75	నిష్క్రమించండి మరియు వదులుకోండి:
0x004c	76	నిష్క్రమించండి మరియు రద్దు చేయండి
0x004d	77	నిష్క్రమించండి మరియు వదులుకోండి
0x004e	78	నిష్క్రమించండి మరియు ఆటను వదులుకోండి.
0x004f	79	నిష్క్రమించండి మరియు సేవ్ చేయండి:
0x0050	80	నిష్క్రమించండి మరియు రద్దు చేయండి:
0x0051	81	ఆడటం ఆపి, \\n గేమ్‌ను సేవ్ చేయండి (ప్రత్యర్థి తప్పనిసరిగా అంగీకరించాలి).
0x0052	82	మీరు అసంపూర్తిగా రేట్ చేయబడిన గేమ్ నుండి నిష్క్రమిస్తున్నారు:
0x0053	83	నిష్క్రమించండి మరియు సేవ్ చేయండి
0x0079	121	అంగీకరించు
0x007b	123	అన్ని ఆహ్వానాలను తిరస్కరించండి
0x007c	124	ఆహ్వానించారు
0x007d	125	\\n \\nగేమ్ ఎంపికలు:
0x007e	126	కారణం:
0x007f	127	(ఐచ్ఛికం)
0x0080	128	మిమ్మల్ని పట్టిక #కి ఆహ్వానించారు
0x0081	129	\\n \\nమీరు చేరాలనుకుంటున్నారా?
0x0082	130	తిరస్కరించు
0x0083	131	నా స్నేహితుల నుండి మాత్రమే తక్షణ సందేశాలను అనుమతించు.
0x0084	132	విస్మరించండి
0x0085	133	నుండి:
0x0086	134	ప్రారంభించారు
0x0087	135	ప్రొఫైల్
0x0088	136	పంపండి
0x0089	137	మూసివేయి
0x008a	138	మీ కదలికను చేయండి మరియు ఉంటే
0x008b	139	కంప్యూటర్‌ను ప్లే చేయడానికి 'ప్లే రోబోట్'ని నొక్కండి.
0x008d	141	- గది:
0x008e	142	తిరిగి రాదు, మీరు \\nకి బలవంతంగా రాజీనామా చేసే అవకాశం ఇవ్వబడుతుంది.
0x008f	143	*** సేవ్ చేయమని అభ్యర్థించారు.
0x0090	144	రక్షించబడింది
0x0091	145	ఈ గేమ్‌ని సేవ్ చేయమని అభ్యర్థించారు.\\nI ఇది ఆమోదయోగ్యమేనా?
0x0092	146	ప్రైవేట్
0x0093	147	మీ
0x0094	148	గేమ్‌లో చేరడానికి 'సిట్' బటన్‌ను క్లిక్ చేయండి.
0x0095	149	ఈ గేమ్‌ని రద్దు చేయమని అభ్యర్థించారు.\\nI ఇది ఆమోదయోగ్యమేనా?
0x0096	150	రద్దు చేయబడింది.
0x0097	151	స్టాండ్ అప్
0x0098	152	ప్రత్యర్థి
0x0099	153	నా వంతు
0x009b	155	*** ఇప్పుడు ఎవరైనా మీ టేబుల్‌లో చేరవచ్చు.
0x009c	156	లు.
0x009d	157	ప్రత్యర్థి కోసం వేచి ఉంది
0x009e	158	నిష్క్రమించు
0x009f	159	టేబుల్‌కి చేరింది.
0x00a0	160	ప్రారంభించడానికి 'ఆట ప్రారంభించు' క్లిక్ చేయండి.
0x00a1	161	సహాయం
0x00a2	162	టేబుల్ నుండి నిష్క్రమించింది.
0x00a3	163	*** మీరు ఆహ్వానించిన వ్యక్తులు మాత్రమే ఇప్పుడు మీ టేబుల్‌లో ఆడవచ్చు లేదా చూడవచ్చు.
0x00a4	164	గేమ్ ప్రారంభించండి
0x00a5	165	ఆడియో ఆన్ టర్న్
0x00a6	166	- హోస్ట్:
0x00a7	167	పబ్లిక్
0x00a8	168	రోబోట్ ప్లే చేయండి
0x00aa	170	బూట్
0x00ab	171	*** రద్దు చేయమని అభ్యర్థించారు.
0x00ac	172	*** మీరు ఆహ్వానించిన వ్యక్తులు మాత్రమే ఇప్పుడు మీ టేబుల్ వద్ద ఆడవచ్చు.
0x00ae	174	- టేబుల్:
0x00af	175	*** మీరు ఈ పట్టికకు హోస్ట్.
0x00b0	176	ఆట:
0x00b1	177	మీ
0x00b2	178	ప్రత్యర్థి 'ప్రారంభించు' క్లిక్ చేయడానికి వేచి ఉంది.
0x00b4	180	అసంపూర్తిగా రేట్ చేయబడిన గేమ్‌ను వదిలివేసింది.\\n
0x00b5	181	*** గేమ్
0x00b6	182	రక్షించబడింది.
0x00b7	183	ఆహ్వానించండి
0x00b8	184	భాగస్వామి
0x00b9	185	ధ్వని
0x00ba	186	ఉంటే
0x00bf	191	పేరు నమోదు చేయండి:
0x00c0	192	జాబితా నుండి ఎంచుకోండి
0x00c1	193	- లేదా -
0x00c9	201	పింగ్
0x00ca	202	కోసం ప్లేయర్ సమాచారం
0x00cb	203	తక్షణ సందేశాన్ని పంపండి:
0x00cc	204	సెకన్లు.
0x00ce	206	నిమిషాలు.
0x00cf	207	నిష్క్రియ సమయం:
0x00e1	225	పట్టిక
0x00e2	226	ఎవరు చూస్తున్నారు
0x00e3	227	ఎంపికలు:
0x00e4	228	చేరండి
0x00e8	232	ద్వారా
0x00e9	233	Rtng
0x00ea	234	seconds.\\nనా నికర ఆలస్యం:
0x00eb	235	మిమ్మల్ని కూర్చోమని ఆహ్వానించింది.
0x00f0	240	మీరు మీ కాష్‌లో క్లయింట్ యొక్క పాత సంస్కరణను కలిగి ఉన్నారు.
0x00f2	242	పింగ్ పంపబడింది ... ప్రతిస్పందన కోసం వేచి ఉంది.
0x00f4	244	తాత్కాలిక
0x00f5	245	పేరు
