# key_hex	key_dec	text
0x0000	0	Συναγερμός
0x0001	1	ΕΝΤΑΞΕΙ
0x0017	23	Καθίζω
0x0018	24	προσωρινός
0x0031	49	Αυτό το παιχνίδι \\n σας το έφερε ο:
0x0032	50	Το παιχνίδι τελείωσε
0x0034	52	Επιλογές
0x0035	53	Τύπος πίνακα
0x0041	65	Ναί
0x0042	66	Οχι
0x0048	72	Σταματήστε να παίζετε και ακυρώστε το αποτέλεσμα\\n αυτού του παιχνιδιού (ο αντίπαλος πρέπει να συμφωνήσει).
0x0049	73	Δεν πειράζει
0x004a	74	Κλείστε την επιβεβαίωση
0x004b	75	Παραίτηση και απώλεια:
0x004c	76	Έξοδος και Ακύρωση
0x004d	77	Παραιτηθείτε και χάστε
0x004e	78	Σταματήστε και χάστε το παιχνίδι.
0x004f	79	Έξοδος και αποθήκευση:
0x0050	80	Έξοδος και ακύρωση:
0x0051	81	Σταματήστε να παίζετε και αποθηκεύστε το παιχνίδι \\n (ο αντίπαλος πρέπει να συμφωνήσει).
0x0052	82	Αποχωρείτε από ένα ημιτελές παιχνίδι αξιολόγησης:
0x0053	83	Κλείστε και αποθηκεύστε
0x0079	121	Αποδέχομαι
0x007b	123	Απόρριψη όλων των προσκλήσεων
0x007c	124	Καλεσμένος
0x007d	125	\\n \\nΕπιλογές παιχνιδιού:
0x007e	126	Λόγος:
0x007f	127	(προαιρετικός)
0x0080	128	σας προσκάλεσε στο τραπέζι #
0x0081	129	\\n \\nΘέλετε να εγγραφείτε;
0x0082	130	Πτώση
0x0083	131	Να επιτρέπονται τα άμεσα μηνύματα μόνο από τους φίλους μου.
0x0084	132	Αγνοώ
0x0085	133	Από:
0x0086	134	ξεκίνησε
0x0087	135	Προφίλ
0x0088	136	Στέλνω
0x0089	137	Κοντά
0x008a	138	Κάντε την κίνησή σας και αν
0x008b	139	Πατήστε 'Play Robot' για αναπαραγωγή του υπολογιστή.
0x008d	141	- Δωμάτιο:
0x008e	142	δεν επιστρέφει, θα σας δοθεί η επιλογή \\n να αναγκάσετε να παραιτηθείτε.
0x008f	143	*** Ζητήθηκε αποθήκευση.
0x0090	144	Προστατεύεται
0x0091	145	έχει ζητήσει να αποθηκευτεί αυτό το παιχνίδι.\\nΕίναι αποδεκτό;
0x0092	146	Ιδιωτικός
0x0093	147	σας
0x0094	148	Κάντε κλικ σε ένα κουμπί «Καθίστε» για να συμμετάσχετε στο παιχνίδι.
0x0095	149	έχει ζητήσει να ακυρωθεί αυτό το παιχνίδι.\\nΕίναι αποδεκτό;
0x0096	150	ακυρώθηκε.
0x0097	151	Σηκώνομαι
0x0098	152	αντίπαλος
0x0099	153	Στη σειρά μου
0x009b	155	*** Οποιοσδήποτε μπορεί να συμμετάσχει στο τραπέζι σας τώρα.
0x009c	156	μικρό.
0x009d	157	Περιμένοντας τον αντίπαλο
0x009e	158	Εγκαταλείπω
0x009f	159	μπήκε στο τραπέζι.
0x00a0	160	Κάντε κλικ στο «Έναρξη παιχνιδιού» για να ξεκινήσετε.
0x00a1	161	Βοήθεια
0x00a2	162	έφυγε από το τραπέζι.
0x00a3	163	*** Μόνο άτομα που έχετε προσκαλέσει μπορούν να παίξουν ή να παρακολουθήσουν το τραπέζι σας τώρα.
0x00a4	164	Ξεκινήστε το παιχνίδι
0x00a5	165	Ο ήχος ενεργοποιείται
0x00a6	166	- Οικοδεσπότης:
0x00a7	167	Κοινό
0x00a8	168	Παίξτε Robot
0x00aa	170	Μπότα
0x00ab	171	*** Ζητήθηκε ακύρωση.
0x00ac	172	*** Μόνο άτομα που έχετε προσκαλέσει μπορούν να παίξουν στο τραπέζι σας τώρα.
0x00ae	174	- Πίνακας:
0x00af	175	*** Είστε οι οικοδεσπότες αυτού του τραπεζιού.
0x00b0	176	Παιχνίδι:
0x00b1	177	Σας
0x00b2	178	Αναμονή για τον αντίπαλο να κάνει κλικ στο 'Έναρξη'.
0x00b4	180	έχει αφήσει ένα ημιτελές βαθμολογημένο παιχνίδι.\\n
0x00b5	181	*** Παιχνίδι
0x00b6	182	σώθηκε.
0x00b7	183	Καλώ
0x00b8	184	εταίρος
0x00b9	185	Ήχος
0x00ba	186	Αν
0x00bf	191	Εισαγάγετε Όνομα:
0x00c0	192	Επιλέξτε Από λίστα
0x00c1	193	- ή -
0x00c9	201	Ping
0x00ca	202	Πληροφορίες παίκτη για
0x00cb	203	Αποστολή άμεσου μηνύματος:
0x00cc	204	δευτερόλεπτα.
0x00ce	206	πρακτικά.
0x00cf	207	Χρόνος αδράνειας:
0x00e1	225	Τραπέζι
0x00e2	226	Ποιος παρακολουθεί
0x00e3	227	επιλογές:
0x00e4	228	ΕΝΩΝΩ
0x00e8	232	με
0x00e9	233	Rtng
0x00ea	234	δευτερόλεπτα.\\nΗ καθαρή μου καθυστέρηση:
0x00eb	235	σας προσκάλεσε να καθίσετε.
0x00f0	240	Έχετε μια παλιά έκδοση του προγράμματος-πελάτη στην κρυφή μνήμη σας.
0x00f2	242	Το Ping εστάλη ... περιμένοντας απάντηση.
0x00f4	244	προσωρινός
0x00f5	245	Ονομα
0x00f6	246	Προσπάθεια σύνδεσης στον διακομιστή παιχνιδιών
0x00f7	247	Παίξτε Τώρα
0x00f9	249	Έξοδος από τα παιχνίδια
0x00fb	251	Καθαρή καθυστέρηση:
0x00fd	253	Λέγω:
0x00ff	255	Επικοινωνία με τον διακομιστή παιχνιδιών...
0x0102	258	Σφάλμα: Δεν υπάρχουν πόροι συστήματος.\\nΚλείστε τυχόν παράθυρα και εφαρμογές που δεν χρειάζεστε.\\nΣτη συνέχεια κλείστε το παράθυρο των παιχνιδιών και δοκιμάστε ξανά.
0x0105	261	Δεν είναι δυνατή η σύνδεση με τον διακομιστή.\\nΈνα από τα τέσσερα πράγματα θα μπορούσε να το έχει προκαλέσει:\\n1)Βρίσκεστε πίσω από ένα τείχος προστασίας.\\n2)Δεν είστε συνδεδεμένοι στο διαδίκτυο.\\n3)Ο διακομιστής παιχνιδιών είναι εκτός λειτουργίας.\\n4)Έχετε μια παλιά σελίδα στην προσωρινή μνήμη σας.
0x0106	262	Δημιουργία πίνακα
0x0108	264	Μικρά παράθυρα
0x0109	265	Tbl
0x010b	267	Έχετε εκκινήσει από το τραπέζι
0x010c	268	Αποσυνδέθηκε από τον διακομιστή ... Αδράνεια είναι πάρα πολύ καιρό
0x0111	273	Αποστολή μηνυμάτων από \\n μόνο για φίλους
0x0115	277	... λήψη κατάστασης δωματίου
0x0118	280	Σφάλμα σύνδεσης στον διακομιστή.
0x0119	281	Απόρριψη όλων των προσκλήσεων \\n
0x011c	284	Σκαλί
0x011d	285	Δεν μπορείτε να αγνοήσετε τον εαυτό σας.
