# key_hex	key_dec	text
0x0000	0	Varoitus
0x0001	1	OK
0x0017	23	Istua
0x0018	24	väliaikainen
0x0031	49	Tämän pelin \\ntoi sinulle:
0x0032	50	Peli ohi
0x0034	52	Vaihtoehdot
0x0035	53	Taulukon tyyppi
0x0041	65	Kyllä
0x0042	66	Ei
0x0048	72	Lopeta pelaaminen ja peruuta tämän pelin tulos\\n (vastustajan on hyväksyttävä).
0x0049	73	Älä välitä
0x004a	74	Lopeta vahvistus
0x004b	75	Lopeta ja menetä:
0x004c	76	Lopeta ja peruuta
0x004d	77	Lopeta ja menettää
0x004e	78	Lopeta ja menetä peli.
0x004f	79	Lopeta ja tallenna:
0x0050	80	Lopeta ja peruuta:
0x0051	81	Lopeta pelaaminen ja tallenna \\n-peli (vastustajan on hyväksyttävä).
0x0052	82	Lopetat keskeneräisen arvioidun pelin:
0x0053	83	Lopeta ja tallenna
0x0079	121	Hyväksyä
0x007b	123	Hylkää kaikki kutsut
0x007c	124	Kutsuttu
0x007d	125	\\n \\nPelivaihtoehdot:
0x007e	126	Syy:
0x007f	127	(valinnainen)
0x0080	128	on kutsunut sinut pöytään #
0x0081	129	\\n \\nHaluatko liittyä?
0x0082	130	Hylkää
0x0083	131	Salli pikaviestit vain ystäviltäni.
0x0084	132	Sivuuttaa
0x0085	133	Lähettäjä:
0x0086	134	alkoi
0x0087	135	Profiili
0x0088	136	Lähetä
0x0089	137	Lähellä
0x008a	138	Tee siirtosi ja jos
0x008b	139	Paina 'Play Robot' pelataksesi tietokonetta.
0x008d	141	- Huone:
0x008e	142	ei palaa, sinulle\\n annetaan mahdollisuus pakottaa eroamaan.
0x008f	143	*** Tallennus pyydetty.
0x0090	144	Suojattu
0x0091	145	on pyytänyt tämän pelin tallentamista.\\nOnko tämä hyväksyttävää?
0x0092	146	Yksityinen
0x0093	147	sinun
0x0094	148	Napsauta "Istu" -painiketta liittyäksesi peliin.
0x0095	149	on pyytänyt tämän pelin peruuttamista.\\nOnko tämä hyväksyttävää?
0x0096	150	peruutettu.
0x0097	151	Nouse ylös
0x0098	152	vastustaja
0x0099	153	Minun vuorollani
0x009b	155	*** Kuka tahansa voi liittyä pöytääsi nyt.
0x009c	156	s.
0x009d	157	Vastustajaa odotellessa
0x009e	158	Lopettaa
0x009f	159	on liittynyt pöytään.
0x00a0	160	Aloita napsauttamalla 'Aloita peli'.
0x00a1	161	Auttaa
0x00a2	162	on poistunut pöydästä.
0x00a3	163	*** Vain kutsumasi ihmiset voivat pelata tai katsella pöytääsi nyt.
0x00a4	164	Aloita peli
0x00a5	165	Ääni päällä
0x00a6	166	- Isäntä:
0x00a7	167	Julkinen
0x00a8	168	Pelaa Robottia
