# key_hex	key_dec	text
0x0000	0	هشدار
0x0001	1	باشه
0x0017	23	بنشین
0x0018	24	موقت
0x0031	49	این بازی \\n توسط:
0x0032	50	بازی تمام شد
0x0034	52	گزینه ها
0x0035	53	نوع جدول
0x0041	65	بله
0x0042	66	خیر
0x0048	72	بازی را متوقف کنید و نتیجه \\n این بازی را لغو کنید (حریف باید موافقت کند).
0x0049	73	مهم نیست
0x004a	74	خروج از تایید
0x004b	75	ترک و از دست دادن:
0x004c	76	خروج و لغو
0x004d	77	ترک و از دست دادن
0x004e	78	انصراف دهید و بازی را از دست بدهید.
0x004f	79	خروج و ذخیره:
0x0050	80	خروج و لغو:
0x0051	81	بازی را متوقف کنید و بازی \\n را ذخیره کنید (حریف باید موافقت کند).
0x0052	82	شما در حال ترک یک بازی دارای رتبه ناتمام هستید:
0x0053	83	خروج و ذخیره
0x0079	121	قبول کنید
0x007b	123	رد کردن همه دعوت‌ها
0x007c	124	دعوت شد
0x007d	125	\\n \\n گزینه های بازی:
0x007e	126	دلیل:
0x007f	127	(اختیاری)
0x0080	128	شما را به میز # دعوت کرده است
0x0081	129	\\n \\nآیا می خواهید بپیوندید؟
0x0082	130	رد کردن
0x0083	131	فقط پیام های فوری از دوستانم مجاز است.
0x0084	132	نادیده گرفتن
0x0085	133	از:
0x0086	134	آغاز شد
0x0087	135	نمایه
0x0088	136	ارسال کنید
0x0089	137	بستن
0x008a	138	حرکت خود را انجام دهید و اگر
0x008b	139	برای پخش رایانه، «Play Robot» را فشار دهید.
0x008d	141	- اتاق:
0x008e	142	برنمی گردد، \\n به شما این امکان داده می شود که مجبور به استعفا شوید.
0x008f	143	*** ذخیره درخواست شد.
0x0090	144	محافظت شده است
0x0091	145	درخواست کرده است که این بازی ذخیره شود. \\n آیا این قابل قبول است؟
0x0092	146	خصوصی
0x0093	147	شما
0x0094	148	برای پیوستن به بازی روی دکمه «نشستن» کلیک کنید.
0x0095	149	درخواست کرده است که این بازی لغو شود. \\n آیا این قابل قبول است؟
0x0096	150	لغو شد.
0x0097	151	بایستید
0x0098	152	حریف
0x0099	153	نوبت منه
0x009b	155	*** هر کسی می تواند اکنون به میز شما بپیوندد.
0x009c	156	س
0x009d	157	در انتظار حریف
0x009e	158	ترک کنید
0x009f	159	به جدول پیوسته است
0x00a0	160	برای شروع روی "شروع بازی" کلیک کنید.
0x00a1	161	کمک کنید
0x00a2	162	میز را ترک کرده است
0x00a3	163	*** فقط افرادی که دعوت کرده اید می توانند اکنون میز شما را بازی کنند یا تماشا کنند.
0x00a4	164	شروع بازی
0x00a5	165	صدا در نوبت
0x00a6	166	- میزبان:
0x00a7	167	عمومی
0x00a8	168	ربات بازی کنید
0x00aa	170	چکمه
0x00ab	171	*** لغو درخواست شد.
0x00ac	172	*** فقط افرادی که دعوت کرده اید می توانند اکنون در میز شما بازی کنند.
0x00ae	174	- جدول:
0x00af	175	*** شما میزبان این میز هستید.
0x00b0	176	بازی:
0x00b1	177	شما
0x00b2	178	منتظر می‌مانید تا حریف روی «شروع» کلیک کند.
