# key_hex	key_dec	text
0x0000	0	সতর্কতা
0x0001	1	ঠিক আছে
0x0017	23	বসুন
0x0018	24	অস্থায়ী
0x0031	49	এই গেমটি \\n আপনার জন্য এনেছে:
0x0032	50	খেলা শেষ
0x0034	52	অপশন
0x0035	53	টেবিলের ধরন
0x0041	65	হ্যাঁ
0x0042	66	না
0x0048	72	খেলা বন্ধ করুন এবং এই গেমের ফলাফল\\n বাতিল করুন (প্রতিপক্ষকে অবশ্যই সম্মত হতে হবে)।
0x0049	73	নেভার মাইন্ড
0x004a	74	নিশ্চিতকরণ বন্ধ করুন
0x004b	75	প্রস্থান করুন এবং বাজেয়াপ্ত করুন:
0x004c	76	প্রস্থান করুন এবং বাতিল করুন
0x004d	77	প্রস্থান করুন এবং বাজেয়াপ্ত করুন
0x004e	78	ছেড়ে দিন এবং খেলা বাজেয়াপ্ত করুন।
0x004f	79	প্রস্থান করুন এবং সংরক্ষণ করুন:
0x0050	80	প্রস্থান করুন এবং বাতিল করুন:
0x0051	81	খেলা বন্ধ করুন এবং \\n গেমটি সংরক্ষণ করুন (প্রতিপক্ষকে অবশ্যই সম্মত হতে হবে)।
0x0052	82	আপনি একটি অসমাপ্ত রেট করা গেমটি ছেড়ে দিচ্ছেন:
0x0053	83	প্রস্থান করুন এবং সংরক্ষণ করুন
0x0079	121	গ্রহণ করুন
0x007b	123	সমস্ত আমন্ত্রণ প্রত্যাখ্যান করুন৷
0x007c	124	আমন্ত্রিত
0x007d	125	\\n \\nGame অপশন:
0x007e	126	কারণ:
0x007f	127	(ঐচ্ছিক)
0x0080	128	আপনাকে টেবিলে আমন্ত্রণ জানিয়েছে #
0x0081	129	\\n \\n আপনি কি যোগ দিতে চান?
0x0082	130	প্রত্যাখ্যান
0x0083	131	শুধুমাত্র আমার বন্ধুদের থেকে তাত্ক্ষণিক বার্তার অনুমতি দিন।
0x0084	132	উপেক্ষা করুন
0x0085	133	থেকে:
0x0086	134	শুরু
0x0087	135	প্রোফাইল
0x0088	136	পাঠান
0x0089	137	বন্ধ
0x008a	138	আপনার পদক্ষেপ এবং যদি
0x008b	139	কম্পিউটার চালাতে 'প্লে রোবট' টিপুন।
0x008d	141	- রুম:
0x008e	142	ফিরে আসে না, আপনাকে জোর করে পদত্যাগ করার বিকল্প দেওয়া হবে।
0x008f	143	*** সংরক্ষণ অনুরোধ করা হয়েছে.
0x0090	144	সুরক্ষিত
0x0091	145	এই গেমটি সংরক্ষণ করার অনুরোধ করেছে৷ \\n এটা কি গ্রহণযোগ্য?
0x0092	146	ব্যক্তিগত
0x0093	147	আপনার
0x0094	148	গেমটিতে যোগ দিতে একটি 'বসা' বোতামে ক্লিক করুন।
0x0095	149	এই গেমটি বাতিল করার অনুরোধ করেছে৷ \\n এটা কি গ্রহণযোগ্য?
0x0096	150	বাতিল
0x0097	151	দাঁড়াও
0x0098	152	প্রতিপক্ষ
0x0099	153	আমার পালা
0x009b	155	*** যে কেউ এখন আপনার টেবিলে যোগ দিতে পারে.
0x009c	156	s
0x009d	157	প্রতিপক্ষের অপেক্ষায়
0x009e	158	প্রস্থান করুন
0x009f	159	টেবিলে যোগদান করেছে।
0x00a0	160	শুরু করতে 'Start Game' এ ক্লিক করুন।
0x00a1	161	সাহায্য
0x00a2	162	টেবিল ছেড়ে গেছে।
0x00a3	163	*** শুধুমাত্র আপনি আমন্ত্রিত ব্যক্তিরা এখন আপনার টেবিলে খেলতে বা দেখতে পারেন৷
0x00a4	164	খেলা শুরু করুন
0x00a5	165	চালু অডিও
0x00a6	166	- হোস্ট:
0x00a7	167	পাবলিক
0x00a8	168	রোবট খেলুন
0x00aa	170	বুট
0x00ab	171	*** বাতিল অনুরোধ করা হয়েছে.
0x00ac	172	*** শুধুমাত্র আপনার আমন্ত্রিত ব্যক্তিরা এখন আপনার টেবিলে খেলতে পারে।
0x00ae	174	- টেবিল:
0x00af	175	*** আপনি এই টেবিলের হোস্ট.
0x00b0	176	খেলা:
0x00b1	177	আপনার
0x00b2	178	'স্টার্ট' ক্লিক করার জন্য প্রতিপক্ষের জন্য অপেক্ষা করা হচ্ছে।
0x00b4	180	একটি অসমাপ্ত রেট করা গেম ছেড়ে গেছে৷\\n৷
0x00b5	181	*** খেলা
0x00b6	182	সংরক্ষিত
0x00b7	183	আমন্ত্রণ
0x00b8	184	অংশীদার
0x00b9	185	শব্দ
0x00ba	186	যদি
0x00bf	191	নাম লিখুন:
0x00c0	192	তালিকা থেকে নির্বাচন করুন
0x00c1	193	- বা -
0x00c9	201	পিং
0x00ca	202	জন্য প্লেয়ার তথ্য
0x00cb	203	তাৎক্ষণিক বার্তা পাঠান:
0x00cc	204	সেকেন্ড
0x00ce	206	মিনিট
0x00cf	207	অলস সময়:
0x00e1	225	টেবিল
0x00e2	226	কে দেখছে
0x00e3	227	বিকল্প:
0x00e4	228	যোগ দিন
0x00e8	232	দ্বারা
0x00e9	233	Rtng
0x00ea	234	সেকেন্ড।\\nআমার নেট বিলম্ব:
0x00eb	235	আপনাকে বসার জন্য আমন্ত্রণ জানিয়েছে।
0x00f0	240	আপনার ক্যাশে ক্লায়েন্টের একটি পুরানো সংস্করণ রয়েছে।
0x00f2	242	পিং পাঠানো হয়েছে... প্রতিক্রিয়ার অপেক্ষায়।
0x00f4	244	অস্থায়ী
0x00f5	245	নাম
0x00f6	246	গেম সার্ভারের সাথে সংযোগ করার চেষ্টা করা হচ্ছে
0x00f7	247	এখন খেলুন
0x00f9	249	গেম থেকে প্রস্থান করুন
0x00fb	251	এর নেট বিলম্ব:
0x00fd	253	বলুন:
0x00ff	255	গেম সার্ভারের সাথে যোগাযোগ করা হচ্ছে...
0x0102	258	ত্রুটি: সিস্টেম সম্পদের বাইরে।\\nকোনও অপ্রয়োজনীয় উইন্ডো এবং অ্যাপ্লিকেশন বন্ধ করুন।\\nতারপর গেম উইন্ডো বন্ধ করুন এবং আবার চেষ্টা করুন।
0x0105	261	সার্ভারের সাথে সংযোগ করতে অক্ষম। \\n চারটি জিনিসের মধ্যে একটির কারণে এটি হতে পারে: \\n1) আপনি একটি ফায়ারওয়ালের পিছনে রয়েছেন। \\n2) আপনি ইন্টারনেটের সাথে সংযুক্ত নন। \\n3) গেম সার্ভারটি ডাউন। \\n4) আপনার একটি বাসি পৃষ্ঠা রয়েছে।
0x0106	262	টেবিল তৈরি করুন
0x0108	264	ছোট উইন্ডোজ
0x0109	265	Tbl
0x010b	267	আপনি টেবিল থেকে বুট করা হয়েছে
0x010c	268	সার্ভার থেকে সংযোগ বিচ্ছিন্ন হয়েছে... নিষ্ক্রিয় অনেকক্ষণ৷
0x0111	273	শুধুমাত্র \\n বন্ধুদের থেকে IMs
0x0115	277	... ডাউনলোড হচ্ছে রুমের অবস্থা
0x0118	280	সার্ভারে লগ ইন করার সময় ত্রুটি৷
0x0119	281	সমস্ত\\nআমন্ত্রণ প্রত্যাখ্যান করুন৷
0x011c	284	রুং
0x011d	285	আপনি নিজেকে উপেক্ষা করতে পারবেন না।
0x0123	291	সার্ভার থেকে সংযোগ বিচ্ছিন্ন
0x0125	293	গেম সার্ভারের সাথে সংযুক্ত
0x0128	296	রেটিং
0x0129	297	গেমটি পুনরায় চালু করুন।
0x012a	298	ফিরে আসতে
0x012b	299	আপনার জন্য অপেক্ষা করুন
0x012c	300	জোর করে আপনার
0x012d	301	খেলা সংরক্ষণ করুন
0x012e	302	খেলা বাতিল করুন:
0x012f	303	খেলা বাতিল করুন
0x0130	304	জোর করে বাজেয়াপ্ত করা:
0x0131	305	অপেক্ষা করুন
