# key_hex	key_dec	text
0x0000	0	সতৰ্ক
0x0001	1	ঠিক আছে
0x0017	23	বহক
0x0018	24	অস্থায়ী
0x0031	49	এই খেলা was\\n আপনি দ্বারা অনা:
0x0032	50	গেম অভাৰ
0x0034	52	বিকল্পসমূহ
0x0035	53	টেবুলৰ ধৰণ
0x0041	65	হয়
0x0042	66	নহয়
0x0048	72	খেলা বন্ধ কৰক আৰু এই খেলৰ ফলাফল বাতিল কৰক (বিৰোধীয়ে সন্মত হ'ব লাগিব)।
0x0049	73	কোনো কথা নাই
0x004a	74	নিশ্চিতকৰণ বন্ধ কৰক
0x004b	75	বাদ দিয়ক আৰু জব্দ কৰক:
0x004c	76	বাদ দিয়ক আৰু বাতিল কৰক
0x004d	77	বাদ দিয়ক আৰু জব্দ কৰক
0x004e	78	খেল এৰি দিয়ক আৰু জব্দ কৰক।
0x004f	79	বন্ধ কৰক আৰু সংৰক্ষণ কৰক:
0x0050	80	বাদ দিয়ক আৰু বাতিল কৰক:
0x0051	81	খেলা বন্ধ কৰক আৰু \\ngame সংৰক্ষণ কৰক (বিৰোধীয়ে সন্মত হ'ব লাগিব)।
0x0052	82	আপুনি এটা অসমাপ্ত ৰেটিং গেম এৰিছে:
0x0053	83	বন্ধ কৰক আৰু সংৰক্ষণ কৰক
0x0079	121	গ্ৰহণ কৰা
0x007b	123	সকলো আমন্ত্ৰণ অস্বীকাৰ কৰক
0x007c	124	নিমন্ত্ৰণ কৰা হৈছে
0x007d	125	\\n \\nগেম বিকল্পসমূহ:
0x007e	126	কাৰণ:
0x007f	127	(বৈকল্পিক)
0x0080	128	টেবুল # লৈ আমন্ত্ৰণ জনাইছে।
0x0081	129	\\n \\nআপুনি যোগদান কৰিব বিচাৰেনে?
0x0082	130	অস্বীকাৰ কৰা
0x0083	131	কেৱল মোৰ বন্ধুসকলৰ পৰা তৎক্ষণাত বাৰ্তাৰ অনুমতি দিয়ক।
0x0084	132	অগ্ৰাহ্য কৰা
0x0085	133	পৰা:
0x0086	134	আৰম্ভ কৰিছিল
0x0087	135	ৰূপৰেখা
0x0088	136	পঠোৱা
0x0089	137	বন্ধ
0x008a	138	আপোনাৰ পদক্ষেপ লওক আৰু যদি...
0x008b	139	কম্পিউটাৰটো চলাবলৈ 'Play Robot' টিপক।
0x008d	141	- কোঠা:
0x008e	142	ঘূৰি নাহে, আপুনি\\nক পদত্যাগ কৰিবলৈ বাধ্য কৰাব।
0x008f	143	*** সংৰক্ষণৰ অনুৰোধ কৰা হৈছে।
0x0090	144	সুৰক্ষিত
0x0091	145	এই গেমটি saved.\\nIs এই গ্ৰহণযোগ্য?
0x0092	146	ব্যক্তিগত
0x0093	147	আপোনাৰ
0x0094	148	খেলত যোগদান কৰিবলৈ এটা 'Sit' বুটাম ক্লিক কৰক।
0x0095	149	এই গেমটো বাতিল কৰিবলৈ অনুৰোধ কৰিছে।\\nIs এইটো গ্ৰহণযোগ্য?
0x0096	150	বাতিল কৰা হৈছে।
0x0097	151	ষ্টেণ্ড আপ
0x0098	152	প্ৰতিদ্বন্দ্বী
0x0099	153	মোৰ পালত
0x009b	155	*** আপোনাৰ টেবুলত এতিয়া যিকোনো ব্যক্তিয়ে যোগদান কৰিব পাৰে।
0x009c	156	ছ.
0x009d	157	প্ৰতিপক্ষৰ বাবে অপেক্ষা কৰি আছে
0x009e	158	এৰি দিয়া
0x009f	159	টেবুলত যোগ দিছে।
0x00a0	160	আৰম্ভ কৰিবলৈ 'খেল আৰম্ভ' ক্লিক কৰক।
0x00a1	161	সহায়
0x00a2	162	টেবুল এৰি থৈ গৈছে।
0x00a3	163	*** আপুনি নিমন্ত্ৰণ কৰা মানুহেহে এতিয়া আপোনাৰ টেবুলত খেলিব পাৰে বা চাব পাৰে।
0x00a4	164	খেল আৰম্ভ কৰক
0x00a5	165	অডিঅ' অন টাৰ্ণ
0x00a6	166	- আঁত ধৰোঁতা:
