# key_hex	key_dec	text
0x0000	0	Upozornění
0x0001	1	OK
0x0017	23	Sedět
0x0018	24	prozatímní
0x0031	49	Tuto hru vám přinesl \\n:
0x0032	50	Konec hry
0x0034	52	Možnosti
0x0035	53	Typ tabulky
0x0041	65	Ano
0x0042	66	Žádný
0x0048	72	Přestaňte hrát a zrušte výsledek\\n této hry (soupeř musí souhlasit).
0x0049	73	Nevadí
0x004a	74	Ukončit potvrzení
0x004b	75	Ukončit a propadnout:
0x004c	76	Ukončit a zrušit
0x004d	77	Ukončit a propadnout
0x004e	78	Ukončete a ukončete hru.
0x004f	79	Ukončit a uložit:
0x0050	80	Ukončit a zrušit:
0x0051	81	Přestaňte hrát a uložte hru \\n (soupeř musí souhlasit).
0x0052	82	Ukončujete nedokončenou hodnocenou hru:
0x0053	83	Ukončit a uložit
0x0079	121	Přijmout
0x007b	123	Odmítnout všechna pozvání
0x007c	124	Pozvaný
0x007d	125	\\n \\nMožnosti hry:
0x007e	126	Důvod:
0x007f	127	(volitelný)
0x0080	128	vás pozval ke stolu č.
0x0081	129	\\n \\nChtěli byste se připojit?
0x0082	130	Pokles
0x0083	131	Povolit rychlé zprávy pouze od mých přátel.
0x0084	132	Ignorovat
0x0085	133	Z:
0x0086	134	začala
0x0087	135	Profil
0x0088	136	Poslat
0x0089	137	Blízko
0x008a	138	Udělejte svůj pohyb a pokud
0x008b	139	Chcete-li hrát na počítači, stiskněte 'Play Robot'.
0x008d	141	- Místnost:
0x008e	142	nevrátí, dostanete\\n možnost vynutit si rezignaci.
0x008f	143	*** Požadováno uložení.
0x0090	144	Chráněný
0x0091	145	požádal o uložení této hry.\\nJe to přijatelné?
0x0092	146	Soukromé
0x0093	147	vaše
0x0094	148	Chcete-li se připojit ke hře, klikněte na tlačítko 'Sednout'.
0x0095	149	požádal o zrušení této hry.\\nJe to přijatelné?
0x0096	150	zrušeno.
0x0097	151	Postavit se
0x0098	152	oponent
0x0099	153	Jsem na řadě
0x009b	155	*** K vašemu stolu se nyní může připojit kdokoli.
0x009c	156	s.
0x009d	157	Čekání na soupeře
0x009e	158	Přestat
0x009f	159	se připojil ke stolu.
0x00a0	160	Začněte kliknutím na 'Spustit hru'.
0x00a1	161	Pomoc
0x00a2	162	opustil stůl.
0x00a3	163	*** Pouze lidé, které jste pozvali, mohou nyní hrát nebo sledovat váš stůl.
0x00a4	164	Spustit hru
0x00a5	165	Zvuk při zapnutí
0x00a6	166	- Hostitel:
0x00a7	167	Veřejnost
0x00a8	168	Hrát Robota
0x00aa	170	Bota
0x00ab	171	*** Požadováno zrušení.
0x00ac	172	*** U vašeho stolu nyní mohou hrát pouze lidé, které jste pozvali.
0x00ae	174	- Stůl:
