# key_hex	key_dec	text
0x0000	0	Попередження
0x0001	1	добре
0x0017	23	Сісти
0x0018	24	тимчасовий
0x0031	49	Цю гру \\n надав вам:
0x0032	50	Гра закінчена
0x0034	52	Опції
0x0035	53	Тип таблиці
0x0041	65	так
0x0042	66	немає
0x0048	72	Припиніть гру та скасуйте результат\\n цієї гри (супротивник повинен погодитися).
0x0049	73	Неважливо
0x004a	74	Підтвердження виходу
0x004b	75	Вийти і втратити:
0x004c	76	Вийти та скасувати
0x004d	77	Вийти і втратити
0x004e	78	Вийдіть і програйте гру.
0x004f	79	Вийти та зберегти:
0x0050	80	Вийти та скасувати:
0x0051	81	Припиніть гру та збережіть гру \\n (супротивник має погодитися).
0x0052	82	Ви виходите з незавершеної рейтингової гри:
0x0053	83	Вийти та зберегти
0x0079	121	прийняти
0x007b	123	Відхиляти всі запрошення
0x007c	124	Запрошений
0x007d	125	\\n \\nВаріанти гри:
0x007e	126	Причина:
0x007f	127	(необов'язково)
0x0080	128	запросив вас до столу #
0x0081	129	\\n \\n Хочете приєднатися?
0x0082	130	відхилити
0x0083	131	Дозволити миттєві повідомлення лише від моїх друзів.
0x0084	132	Ігнорувати
0x0085	133	Від:
0x0086	134	почався
0x0087	135	Профіль
0x0088	136	Надіслати
0x0089	137	Закрити
0x008a	138	Зробіть свій хід і якщо
0x008b	139	Натисніть «Грати в робота», щоб грати на комп’ютері.
0x008d	141	- Кімната:
0x008e	142	не повернеться, вам\\n буде надано можливість змусити піти у відставку.
0x008f	143	*** Прохання зберегти.
0x0090	144	Захищений
0x0091	145	подав запит на збереження цієї гри.\\nЦе прийнятно?
0x0092	146	Приватний
0x0093	147	ваш
0x0094	148	Натисніть кнопку «Сісти», щоб приєднатися до гри.
0x0095	149	подав запит на скасування цієї гри.\\nЦе прийнятно?
0x0096	150	скасовано.
0x0097	151	Встаньте
0x0098	152	опонент
0x0099	153	На мою чергу
0x009b	155	*** Тепер до вашого столу може приєднатися кожен.
0x009c	156	с.
0x009d	157	Очікування суперника
0x009e	158	Вийти
0x009f	159	приєднався до столу.
0x00a0	160	Натисніть «Почати гру», щоб почати.
0x00a1	161	Довідка
0x00a2	162	вийшов з-за столу.
0x00a3	163	*** Зараз за вашим столом можуть грати або спостерігати лише запрошені вами люди.
0x00a4	164	Почати гру
0x00a5	165	Аудіо ввімкнено
0x00a6	166	- Ведучий:
0x00a7	167	Громадський
0x00a8	168	Грати в робота
0x00aa	170	Завантаження
0x00ab	171	*** Прохання про скасування.
0x00ac	172	*** Зараз за вашим столом можуть грати лише запрошені вами люди.
0x00ae	174	- Таблиця:
0x00af	175	*** Ви господар цього столу.
0x00b0	176	Гра:
0x00b1	177	ваш
0x00b2	178	Чекаємо, поки опонент натисне «Почати».
0x00b4	180	залишив незавершену рейтингову гру.\\n
0x00b5	181	*** Гра
0x00b6	182	збережено.
0x00b7	183	Запросити
0x00b8	184	партнер
0x00b9	185	Звук
0x00ba	186	Якщо
0x00bf	191	Введіть ім'я:
0x00c0	192	Виберіть зі списку
