# key_hex	key_dec	text
0x0000	0	Peringatan
0x0001	1	OKE
0x0017	23	Duduk
0x0018	24	sementara
0x0031	49	Game ini adalah \\n yang dipersembahkan oleh:
0x0032	50	Permainan Berakhir
0x0034	52	Pilihan
0x0035	53	Tipe Tabel
0x0041	65	Ya
0x0042	66	TIDAK
0x0048	72	Berhenti bermain dan batalkan hasil\\ndari permainan ini (lawan harus setuju).
0x0049	73	Sudahlah
0x004a	74	Keluar dari Konfirmasi
0x004b	75	Keluar dan Hilang:
0x004c	76	Keluar dan Batal
0x004d	77	Keluar dan Hilang
0x004e	78	Keluar dan kalahkan permainan.
0x004f	79	Keluar dan Simpan:
0x0050	80	Keluar dan Batalkan:
0x0051	81	Berhenti bermain dan simpan permainan \\n (lawan harus setuju).
0x0052	82	Anda keluar dari game berperingkat yang belum selesai:
0x0053	83	Keluar dan Simpan
0x0079	121	Menerima
0x007b	123	Tolak Semua Undangan
0x007c	124	Diundang
0x007d	125	\\n \\nOpsi permainan:
0x007e	126	Alasan:
0x007f	127	(opsional)
0x0080	128	telah mengundangmu ke meja #
0x0081	129	\\n \\nApakah Anda ingin bergabung?
0x0082	130	Menolak
0x0083	131	Izinkan pesan instan hanya dari teman saya.
0x0084	132	Mengabaikan
0x0085	133	Dari:
0x0086	134	dimulai
0x0087	135	Profil
0x0088	136	Mengirim
0x0089	137	Menutup
0x008a	138	Lakukan gerakan Anda dan jika
0x008b	139	Tekan 'Mainkan Robot' untuk memainkan komputer.
0x008d	141	- Ruang:
0x008e	142	tidak kembali, Anda\\nakan diberikan opsi untuk memaksa pengunduran diri.
0x008f	143	*** Simpan diminta.
0x0090	144	Terlindung
0x0091	145	telah meminta agar game ini disimpan.\\nApakah ini dapat diterima?
0x0092	146	Pribadi
0x0093	147	milikmu
0x0094	148	Klik tombol 'Duduk' untuk bergabung dalam permainan.
0x0095	149	telah meminta agar game ini dibatalkan.\\nApakah ini dapat diterima?
0x0096	150	dibatalkan.
0x0097	151	Berdiri
0x0098	152	lawan
0x0099	153	Pada giliranku
