# key_hex	key_dec	text
0x0000	0	Varsle
0x0001	1	OK
0x0017	23	Sitt
0x0018	24	provisorisk
0x0031	49	Dette spillet ble \\n brakt til deg av:
0x0032	50	Spill over
0x0034	52	Alternativer
0x0035	53	Tabell Type
0x0041	65	Ja
0x0042	66	Ingen
0x0048	72	Slutt å spille og avbryt resultatet \\n av dette spillet (motstanderen må godta).
0x0049	73	Never Mind
0x004a	74	Avslutt bekreftelse
0x004b	75	Avslutt og tap:
0x004c	76	Avslutt og avbryt
0x004d	77	Avslutt og tap
0x004e	78	Avslutt og tap spillet.
0x004f	79	Avslutt og lagre:
0x0050	80	Avslutt og avbryt:
0x0051	81	Slutt å spille og lagre \\n-spillet (motstanderen må være enig).
0x0052	82	Du avslutter et uferdig rangert spill:
0x0053	83	Avslutt og lagre
0x0079	121	Akseptere
0x007b	123	Avslå alle invitasjoner
0x007c	124	Invitert
0x007d	125	\\n \\n Spillalternativer:
0x007e	126	Grunn:
0x007f	127	(valgfri)
0x0080	128	har invitert deg til bord #
0x0081	129	\\n \\nVil du bli med?
0x0082	130	Avslå
0x0083	131	Tillat kun direktemeldinger fra vennene mine.
0x0084	132	Overse
0x0085	133	Fra:
0x0086	134	startet
0x0087	135	Profil
0x0088	136	Sende
0x0089	137	Lukke
0x008a	138	Gjør ditt trekk og hvis
0x008b	139	Trykk 'Spill av robot' for å spille datamaskinen.
0x008d	141	- Rom:
0x008e	142	ikke kommer tilbake, vil du\\n få muligheten til å tvinge frem en oppsigelse.
0x008f	143	*** Lagre forespurt.
0x0090	144	Beskyttet
0x0091	145	har bedt om at dette spillet skal lagres.\\nEr dette akseptabelt?
0x0092	146	Privat
0x0093	147	din
0x0094	148	Klikk på en "Sitt"-knapp for å bli med i spillet.
0x0095	149	har bedt om at dette spillet blir kansellert.\\nEr dette akseptabelt?
0x0096	150	kansellert.
0x0097	151	Stå opp
0x0098	152	motstander
0x0099	153	På min tur
0x009b	155	*** Alle kan bli med på bordet ditt nå.
0x009c	156	s.
0x009d	157	Venter på motstanderen
0x009e	158	Slutte
0x009f	159	har sluttet seg til bordet.
0x00a0	160	Klikk "Start spill" for å begynne.
0x00a1	161	Hjelp
0x00a2	162	har forlatt bordet.
0x00a3	163	*** Bare folk du har invitert kan spille på eller se på bordet ditt nå.
0x00a4	164	Start spillet
0x00a5	165	Lyd på tur
0x00a6	166	- Vert:
0x00a7	167	Offentlig
0x00a8	168	Spill Robot
0x00aa	170	Støvel
0x00ab	171	*** Avbryt forespurt.
0x00ac	172	*** Bare personer du har invitert kan spille ved bordet ditt nå.
0x00ae	174	- Tabell:
0x00af	175	*** Du er vert for dette bordet.
0x00b0	176	Spill:
0x00b1	177	Din
0x00b2	178	Venter på at motstanderen skal klikke "Start".
0x00b4	180	har forlatt et uferdig rangert spill.\\n
0x00b5	181	*** Spill
0x00b6	182	lagret.
0x00b7	183	Invitere
