# key_hex	key_dec	text
0x0000	0	चेतावनी
0x0001	1	ठीक है
0x0017	23	बैठना
0x0018	24	अनंतिम
0x0031	49	यह गेम आपके लिए \\n द्वारा लाया गया था:
0x0032	50	खेल खत्म
0x0034	52	विकल्प
0x0035	53	टेबल प्रकार
0x0041	65	हाँ
0x0042	66	नहीं
0x0048	72	खेलना बंद करें और इस गेम का परिणाम रद्द करें\\n (प्रतिद्वंद्वी को सहमत होना होगा)।
0x0049	73	कोई बात नहीं
0x004a	74	पुष्टिकरण छोड़ें
0x004b	75	छोड़ें और जब्त करें:
0x004c	76	छोड़ें और रद्द करें
0x004d	77	छोड़ो और जब्त करो
0x004e	78	खेल छोड़ो और हार जाओ.
0x004f	79	छोड़ें और बचाएं:
0x0050	80	छोड़ें और रद्द करें:
0x0051	81	खेलना बंद करें और \\n गेम को सेव करें (प्रतिद्वंद्वी को सहमत होना होगा)।
0x0052	82	आप एक अधूरा रेटेड गेम छोड़ रहे हैं:
0x0053	83	छोड़ो और बचाओ
0x0079	121	स्वीकार करना
0x007b	123	सभी निमंत्रण अस्वीकार करें
0x007c	124	आमंत्रित
0x007d	125	\\n \\nगेम विकल्प:
0x007e	126	कारण:
0x007f	127	(वैकल्पिक)
0x0080	128	आपको टेबल पर आमंत्रित किया है #
0x0081	129	\\n \\nक्या आप शामिल होना चाहेंगे?
0x0082	130	गिरावट
0x0083	131	केवल मेरे मित्रों के त्वरित संदेशों की अनुमति दें।
0x0084	132	अनदेखा करना
0x0085	133	से:
0x0086	134	शुरू कर दिया
0x0087	135	प्रोफ़ाइल
0x0088	136	भेजना
0x0089	137	बंद करना
0x008a	138	अपना कदम उठाएं और यदि
0x008b	139	कंप्यूटर चलाने के लिए 'प्ले रोबोट' दबाएँ।
0x008d	141	- कमरा:
0x008e	142	वापस नहीं आता है, तो आपको \\n जबरन इस्तीफा देने का विकल्प दिया जाएगा।
0x008f	143	*** सहेजने का अनुरोध किया गया।
0x0090	144	संरक्षित
