# key_hex	key_dec	text
0x0000	0	עֵרָנִי
0x0001	1	בְּסֵדֶר
0x0017	23	לָשֶׁבֶת
0x0018	24	זְמַנִי
0x0031	49	המשחק הזה הובא לך על ידי:
0x0032	50	המשחק נגמר
0x0034	52	אפשרויות
0x0035	53	סוג שולחן
0x0041	65	כֵּן
0x0042	66	לֹא
0x0048	72	הפסק לשחק ובטל את התוצאה\\n של המשחק הזה (היריב חייב להסכים).
0x0049	73	לא משנה
0x004a	74	צא מאישור
0x004b	75	עזוב ועזוב:
0x004c	76	צא ובטל
0x004d	77	עזוב ועזוב
0x004e	78	עזוב ועזוב את המשחק.
0x004f	79	צא ושמור:
0x0050	80	צא ובטל:
0x0051	81	הפסק לשחק ושמור את המשחק \\n (היריב חייב להסכים).
0x0052	82	אתה עוזב משחק מדורג לא גמור:
0x0053	83	צא ושמור
0x0079	121	לְקַבֵּל
0x007b	123	דחה את כל ההזמנות
0x007c	124	מוזמן
0x007d	125	\\n \\n אפשרויות משחק:
0x007e	126	לְנַמֵק:
0x007f	127	(אופציונלי)
0x0080	128	הזמין אותך לשולחן מס'
0x0081	129	\\n \\nהאם תרצה להצטרף?
0x0082	130	יְרִידָה
0x0083	131	אפשר הודעות מיידיות מהחברים שלי בלבד.
0x0084	132	לְהִתְעַלֵם
0x0085	133	מִן:
0x0086	134	התחיל
0x0087	135	פּרוֹפִיל
0x0088	136	לִשְׁלוֹחַ
0x0089	137	לִסְגוֹר
0x008a	138	תעשה את הצעד שלך ואם
0x008b	139	לחץ על 'שחק רובוט' כדי להפעיל את המחשב.
0x008d	141	- חדר:
0x008e	142	לא חוזר, תינתן לך אפשרות לכפות התפטרות.
0x008f	143	*** שמירה מתבקשת.
0x0090	144	מוּגָן
0x0091	145	ביקש לשמור את המשחק הזה.\\nהאם זה מקובל?
0x0092	146	פְּרָטִי
0x0093	147	שֶׁלְךָ
0x0094	148	לחץ על כפתור 'שב' כדי להצטרף למשחק.
0x0095	149	ביקש לבטל את המשחק הזה.\\nהאם זה מקובל?
0x0096	150	בּוּטלָה.
0x0097	151	לָקוּם
0x0098	152	יָרִיב
0x0099	153	בתורי
0x009b	155	*** כל אחד יכול להצטרף לשולחן שלך עכשיו.
0x009c	156	ס.
0x009d	157	מחכה ליריב
0x009e	158	לְהַפְסִיק
0x009f	159	הצטרף לשולחן.
0x00a0	160	לחץ על 'התחל משחק' כדי להתחיל.
0x00a1	161	עֶזרָה
0x00a2	162	עזב את השולחן.
0x00a3	163	*** רק אנשים שהזמנת יכולים לשחק או לצפות בשולחן שלך עכשיו.
0x00a4	164	התחל משחק
0x00a5	165	אודיו בסיבוב
0x00a6	166	- מארח:
0x00a7	167	פּוּמְבֵּי
0x00a8	168	לשחק רובוט
0x00aa	170	מַגָף
0x00ab	171	*** התבקש ביטול.
0x00ac	172	*** רק אנשים שהזמנתם יכולים לשחק בשולחן שלכם כעת.
0x00ae	174	- טבלה:
0x00af	175	*** אתה המארח של השולחן הזה.
0x00b0	176	מִשְׂחָק:
0x00b1	177	שֶׁלְךָ
0x00b2	178	מחכה שהיריב ילחץ על 'התחל'.
0x00b4	180	השאיר משחק מדורג לא גמור.\\n
0x00b5	181	*** משחק
0x00b6	182	נשמר.
0x00b7	183	לְהַזמִין
0x00b8	184	שׁוּתָף
0x00b9	185	קוֹל
0x00ba	186	אִם
0x00bf	191	הזן שם:
0x00c0	192	בחר מתוך רשימה
0x00c1	193	- או -
0x00c9	201	פינג
0x00ca	202	מידע נגן עבור
0x00cb	203	שלח הודעה מיידית:
0x00cc	204	שניות.
0x00ce	206	פּרוֹטוֹקוֹל.
0x00cf	207	זמן סרק:
0x00e1	225	לוּחַ
0x00e2	226	מי צופה
0x00e3	227	אפשרויות:
0x00e4	228	לְהִצְטַרֵף
0x00e8	232	עַל יְדֵי
0x00e9	233	Rtng
0x00ea	234	שניות.\\nהעיכוב נטו שלי:
0x00eb	235	הזמין אותך לשבת.
0x00f0	240	יש לך גרסה ישנה של הלקוח במטמון שלך.
0x00f2	242	הפינג נשלח... מחכה לתגובה.
0x00f4	244	זְמַנִי
0x00f5	245	שֵׁם
0x00f6	246	מנסה להתחבר לשרת המשחקים
0x00f7	247	שחק עכשיו
0x00f9	249	צא ממשחקים
0x00fb	251	עיכוב נטו של:
0x00fd	253	לוֹמַר:
0x00ff	255	יוצר קשר עם שרת משחקים...
0x0102	258	שגיאה: אזל משאבי המערכת.\\nסגור חלונות ויישומים שאינם נחוצים.\\nלאחר מכן סגור את חלון המשחקים ונסה שוב.
0x0105	261	לא ניתן להתחבר לשרת.\\nאחד מארבעה דברים יכול היה לגרום לזה:\\n1)אתה מאחורי חומת אש.\\n2)אינך מחובר לאינטרנט.\\n3)שרת המשחקים מושבת.\\n4)יש לך דף מיושן במטמון שלך.
0x0106	262	צור טבלה
0x0108	264	חלונות קטנים
0x0109	265	טבל
0x010b	267	אתחולת מהשולחן
0x010c	268	מנותק מהשרת... לא פעיל יותר מדי
0x0111	273	הודעות IM מ\\nחברים בלבד
0x0115	277	... מוריד מצב חדר
0x0118	280	שגיאה בכניסה לשרת.
0x0119	281	דחה את כל ההזמנות \\n
0x011c	284	שָׁלָב
0x011d	285	אתה לא יכול להתעלם מעצמך.
0x0123	291	מנותק מהשרת
0x0125	293	מחובר לשרת משחקים כ
0x0128	296	דירוגים
0x0129	297	to\\nפרוש מהמשחק.
0x012a	298	לחזור.
0x012b	299	חכה לשלך
0x012c	300	תכריח את שלך
0x012d	301	שמור משחק
0x012e	302	בטל משחק:
0x012f	303	בטל את המשחק
0x0130	304	עיקול בכוח:
0x0131	305	לַחֲכוֹת
0x0132	306	תפסיק לשחק ותשמור את המשחק.
0x0133	307	נטש משחק מדורג שלא נגמר:
