# key_hex	key_dec	text
0x0000	0	警報
0x0001	1	好的
0x0017	23	坐
0x0018	24	臨時的
0x0031	49	遊戲由\\n 為您提供：
0x0032	50	遊戲結束
0x0034	52	選項
0x0035	53	桌子類型
0x0041	65	是的
0x0042	66	否
0x0048	72	停止比賽並取消本場比賽的結果\\n（必須經過對手同意）。
0x0049	73	沒關係
0x004a	74	退出確認
0x004b	75	退出和放棄：
0x004c	76	退出並取消
0x004d	77	退出和放棄
0x004e	78	退出並放棄遊戲。
0x004f	79	退出並儲存：
0x0050	80	退出並取消：
0x0051	81	停止玩並保存 \\n 遊戲（對手必須同意）。
0x0052	82	您正在退出未完成的評級遊戲：
0x0053	83	退出並保存
0x0079	121	接受
0x007b	123	拒絕所有邀請
0x007c	124	受邀
0x007d	125	\\n \\n遊戲選項：
0x007e	126	原因：
0x007f	127	（可選）
0x0080	128	已邀請您就座#
0x0081	129	\\n \\n你想加入嗎？
0x0082	130	拒絕
0x0083	131	僅允許來自我的朋友的即時訊息。
0x0084	132	忽略
0x0085	133	來自：
0x0086	134	開始了
0x0087	135	公司簡介
0x0088	136	傳送
0x0089	137	關閉
0x008a	138	採取行動，如果
0x008b	139	按下「玩機器人」即可玩電腦。
0x008d	141	- 房間：
0x008e	142	不返回，您\\n將獲得強制辭職的選項。
0x008f	143	*** 請求保存。
0x0090	144	受保護
0x0091	145	已請求保存該遊戲。 \\nI這可以接受嗎？
0x0092	146	私人
0x0093	147	你的
0x0094	148	點擊“坐下”按鈕即可加入遊戲。
0x0095	149	已要求取消該遊戲。 \\nI這可以接受嗎？
0x0096	150	取消了。
0x0097	151	站起來
0x0098	152	對手
0x0099	153	輪到我了
0x009b	155	*** 現在任何人都可以加入您的餐桌。
0x009c	156	s。
0x009d	157	等待對手
0x009e	158	戒菸
0x009f	159	已加入表中。
0x00a0	160	點擊“開始遊戲”開始。
0x00a1	161	幫助
0x00a2	162	已離開餐桌。
0x00a3	163	*** 現在只有您邀請的人可以在您的牌桌玩遊戲或觀看您的牌桌。
0x00a4	164	開始遊戲
0x00a5	165	音訊開啟
0x00a6	166	- 主持人：
0x00a7	167	公有
0x00a8	168	玩機器人
0x00aa	170	開機
