# key_hex	key_dec	text
0x0000	0	Alerta
0x0001	1	OK
0x0017	23	Sentar
0x0018	24	provisório
0x0031	49	Este jogo foi\\ntrazido a você por:
0x0032	50	Game Over
0x0034	52	Opções
0x0035	53	Tipo de tabela
0x0041	65	Sim
0x0042	66	Não
0x0048	72	Pare de jogar e cancele o resultado \\n deste jogo (o oponente deve concordar).
0x0049	73	Deixa para lá
0x004a	74	Sair da confirmação
0x004b	75	Desistir e desistir:
0x004c	76	Sair e cancelar
0x004d	77	Desistir e desistir
0x004e	78	Saia e perca o jogo.
0x004f	79	Sair e salvar:
0x0050	80	Sair e cancelar:
0x0051	81	Pare de jogar e salve o jogo \\n (o oponente deve concordar).
0x0052	82	Você está saindo de um jogo classificado inacabado:
0x0053	83	Sair e salvar
0x0079	121	Aceitar
0x007b	123	Recusar todos os convites
0x007c	124	Convidado
0x007d	125	\\n \\nOpções de jogo:
0x007e	126	Razão:
0x007f	127	(opcional)
0x0080	128	convidou você para a mesa #
0x0081	129	\\n \\nVocê gostaria de participar?
0x0082	130	Declínio
0x0083	131	Permitir mensagens instantâneas apenas de meus amigos.
0x0084	132	Ignorar
0x0085	133	De:
0x0086	134	iniciado
0x0087	135	Perfil
0x0088	136	Enviar
0x0089	137	Fechar
0x008a	138	Faça a sua jogada e se
0x008b	139	Pressione 'Play Robot' para jogar no computador.
0x008d	141	- Sala:
0x008e	142	não retornar, você\\n terá a opção de forçar uma demissão.
0x008f	143	*** Salvar solicitado.
0x0090	144	Protegido
0x0091	145	solicitou que este jogo fosse salvo.\\nIsso é aceitável?
0x0092	146	Privado
0x0093	147	seu
0x0094	148	Clique no botão 'Sentar' para entrar no jogo.
0x0095	149	solicitou que este jogo fosse cancelado.\\nIsso é aceitável?
0x0096	150	cancelado.
0x0097	151	Ficar de pé
0x0098	152	adversário
0x0099	153	Na minha vez
0x009b	155	*** Qualquer pessoa pode entrar na sua mesa agora.
0x009c	156	S.
0x009d	157	Esperando pelo oponente
0x009e	158	Desistir
0x009f	159	juntou-se à mesa.
0x00a0	160	Clique em 'Iniciar jogo' para começar.
0x00a1	161	Ajuda
0x00a2	162	saiu da mesa.
0x00a3	163	*** Somente as pessoas que você convidou podem jogar ou assistir sua mesa agora.
0x00a4	164	Iniciar jogo
0x00a5	165	Áudio ligado
0x00a6	166	- Hospedar:
0x00a7	167	Público
0x00a8	168	Jogar Robô
0x00aa	170	Bota
0x00ab	171	*** Cancelamento solicitado.
0x00ac	172	*** Somente as pessoas que você convidou podem jogar na sua mesa agora.
0x00ae	174	- Mesa:
0x00af	175	*** Você é o anfitrião desta mesa.
0x00b0	176	Jogo:
0x00b1	177	Seu
0x00b2	178	Esperando que o oponente clique em 'Iniciar'.
0x00b4	180	deixou um jogo classificado inacabado.\\n
0x00b5	181	*** Jogo
0x00b6	182	salvo.
0x00b7	183	Convidar
0x00b8	184	parceiro
0x00b9	185	Som
0x00ba	186	Se
0x00bf	191	Digite o nome:
0x00c0	192	Selecione da lista
0x00c1	193	- ou -
0x00c9	201	Pingar
0x00ca	202	Informações do jogador para
0x00cb	203	Enviar mensagem instantânea:
0x00cc	204	segundos.
0x00ce	206	minutos.
0x00cf	207	Tempo ocioso:
0x00e1	225	Mesa
0x00e2	226	Quem está assistindo
0x00e3	227	opções:
0x00e4	228	JUNTAR
0x00e8	232	por
0x00e9	233	Rtng
0x00ea	234	segundos.\\nMeu atraso líquido:
0x00eb	235	convidou você para se sentar.
0x00f0	240	Você tem uma versão antiga do cliente em seu cache.
0x00f2	242	Ping despachado... aguardando resposta.
0x00f4	244	provisório
0x00f5	245	Nome
0x00f6	246	Tentando se conectar ao servidor de jogos
0x00f7	247	Jogue agora
0x00f9	249	Sair dos jogos
0x00fb	251	atraso líquido de:
0x00fd	253	Dizer:
0x00ff	255	Entrando em contato com o servidor de jogos...
0x0102	258	Erro: Sem recursos do sistema.\\nFeche todas as janelas e aplicativos desnecessários.\\nEm seguida, feche a janela do jogo e tente novamente.
