# key_hex	key_dec	text
0x0000	0	ಎಚ್ಚರಿಕೆ
0x0001	1	ಸರಿ
0x0017	23	ಕುಳಿತುಕೊಳ್ಳಿ
0x0018	24	ತಾತ್ಕಾಲಿಕ
0x0031	49	ಈ ಆಟವನ್ನು \\n ನಿಮಗೆ ತಂದರು:
0x0032	50	ಆಟ ಮುಗಿದಿದೆ
0x0034	52	ಆಯ್ಕೆಗಳು
0x0035	53	ಟೇಬಲ್ ಪ್ರಕಾರ
0x0041	65	ಹೌದು
0x0042	66	ಸಂ
0x0048	72	ಆಟವಾಡುವುದನ್ನು ನಿಲ್ಲಿಸಿ ಮತ್ತು ಈ ಆಟದ ಫಲಿತಾಂಶವನ್ನು ರದ್ದುಗೊಳಿಸಿ\\n (ಎದುರಾಳಿಯು ಒಪ್ಪಿಕೊಳ್ಳಬೇಕು).
0x0049	73	ಪರವಾಗಿಲ್ಲ
0x004a	74	ದೃಢೀಕರಣವನ್ನು ಬಿಟ್ಟುಬಿಡಿ
0x004b	75	ತ್ಯಜಿಸಿ ಮತ್ತು ಬಿಟ್ಟುಬಿಡಿ:
0x004c	76	ತ್ಯಜಿಸಿ ಮತ್ತು ರದ್ದುಮಾಡಿ
0x004d	77	ಬಿಟ್ಟುಬಿಡಿ ಮತ್ತು ಬಿಟ್ಟುಬಿಡಿ
0x004e	78	ಆಟವನ್ನು ಬಿಟ್ಟುಬಿಡಿ ಮತ್ತು ಬಿಟ್ಟುಬಿಡಿ.
0x004f	79	ತ್ಯಜಿಸಿ ಮತ್ತು ಉಳಿಸಿ:
0x0050	80	ತ್ಯಜಿಸಿ ಮತ್ತು ರದ್ದುಮಾಡಿ:
0x0051	81	ಆಡುವುದನ್ನು ನಿಲ್ಲಿಸಿ ಮತ್ತು \\n ಗೇಮ್ ಅನ್ನು ಉಳಿಸಿ (ಎದುರಾಳಿಯು ಒಪ್ಪಿಕೊಳ್ಳಬೇಕು).
0x0052	82	ನೀವು ಅಪೂರ್ಣ ರೇಟ್ ಮಾಡಿದ ಆಟವನ್ನು ತ್ಯಜಿಸುತ್ತಿದ್ದೀರಿ:
0x0053	83	ತ್ಯಜಿಸಿ ಮತ್ತು ಉಳಿಸಿ
0x0079	121	ಸ್ವೀಕರಿಸಿ
0x007b	123	ಎಲ್ಲಾ ಆಹ್ವಾನಗಳನ್ನು ತಿರಸ್ಕರಿಸಿ
0x007c	124	ಆಹ್ವಾನಿಸಲಾಗಿದೆ
0x007d	125	\\n \\n ಆಟದ ಆಯ್ಕೆಗಳು:
