# key_hex	key_dec	text
0x0000	0	Alerta
0x0001	1	DE ACUERDO
0x0017	23	Sentarse
0x0018	24	provisional
0x0031	49	Este juego fue \\n presentado por:
0x0032	50	Juego terminado
0x0034	52	Opciones
0x0035	53	Tipo de tabla
0x0041	65	Sí
0x0042	66	No
0x0048	72	Deja de jugar y cancela el resultado \\n de este juego (el oponente debe estar de acuerdo).
0x0049	73	No importa
0x004a	74	Confirmación de salida
0x004b	75	Renunciar y perder:
0x004c	76	Salir y cancelar
0x004d	77	Renunciar y perder
0x004e	78	Abandona y pierde el juego.
0x004f	79	Salir y guardar:
0x0050	80	Salir y cancelar:
0x0051	81	Deja de jugar y guarda el juego \\n (el oponente debe estar de acuerdo).
0x0052	82	Estás abandonando un juego puntuado inacabado:
0x0053	83	Salir y guardar
0x0079	121	Aceptar
0x007b	123	Rechazar todas las invitaciones
0x007c	124	Invitado
0x007d	125	\\n \\nOpciones de juego:
0x007e	126	Razón:
0x007f	127	(opcional)
0x0080	128	te ha invitado a la mesa #
0x0081	129	\\n \\n¿Te gustaría unirte?
0x0082	130	Rechazar
0x0083	131	Permitir mensajes instantáneos solo de mis amigos.
0x0084	132	Ignorar
0x0085	133	De:
0x0086	134	comenzó
0x0087	135	Perfil
0x0088	136	Enviar
0x0089	137	Cerca
0x008a	138	Haz tu movimiento y si
0x008b	139	Presione 'Play Robot' para reproducir la computadora.
0x008d	141	- Habitación:
0x008e	142	no regresa, se le dará la opción de forzar la renuncia.
0x008f	143	*** Guardar solicitado.
0x0090	144	Protegido
0x0091	145	ha solicitado que se guarde este juego.\\n¿Es esto aceptable?
0x0092	146	Privado
0x0093	147	su
0x0094	148	Haz clic en el botón "Sentarse" para unirte al juego.
0x0095	149	ha solicitado que se cancele este juego.\\n¿Es esto aceptable?
0x0096	150	cancelado.
0x0097	151	Ponerse de pie
0x0098	152	adversario
0x0099	153	en mi turno
0x009b	155	*** Cualquiera puede unirse a su mesa ahora.
0x009c	156	s.
0x009d	157	esperando al oponente
0x009e	158	Abandonar
0x009f	159	se ha sumado a la mesa.
0x00a0	160	Haz clic en "Iniciar juego" para comenzar.
0x00a1	161	Ayuda
0x00a2	162	se ha levantado de la mesa.
0x00a3	163	*** Sólo las personas que hayas invitado pueden jugar o mirar tu mesa ahora.
0x00a4	164	Iniciar juego
0x00a5	165	Audio en turno
0x00a6	166	- Anfitrión:
0x00a7	167	Público
0x00a8	168	jugar robot
0x00aa	170	Bota
0x00ab	171	*** Cancelación solicitada.
0x00ac	172	*** Ahora sólo las personas que hayas invitado pueden jugar en tu mesa.
0x00ae	174	- Mesa:
0x00af	175	*** Eres el anfitrión de esta mesa.
0x00b0	176	Juego:
0x00b1	177	Su
0x00b2	178	Esperando a que el oponente haga clic en "Iniciar".
0x00b4	180	ha dejado un juego clasificado sin terminar.\\n
0x00b5	181	*** Juego
0x00b6	182	salvado.
0x00b7	183	Invitar
0x00b8	184	pareja
0x00b9	185	Sonido
0x00ba	186	Si
0x00bf	191	Introduzca el nombre:
0x00c0	192	Seleccionar de la lista
0x00c1	193	- o -
0x00c9	201	Silbido
0x00ca	202	Información del jugador para
0x00cb	203	Enviar mensaje instantáneo:
0x00cc	204	artículos de segunda clase.
0x00ce	206	minutos.
0x00cf	207	Tiempo inactivo:
0x00e1	225	Mesa
0x00e2	226	¿Quién está mirando?
0x00e3	227	opciones:
0x00e4	228	UNIRSE
0x00e8	232	por
0x00e9	233	Rtng
0x00ea	234	segundos.\\nMi retraso neto:
0x00eb	235	le ha invitado a tomar asiento.
0x00f0	240	Tienes una versión antigua del cliente en tu caché.
0x00f2	242	Ping enviado... esperando respuesta.
0x00f4	244	provisional
0x00f5	245	Nombre
0x00f6	246	Intentando conectarse al servidor de juegos
0x00f7	247	Jugar ahora
0x00f9	249	Salir de los juegos
0x00fb	251	retraso neto:
0x00fd	253	Decir:
0x00ff	255	Contactando al servidor de juegos...
0x0102	258	Error: Sin recursos del sistema.\\nCierre todas las ventanas y aplicaciones innecesarias.\\nLuego cierre la ventana de juegos y vuelva a intentarlo.
0x0105	261	No se puede conectar al servidor.\\nUna de cuatro cosas podría haber causado esto:\\n1)Estás detrás de un firewall.\\n2)No estás conectado a Internet.\\n3)El servidor de juegos no funciona.\\n4)Tienes una página obsoleta en tu caché.
0x0106	262	Crear tabla
0x0108	264	Ventanas pequeñas
0x0109	265	Tbl
0x010b	267	Te han expulsado de la mesa.
0x010c	268	Desconectado del servidor... Inactivo demasiado tiempo
0x0111	273	Mensajes instantáneos de \\nsolo amigos
0x0115	277	... descargando estado de la sala
0x0118	280	Error al iniciar sesión en el servidor.
0x0119	281	Rechazar todas las invitaciones \\n
0x011c	284	Peldaño
